question,entity,attribute,answer,predict_answer
你知道史蒂芬霍金的配偶是谁吗？,史蒂芬·霍金,配偶,洁恩·怀尔德（英语：jane wilde）(m. 1965–1991) 伊莲·梅森（英语：elaine mason）(m. 1995–2006),吴忠超 伯纳德·卡尔（英语：bernard carr） 克理斯托福·高发德（英语：christophe galfard） 盖瑞·纪邦斯（英语：gary gibbons） 汤玛斯‧赫涛格（英语：thomas hertog） 唐恩·佩吉（英语：don page (physicist)）
你知道彭州市人名医院的员工数有多少吗？,彭州市人民医院,员工人数,916,综合性医院
好搜百度的网站类型是什么啊？,好搜百科,网站类型,百科,9.7878E+12
心中是楼盘ⅱ是什么语种啊？,新中式楼盘ⅱ,语种,中英文,武侯区红牌楼九兴大道
田园村用平文式罗马字应该怎么写啊？,田原村,平文式罗马字,tawaramura,乡村
地下铁公司是那个？,地下铁,公司,emi virgin,世界各地 包括：  香港  中国大陆  英国伦敦  瑞典斯德哥尔摩 澳大利亚墨尔本 及其他
我想知道国民会议的结构是什么样子的？,国民议会,结构,200,单院制
别了疯了的发行地区是什么地方？,别了疯子,发行地区,中国,国语
100位为新中国成立作出突出贡献的英雄模范人物的这本书是什么单位？,100位为新中国成立作出突出贡献的英雄模范人物,单位,册,北京工业大学出版社
你知道月光是谁作曲的吗？,月光,作词,杨瑞代,黄戚尔
全美超级模特儿新秀大赛什么时候播出啊？,全美超级模特儿新秀大赛,播映,the cw,2009年3月4日－2009年（美国）
倩女幽魂是什么公司制片的？,倩女幽魂,制片商,电影工作室 新艺城,温嘉文 钟珍 叶百全 周国忠
证劵交易命题点解读与模拟试卷的版次是第几啊？,证券交易命题点解读与模拟试卷,版 次,1,智能建筑节能分析
你知道直笛与双肩带书包是谁写的吗？,直笛与双背带书包,原作者,东屋美美,ダンタリアンの书架(ダンタリアンのしょか)（dantarian no shoka）
羟甲基纤维素该怎么识别？,羧甲基纤维素,识别,9000-11-7,c8h16nao8
阿苏希尔达高足球俱乐部的联赛级别是什么？,阿苏尔希达高足球俱乐部,联赛级别,墨乙春,cash converters
黄蜂号航空母舰的技术数据是什么啊？,大黄蜂号航空母舰,技术数据,"19,900吨",1941年10月
欧歌a4的机箱类型是什么啊？,鸥歌a4,机箱类型,台式机箱（中塔）,立式
钨丝熔点是多少？,钨,熔点,3410±20℃,-30℃～50℃
山东寺的俗称是什么啊？,东山寺,俗称,兵营庵,佛教
王连英是什么学位的人啊？,王莲英,学位,历史学博士,李维怀
苯膦酸氨氯地平通用名是什么啊？,苯磷酸氨氯地平,通用名,苯磺酸氨氯地平片,中国
你知道上错花轿：霸道将军不好惹这个小说是什么类型吗？,错上花轿：霸道将军不好惹,小说类型,宫廷贵族,wargaming
不良少年少轻狂的总点击量是多少？,不良之年少轻狂,总点击,40704260（截止2014年3月30日）,840528
你知道埃德政府是什么名字吗？,埃德,政府,sonja edvardsen（工党）,20个有野心的国王
我想知道埃迪·约翰逊是由多高啊？,埃迪·约翰逊,登录体重,180英磅（82千克）,6英尺2英寸（1.88米）
四川申教育厅关于遴选中等职业教育专家人才的通知是什么地方通知的啊？,四川省教育厅关于遴选中等职业教育专家人才的通知,发文单位,四川省教育厅,二ｏ一ｏ年三月十六日
液体刀是什么疗法啊？,液体刀,基础,药刀疗法,风湿
koyo nu1012轴承的轴承是多大的啊？,koyo nu1012轴承,d(内径),60mm,95mm
你知道光是谁写的词吗？,光,词曲,李圣杰,杨瑞代
航嘉巧管家ssl403 1.8米 是什么产品？,航嘉巧管家 ssl403 1.8米,产品类型,接线板,7.5小时
斯卡是什么地方cv？,斯卡,声优,日本：置鲇龙太郎（03）,美国电影艺术与科学学院
加纳的政治中心是什么城市吗？,加纳,首都,阿克拉（accra）,阿克拉
你知道休斯顿火箭队获得过什么荣誉吗？,休斯敦火箭队,获得荣誉,1993-1994赛季nba总冠军，1994-1995赛季nba总冠军,凯文·麦克海尔
金是在多少温度沸腾的啊？,金,沸点,2856℃,（-10～45）℃
白实站是属于什么地方管辖的啊？,白石站,所属业者,北海道旅客铁道（jr北海道）,北海道札幌市白石区平和通3丁目
2015年是什么年份？,2015,年份,2015年,第16届
鸳鸯眼是在什么地方的病啊？,鸳鸯眼,发病部位,瞳孔,坏习惯，基因问题，遗传因素
你知道南坪战有多少个站台啊？,南坪站,站台数目,1个,岛式站台
保时捷918spyder要多少钱可以买到啊？,保时捷918 spyder,参考价格,1338.8万人民币,3.4升v8发动机
你知道自制的豆腐炖鱼是什么工艺吗？,自制豆腐炖鱼,制作工艺,煮,一般
teddydoy的主编是谁吗？,teddyboy,主编,牛佬（文启明）,ron carmel 和 kyle gabler
你知道远大前程这个剧一共有多少集吗？,《远大前程》,全部集数,30集,是安
你知道香港有什么明星吗？,香港,地域名人,李小龙、周润发、成龙,恒基兆业、新鸿基地产
你知道调戏怎么解释吗？,戏调,词语解释,诙谐；开玩笑,汉族
"你知道2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪的CAS号是什么吗？","2-氨基-4-甲基-6-甲氧基-1,3,5-三嗪",cas号,1668-54-8,140.14
你知道brmfcmon.exe这个软件的名称是什么吗？,brmfcmon.exe,进程名称,brother status monitor,no
gt赛车是什么时候做成的啊？,gt赛车,发行日,gran turismo (1997年12月23日) gran turismo 2 (1999年12月11日) gran turismo 3 a-spec (2001年4月28日) gran turismo concept 2001 tokyo (2002年1月1日) gran turismo 4 “prologue” （2003年12月4日） gran turismo 4 (2004年12月28日) gran turismo 5 “prologue” （2007年12月13日） gran turismo psp (2009年10月1日) gran turismo 5 (2010年11月25日)) gran turismo 6 (2013年12月6日),一对一，可同时两人游玩。在线时，最大16人。
你知道决心级核心动力弹道导弹潜艇是什么国家制造的啊？,决心级核动力弹道导弹潜艇,国别,英国,4000海里/18节
我想知道寻秦记是什么时候上映的啊？,《寻秦记》,首播时间,2001年,中国香港
我想知道战争汉是在什么平台？,生化战争汉,其他平台,s60v1,单机
你知道岛的外语怎么拼吗？,岛,英文,island,希腊语 、 意大利语
我想知道中央区是在什么地方成立的吗？,中央区,都道府县,兵库县,神户市（滩区、兵库区、北区）
你知道教父3：最后的教父是哪个公司出版的吗？,教父 3：最后的教父,版权,读客图书有限公司,54.0
我想知道狂犬病的潜伏期会传染吗？,狂犬病潜伏期,传染病,是,皮肤粘膜
三星e220(galaxy pop)这个手机是什么制式？,三星 e220(galaxy pop),手机制式,gsm,gsm/gprs/wcdma/edge
你知道ge70es-2rs轴承的内径是多少吗？,ge70es-2rs轴承,轴承内径,70,105
诺基亚6234的频率是多啊？,诺基亚 6234,频率,900/1800/1900/2100mhz,800mhz
你知道有什么正义之战吗？,正义战争,举例,美国独立战争，抗日战争,蜀军，吴军
你知道金达激冻系列1330有多少个仓吗？,金达激冻系列1330,3.5英寸仓位,4个,3个
我想知道lmanager.exe是什么公司做的啊？,lmanager.exe,出品者,宏碁,否
你知道台北市建国高级中学有多少个年级？,台北市立建国高级中学,年级,高一到高三（含特殊班级共90班）[1],东海东、建中青年、建中人 建中学报、心泉、建人见智 建桥、建中文选、资治通建
你知道什么样子的学生才可以评英华实践奖学金吗？,北大英华实践奖学金,条件,热爱祖国 具有良好的外语水平等,北京
我想知道fn minimi轻机枪多重？,fn minimi轻机枪,基本规格,7.1 公斤,"弹链：750 发/分 30发弹匣：1,000 发/分"
我想知道王皓什么时候得的奥运冠军？,王皓,金牌,2008年 北京,国际象棋
你知道茴香的英文名是什么啊？,茴香,学名,foeniculum vulgare,茴香
你知道死亡日记是谁写的啊？,死亡日记,剧本,索菲亚•科波拉,air
我想知道官方语言是什么？,日本,官方语言,日语[2],简体中文
我想知道东风水库可以装多少水啊？,东风水库,正常库容,1537万立方米,33.6平方公里
我想知道广安·康馨家园什么时候可以完工啊？,广安·康馨家园,交房时间,2014-03-31,70年
你知道倚天屠龙记是存在什么地方吗？,倚天屠龙记,媒介,软盘,屠龙刀/倚天剑
你知道蜡笔小新 逆袭的机器人爸爸的全称吗？,蜡笔小新 逆袭的机器人爸爸,香港,蜡笔小新：大对决！机器人爸爸的反击,5.86 mb
你知道唐河在什么地方吗？,唐河,河口,河北安新县,山西浑源、灵丘、河北保定市
公羊主战坦克是那个国家制作的你知道吗？,公羊主战坦克,生产,意大利芬梅卡尼卡集团,奥托·梅莱拉公司
bla4都有什么节目啊？,b1a4,电视节目,《mtv match up》（with block b）（2011年） 《mtv special b1a4自拍日记》（2012年） 《b1a4的sesame player》（2012年） 《mtv b1a4 hotline》（2012年） 《b1a4的hello baby》（2012年） 《mnet wide b1a4艺能体育场》（2013年） 《mtv b1a4 hotline 2》（2013年） 《b1a4美好的一天》（2014年） 《niconama和b1a4一起》（2014-2015年）,2个
你知道记忆匹配是什么语言吗？,记忆匹配,界面语言,英文游戏,主角以外全语音
你知道陈杨波是什么时候开始火的吗？,陈杨波,出道地区,内地,仙女湖
你知道中国人民解放军成都军区总医院主要治疗什么吗？,中国人民解放军成都军区总医院,特色专科,消化道内镜诊治技术、重症急性胰腺炎的救治，射频消融术、功能神经外科、颅脑微创手术,是
我想问问超频三水晶f-1261的散热是什么方式的啊？,超频三水晶f-126l,散热方式,风冷,风扇
你知道金鹏v0009支持什么频段的吗？,金鹏 v0009,支持频段,gsm 850/900/1800/1900,110g
我问问你三星e2530手机是什么颜色的啊？,三星 e2530,机身颜色,黑色,gsm 900/1800/1900
我想知道2012第七届中国（青岛）国际低碳照明展览会在哪个城市开展啊？,2012第七届中国（青岛）国际低碳照明展览会,举办城市,青岛,2012/07/24 至 2012/07/25
我想知道犬角膜炎是什么时候发病啊？,犬角膜炎,季节分布,四季,干性角膜炎可口服维生素a、维生素b、维生素c、维生素d。
我想知道壮族自治区烟草专卖局是什么时候组建的啊？,广西壮族自治区烟草专卖局,组建时间,1983年8月,国家利益至上、消费者利益至上
你知道白石站的人流量吗？,白石站,上下车人次 -统计年度-,"7,238[1]人/日 -2011年-",地面车站
你知道大宇lm1702的分辨率吗？,大宇 lm1702,最佳分辨率,1280x1024,10/100mbps
你知道地球内部的压强是属于什么领域吗？,地球内部压强,所属领域,地理,地理，航天
我想知道微信for Windows的操作环境？,微信 for windows,环境,winxp/win2003/vista/win7/win8,西班牙语
你知道蕃是属于什么吗？,蕃,仓颉,thdw,15
你知道白色百合在什么地方长着吗？,白百合,分布区域,巴尔干半岛与西亚,裤子植物门
荷载频遇值这个的范围是什么啊？,荷载频遇值,2,一般在10％以内,国际标准iso2394:1998
二丑夺命丹是什么制作成的？,二丑夺命丹,药物组成,木通1两，香附（醋炒）1两,上为末，以白酒浆同老米打糊为丸
哈苏h2f光学变焦是多少啊？,哈苏 h2f,光学变焦,0,"35mm,16mm"
2013中国（上海）国际网络安全展览会暨高峰论坛 在什么时候开？,2013中国（上海）国际网络安全展览会暨高峰论坛,会期,2013年6月4日—6日,2013中国（上海）国际网络安全展览会暨高峰论坛
你知道秦艽是什么吗？,秦艽,亚 科,龙胆亚科 subfam. gentianoideae,大花秦艽
你知道布克美容学院有几个校区啊？,布克美容学院,1,三个校区,兼职课程、美学及指导学
爱其eip-4200的标准分辨率是多大啊？,爱其 eip-4200,标准分辨率,1024×768,900w
intel酷睿2双核e8500的插槽类型是什么啊？,intel 酷睿2双核 e8500（散）,插槽类型,lga 775,pbga479，ppga478
你知道邪神dreadroot（恐惧之根源）的罕贵度是什么啊？,邪神dreadroot(恐惧之根源),罕贵度,金字ur,效果怪兽
你知道逼瘟丹是什么吗？,逼瘟丹,制法,研末,时邪
你知道台湾的电视公司的子公司是什么吗？,台湾电视公司,子公司,台视文化事业股份有限公司,国际汇率: $4892.13亿美元(第25位) 购买力平价:9264.41亿美元(第20位)
gtf人才思维模型是谁提出的吗？,gft人才思维模型,提出人,张忆博,黔城人才网
你知道2012深圳国际服装贴牌加工博览会什么时候开始吗？,2012深圳国际服装贴牌加工（oem/odm）博览会,时 间,2012年2月21日-23日,中国深圳会展中心
你知道远大医药一共有多少资产吗？,远大医药,营收,19亿元,30亿元
烧杯的曲目多长啊？,烧坏,曲长,1分钟,南方—烧卖；北方-稍美
雪佛兰prizm有多长啊？,雪佛兰prizm,车型尺寸,4.427米 1.649米 1.364米,1038千克
北京地铁15号线是谁投资建设的啊？,北京地铁15号线,所有者,北京市基础设施投资有限公司,清华东路西口——俸伯
ge70es-2rs轴承的外径是多少吗？,ge70es-2rs轴承,轴承外径,105,70
214省道在什么地方到头啊？,214省道,终点,临海市104国道环岛,宁波市海曙区永宁桥
慧臣的最大功率是多大？,惠臣vc2800gb,最大功率,350w,僵尸
齝你知道它使用五笔怎么表示吗？,齝,五笔,hwwk,桥段
林肯大学的学生都是那年的啊？,林肯大学,本科生,1827,victor adebowale
你知道创世魔法-嘟嘟魔鬼是什么时候上线的吗？,创世魔法—嘟嘟魔鬼,上线日期,2011-05-24,日本唱片公司king records
你知道三丙醇的闪亮点是什么啊？,丙三醇,闪点,177℃,少数民族节日
你知道是妈妈是棵树这本书是是妈妈给我的？,妈妈是棵树,出版社,北京大学出版社,9.7873E+12
你知道人平均一下不是好的?,深圳,人均gdp,24072美元（2014年）,中视6一下
你直达号转需要多久可以转完？,希捷st32510a,转速,5400rpm,佛山市南海区桂城桂澜路东侧
资源管理器以及学科是怎么再出来的？,资源分级管理,一级学科,资源科技,由经济与管理学院分团委直接领导
你知道仙剑五是用的什么游戏引擎吗？,仙剑奇侠传五,游戏引擎,renderware,1479610k
斯贝s-md05的系统是多大的内村啊？,斯贝s-md05(4g),系统内存,256mb,microsoft （微软）
你知道乐亭县法院的电话吗？,乐亭县人民法院,联系电话,0315-4627616,李月臣
你知道北京地铁8号线全程多少站吗？,北京地铁8号线,车站总数,17[1],南锣鼓巷——朱辛庄
你知道败血性休克是属于什么吗？,败血性休克,分类系统及外部资源,分类系统及外部资源,668
你知道六一女孩的海底大战是什么啊？,六一女孩之海底大战,过程,准备下深海寻宝,生来就有4只手和4条腿
我想问一下奥林巴斯e-p13的相机类型是什么吗？,奥林巴斯e-pl3,相机类型,单电数码相机,1310万像素
你知道缤特力audio995的频率范围是多少啊？,缤特力audio 995,频响范围,20-20000hz,李雅薇
h1仪表是什么参数啊？,hl仪表,补充,仪表参数,2014年3月25日，10个月前
你知道细菌群体趋药性的算法是什么吗？,细菌群体趋药性算法,基于,berg、brown和dahlquist,男子组合
你知道在那三个地方在放假前会拥堵吗？,节前拥堵期,3,商圈、学校等区域,唐朝
联合车站是什么样子的形式啊？,联合车站,站体型式,地下车站,西班牙文艺复兴
你找道白藤江之战参加了多少人啊？,白藤江之战,参战方兵力,南汉10000人 交趾不详,南汉，交趾
买药广播电台通常第一条是什么吗？,卖药广播电台,第一条,正文,电台查获
你知道德国热能科技有限公司的企业信念是什么啊？,德国雷特热能科技有限公司,企业理念,创新、诚信、卓越、共赢,质量第一，信誉至上
北京亿星八方技术研究院的目标是什么啊？,北京亿星八方技术研究院,精神,“与时俱进，继往开来,复合薄膜
科龙总部的地址是什么啊？,科龙,总部地址,广东省佛山市顺德区,中华民国
我想了解一下城巴40线的公交的时间？,城巴40线,班次频率,星期一至六：8-20分钟一班 星期日及公众假期：20分钟一班,星期一至六：06:37-23:48 星期日及公众假期：06:35-23:35
摩托罗拉milestone3（里程碑3）的主屏幕分辨率是多少啊？,摩托罗拉 milestone3（里程碑3）,主屏分辨率,540×960像素,黑色
捡个王子带回家的漫画是谁画的啊？,捡个王子带回家,漫画作者,雪森樱,浪漫爱情
你知道蕨麻是什么类型的吗？,蕨麻,亚 目,蔷薇亚目,蔷薇亚科
交通参数都有什么啊？,交通参数,例如,如交通量、车速、密度,1、2、3。。。。。35路
关于加强义务教育阶段农村留守儿童关爱和教育工作的意见是用于什么人群？,关于加强义务教育阶段农村留守儿童关爱和教育工作的意见,适用对象,农村留守儿童,教基一〔2013〕1号
yf-23战机是什么单位研制的你知道吗？,yf-23战斗机,研制单位,诺斯洛普与麦克唐纳-道格拉斯,1990年8月27日
你知道中国画艺术当代名家联合会是属于什么地方管的吗？,中国书画艺术当代名家联合会,主管,中华人民共和国文化部,会员160o人
你知道品牌视角是什么吗？,品牌视角,时长,电视版10分钟，网络版30分钟,李宁、乐途、艾高、新动
你知道波西家用电器有限公司的目标是什么吗？,博西家用电器（中国）有限公司,使命,为消费者和股东创造价值,成为行业标杆
叶抱伊蚊的中文名字是什么啊？,叶抱伊蚊,中文科名,蚊科,双翅目
你知道智能蓄电池的内阻测试仪的电压是什么吗？,智能蓄电池内阻测试仪,电压,0.000v--16v,600mah、800 mah、1100 mah等
你知道北京远饭店的交通状况是什么吗？,北京成远饭店,交通状况,距离市中心(公里),中餐厅 西餐厅 咖啡厅
花王mp3 portable workman标准型的续航时间是多长啊？,花王mp3 portable workman 标准型,续航时间,12小时,10mw
Chinese burn的专辑歌手是谁啊？,chinese burn,专辑歌手,curve,天龙座by变星
你知道台北联营公车612线的班车时间是什么吗？,台北联营公车612路线,班距,固定班次，例假日：停驶,荣总
重庆市人民政府办公厅关于市政府领导工作分工的通知是什么文字号啊？,重庆市人民政府办公厅关于市政府领导工作分工的通知,发文字号,渝府办发〔2013〕223号[1],重庆市人民政府办公厅[1]
你知道田纳西战舰列舰的满载排水量是多少吗？,田纳西级战列舰,满载排水量,40345吨,6架水上飞机
你知道舟山渔都风情假日酒店宾馆开业时间是什么时候啊？,舟山渔都风情假日宾馆,开业,2008年,普陀山
你知道伊瓜苏国家公园的英文全名是什么吗？,伊瓜苏国家公园,正式名称,iguaçu national park,parc national d'iguaçu
Windows mobile 是使用的什么计算机语言啊 ？,windows mobile,编程语言,c++,v5.1 (2014年4月，8个月前) [信息]
我想知道卖药广播台的第三条是什么？,卖药广播电台,第三条,清理整顿,电台查获
飞利浦dcd8000的输出功率是多大啊？,飞利浦 dcd8000,输出功率,2600 瓦pmpo,1升
你知道长春市交通局的运输局的办公地址是什么吗？,长春市交通运输局,办公地址,民康路555号,57名
佛朗西斯科·普纳尔的职业生涯是什么啊?,弗朗西斯科·普纳尔,职业生涯*,上场†,足球运动员
你知道史蒂芬斯-强森综合症的mesh是什么吗？,史蒂芬斯－强森综合症,mesh,d013262,851
半生浮初登场是多少集的时候你知道吗？,半生浮,初登场,霹雳狂刀 第46集,霹雳狂刀 第45集
你知道舞动的水电站的装机容量是多少吗？,乌东德水电站,装机容量,1020万千瓦,昆虫纲
台中市火车站都有什么啊？,台中市,火车站,台中车站、泰安车站、丰原车站等,台湾高速铁路
阿尔弗雷德·冯·提尔皮茨是为谁工作啊？,阿尔弗雷德·冯·提尔皮茨,效命,普鲁士王国  德意志帝国,普法战争 第一次世界大战
共党的意识形态是什么样子的啊？,工党,意识形态,社会民主主义 中间偏左,1993年8月10日（21年165天） 台北市
飞利浦action（4gb）支持什么格式的文件啊？,飞利浦action(4gb),音频格式,支持mp3，wma，flac，ape等格式,12小时
你知道trojan.psw.lineage.lsf代表的是几星级的危险程度吗？,trojan.psw.lineage.lsf,警惕程度,★★★,win9x/nt/2000/xp
你知道溪堂诗思图轴有多高吗？,溪堂诗思图轴,横,104cm,194cm
你知道杭州龙城市广场的容积率是多少吗？,杭州宝龙城市广场,容 积 率,2.6,浦东
你知道三星 p1000 刷机包的大小是什么吗？,三星 p1000 刷机包,rom大小,208.72mb,200万像素 cmos
你知道连农特嫩5号是什么时候审定的吗？,连农特嫩5号,审定年份,2008,辽宁
你知道托米·罗布雷多的历史成绩吗？,托米·罗布雷多,单打成绩,450-285 292胜179负,147-158
ngc7822你知道他的半径吗？,ngc 7822,半径,20光年,j2000.0
现在还有人用傣端语吗？,傣端语,目前状况,使用中,台-卡岱语系
我很好奇丘克国际机场的代码是什么？,丘克国际机场,三字代码,tkk,ptkk
西原特别区在什么地方啊？,西原,特别区,北区,2006年6月
你知道壮族使用什么语言吗？,壮族,文字,拉丁壮文,1990年12月5日
吴恒的角色什么啊？,吴桓,角色,黄巾起义军首领,岩子
你知道敬礼的意义吗？,敬礼,释义1,行礼表示尊敬,用于书信结尾表示尊敬
你知道仙剑三有几个结局吗？,仙剑奇侠传三,结局数,5个,农历三月初三
你知道河南工艺美校的教师有多少吗？,河南省工艺美校,专任教师,130人,8750亩
你知道佐久间多少岁了吗？,佐久间玲,现年,49岁,"1,172米"
你知道北京顺义区水务局的领导是谁吗？,北京市顺义区水务局,负责人,马路军,中央军事委员会
你知道莲花县的概况是什么吗？,花莲县,概况,县,江西省莲花县莲花村
你知道伦敦b面吗？,伦敦ab面,b面,市井伦敦,英国伦敦
你知道枣庄中学是属于什么类型的学校吗？,枣庄学院,学校属性,省属高等院校,文化奠基、质量立校
我是鬼的开头说了什么啊？,我是只鬼,第一章,我死了,苏颜ft默梁
abc简写是什么啊？,abe,简写,abe,纽约
我想知道第12届中国光伏大会暨国际光伏大会开到什么时候啊？,第12届中国光伏大会暨国际光伏大会,结束时间,2012年9月7日14：00,2012年9月3日—4日
我想知道胡蜂号航空母舰的排水量是多大？,胡蜂号航空母舰,吃水,8.7米,36380吨
你知道长康巴士总站在什么地方吗？,长康巴士总站,分区,长青／长康／美景花园,长康邨、青华苑
我想知道小行星605是什么是时候发现的？,小行星605,历元 2011年8月27日,历元 2011年8月27日,海德堡
你知道方正圆明mr200 3220(xeon e5506*2/6gb/3*300gb）这个产品的结构吗？,方正圆明mr200 3220(xeon e5506*2/6gb/3*300gb),产品结构,2u,1颗
普林斯顿号航空母舰吃水多少？,普林斯顿号航空母舰,满载排水量,15100吨,12架战机，9架鱼雷轰炸机，9架俯冲轰炸机
黑夜童心是属于什么类型的啊？,黑夜童心,系别,神秘系,682
htcdeseire现在上市了吗？,htc desire z,开发状态,已上市,wcdma hsdpa
jitii的重点是什么你知道吗？,jitⅱ,重点,减少浪费、持续改进并保证物料在公司内部的流动与供应商和客户的协作保持同步,美国：2006年11月19日
你知道北京大歌星投资有限公司的理念是什么吗？,北京大歌星投资有限公司,价值观,顾客第一,开创健康娱乐的连锁模式
你知道不良少年轻狂是什么时候发表的吗？,不良之年少轻狂,发表时间,2012年12月17日,840528
海略ISO31166是什么码？,海略,iso 3166码,no-1515,2小时
玫瑰情歌：爱在情歌浪漫时存在什么东西里了？,玫瑰情歌：爱在情歌浪漫时,介  质,cd,大陆
你知道如果真的不再爱我是谁做的曲子吗？,如果真的不再爱我,编 曲,张楚弦，,秋言，
你知道福田省莆田市秀屿区平海镇上林村的森林面积是多少吗？,福建省莆田市秀屿区平海镇上林村,山林面积,3200亩,毛竹、烟叶、水稻等
你知道努比亚遗址是什么国家的遗产吗？,努比亚遗址,所属国,埃及,文化遗产(i)(iii)(vi)
你知道龙泉观文昌殿是归谁管吗？,龙泉观文昌殿轮藏殿碑,责任者,（清）杨桂森撰,公元700年
你知道复兴航空222号班机空难是什么吗？,复兴航空222号班机空难,事故类型,着陆失败 视线不良 重飞不当,49
你知道模式求生路是在什么网上首发？,末世求生录,首发状态,纵横中文网首发,2000年2月4日（windows pc） 2000年7月25日（mac os） 2003年3月24日（xbox） 2003年7月9日（playstation 2）
你知道毛泽东协会的刊物是什么吗？,学习毛泽东协会,刊物,《子任》、《学东报》,419页
你知道西游记发表时间是多久吗？,最游记,发表期间,2009年9月16日－连载中,90分钟
irod 403的制造者是谁啊？,lord 403,制造商,洛德lord,610万像素
你知道280号洲际公路是什么时候建成的啊？,280号州际公路,形成时间,1958年,1973年[2]
我想知道2008-09年香港足总杯一共有多少场比赛啊？,2008–09年香港足总杯,赛事统计,14 场,公民（半准决赛出局）
我想知道香港网络的主要股东是谁？,香港宽带网络,主要股东,cvc capital partners70.74% 新加坡政府投资公司11.31% alpinvest partners8.14% 香港宽带87名高级管理层4.68% 杨主光2.57% 黎汝杰2.57%,粤语
你知道隐密士hsm 104.3(1.9mm)一次可以碎多少纸吗？,隐密士hsm 104.3(1.9mm),碎纸能力,16-18张/次,1.9mm
你知道2053年9月12日日食什么时候开始吗？,2053年9月12日日食,开始时间（utc）,09:34:09,日全食
你知道格兰仕的操控方式是什么吗？,格兰仕g80f23cn2p-bm1(s0),操控方式,微电脑式,数码式
你知道民谣吉他的重量是多少？,民谣吉他入门知识详解与精彩弹唱,重约,0.494kg,dvd
你知道洞窟物语的画面是什么样的？,洞窟物语3d,画面,裸眼3d,13卷
你知道长寿谷在什么时候建设的？,长谷寺,创建年份,奈良时代（8世纪前半）,1999年6月28日
2013年12月永宁站的日进出人次是多少排名第几？,永宁站,日进出人次,"29,806[1]，第49名（2013年12月）",id：坚强的泪
苹果ipod shuffle 3特供版(4gB)的储蓄容量有多大？,苹果ipod shuffle 3特供版(4gb),存储容量,4gb,有
你知道狗皮膏药是什么意思吗？,狗皮膏药,比喻,骗人的货色,中医用狗皮膏药消肿止痛
你知道什么农历什么时候过年吗？,过年节,农历日期,腊月三十,中国
我想知道九龙巴士15a线的分段收费站点是什么啊？,九龙巴士15a线,分段收费站点 （去程）,龙翔道往慈云山（北）：hk$5.1,宏光道往平田：hk$5.1 观塘市中心往平田：hk$4.5
你知道中国人民银行的机构是什么吗？,中国人民银行,机构沿革,机构沿革,人民银行总行派出机构
我想知道nexus 7是多少寸的吗？,nexus 7,显示,"7英寸（180毫米） ips, 1280x800 像素 (216ppi)",nvidia tegra 3 四核
