entity,attribute,answer,question
多花秋海棠,门,被子植物门 angiospermae,多花秋海棠属于哪个门的植物
类胡萝卜素,性质,色素,类胡萝卜素是做什么用的
王军,籍贯,甘肃高台,王军老家在哪
命运石之门,游戏类型,假想科学adv,命运石之门是哪一种类型的游戏
圆锥花序组,目,中央种子目centrospermae,圆锥花序组是哪个目的植物的特点
凤凰山,地点,山西省定襄县,凤凰山在哪里呀
夜来香,纲,双子叶植物纲(magnoliopsida)，又称木兰纲。,谁知道夜来香属于哪个纲的植物
亚历山大一世,逝世日期,前323年6月10日,亚历山大一世是哪一天去世的
李明,民族,汉族,李明是什么族的人
吉字,拼音,ji zi,吉字拼音怎样拼
富兰克林县,外文名称,"franklin county, maine",富兰克林县英文怎样说
香橼,拉丁学名,citrus medic l.,香橼的拉丁学名怎样说
花园村,行政区类别,乡村,花园村属于什么行政区类别
辣子鸡,分类,湘菜，辣菜,辣子鸡属于八大菜系中的哪一种
圆锥花序组,属,石头花属gypsophila,圆锥花序组是什么属的植物才有的特点
王皓,身高,179cm,打乒乓球的王皓有多高
魔法少女奈叶,地区,日本 香港 台湾,魔法少女奈叶都在什么地区播出
秋日,创作年代,唐朝,秋日是什么朝代创作的
哈姆雷特,导演,米歇尔·阿米瑞亚德,哈姆雷特是谁导演的
李派,特点,文戏唱腔韵味清醇，武戏武功精湛,李派唱腔的特点是什么
江陵之战,时间,219年,江陵之战是哪一年爆发的
蜢科,中文学名,虻科,蜢科又叫什么
哺乳动物,界,动物界animalia,哺乳动物属于什么界
三月三,别称,上巳节,农历三月三是个什么节日
李明,出生地,江苏常熟,李明在哪里出生的
关山月,文学体裁,诗歌,大家知道关山月属于什么体裁吗
长柄船蛆,纲,双壳纲,长柄船蛆属于什么纲
金手指,门,被子植物,金手指是被子植物还是裸子植物
大花组,科,石竹科 caryophyllaceae [cronquist系统],大花组是什么科的植物呢
哈姆雷特,制片地区,美国,你知道哈姆雷特是哪个国家的电影吗
费尔南多,运动项目,足球队员,费尔南多是什么项目的运动员
福尔摩斯探案全集,译者,朱莉莉,比较好的福尔摩斯探案全集译者是谁呀
李娜,体重,65kg,打网球的李娜体重有多少
大花组,目,石竹目 caryophyllales [cronquist系统],大花组属于哪个目
《犯罪学》,作者,曹立群 任昕,《犯罪学》是谁写的
逸夫小学,创办时间,1996年,逸夫小学是九几年创办的
哈姆雷特,主演,伊桑·霍克，凯尔·麦克拉克伦，比尔·默瑞，列维·施瑞博尔，山姆·夏普德，朱丽娅·斯蒂尔斯,影片哈姆雷特的主演是谁
王辉,毕业院校,华师大本科,王辉是哪个学校毕业的
霸气,出处,《江宁吴少府宅饯宴序》,霸气一词最早出现在哪里
辣子鸡,主要食材,公鸡，糍粑辣椒，花椒，姜，大葱，大蒜，盐，酱油，味精，料酒，菜籽油,做辣子鸡需要准备什么食材
文庙,占地面积,6647.95平方米,有人知道文庙面积有多大吗
《兄弟》,语种,中文,《兄弟》是哪个国家拍的
《红楼梦》,出版社,吉林文史出版社,值得珍藏的《红楼梦》全本有哪个出版社出版的
心理学与生活,副标题,教育部心理指导委员会推荐用书,《心理学与生活》这本书的副标题是什么
阿尔法,游戏大小,114.92mb,阿尔法这个游戏有多大啊
大花组,属,蝇子草属 silene,大花组属于哪个属的植物
城隍庙,地址,金华市区明月巷,城隍庙地理位置在哪
哈姆雷特,上映时间,usa 2000年1月24日,哈姆雷特在美国是什么时候上映的
一本大学,属性,985工程 211工程,一本大学是什么类型的书啊
《犯罪学》,出版时间,2008年3月,《犯罪学》这本书的出版时间是什么时候
神雕侠侣,语言,华语,神雕侠侣是什么语的电视剧
《因为我爱你》,装帧,平装,《因为我爱你》是怎样装帧的
城关镇,所属地区,中国 湖南省,城关镇在哪个省哪个市
大花组,分布,我国主要分布在辽宁、新疆等地。,大花组的植物主要分布在我国哪里
边境牧羊犬,种,灰狼,边境牧羊犬是什么犬种
玫瑰,分布区域,江苏、浙江、福建、山东、四川等地,玫瑰主要生长在我国那些地区
礼物,发行时间,2010年12月,《礼物》的发行时间是什么时候
神雕侠侣,编剧,于正,新的那部神雕侠侣的编剧是谁来着
萧皇后,本名,萧皇后,谁知道历史上萧皇后本名叫什么
辣子鸡,口味,辣、开胃,重庆辣子鸡是什么口味的菜
万达广场,位置,佛山市南海区桂城桂澜路东侧,有人知道万达广场在哪吗
《犯罪学》,isbn,9.7873E+12,《犯罪学》的isbn码是什么
大花组,种,我国产2种1亚种。,大花组植物我国有哪几种
棒棒糖蛋糕,主要原料,法国奶油 法国果茸 法国番石榴浆,我想做棒棒糖蛋糕，需要哪些原料呢
城关镇,电话区号,854,请问一下城关镇的电话区号是什么
新发村,海拔,1700.00米,新发村的海拔很高吗，有多少米呀
离殇,释义,.离别，逝去（,离殇是什么意思啊
《犯罪学》,价格,￥38.00,有人买过《犯罪学》吗，多少钱啊
何伟,代表作品,《静物》、《西递村》入选全国建筑美术家作品展；1993年油画《秋之语》入选上海93油画展；1994年作品《花卉》、《窗》入选中国浦东首届中华艺术博览会；1995年作品《残阳》,画家何伟的代表作有哪些
《幽灵船》,开本,32开,《幽灵船》是多少开的书
红米手机,名称,小米红米手机,我想问一下，什么叫红米手机
哈姆雷特,对白语言,英语,哈姆雷特的对白原音是什么语的
自热米饭,是否含防腐剂,否,有谁了解自热米饭是不是含防腐剂
张凯,别名,幽灵,张凯有一个绰号叫什么来着
花衣,注音,ㄏㄨㄚ ㄧ,谁能告诉我一下花衣的注音
小时候,歌曲原唱,南拳妈妈,小时候这首歌原唱是谁
橡树湾,开发商,华润置地（上海）有限公司,谁知道橡树湾的开发商是哪家啊
东北大学,简称,nu,东北大学的简称是什么
鑫威kw9000es,产品类型,ipsan/nas一体化存储,鑫威kw9000es是个什么产品
城关镇,人口,7.1万人（2008年）,有没有城关镇的同志啊，你们那的人口有多少
《犯罪学》,页数,268,《犯罪学》一共有多少页
城关镇,面积,44.41平方公里,城关镇的面积有多大
刘丹,身高,166cm,有没有认识刘丹的，请问一下她有多高啊
哈姆雷特,片长,112分钟,哈姆雷特片长多少
罗罗,解释,1. 疏朗放诞。,古文中罗罗怎样理解
陈佳,星座,天蝎,陈佳是什么星座的
福特野马,品牌,福特ford,福特野马车是什么牌子的
东区,• 密度,"2,300/平方公里（5,900/平方英里）",东区的人口密度大概是多少
干酪菌属,亚纲,同担子菌亚纲,干酪菌属属于什么亚纲
黑大咽齿鲷,英文名,negros wrasse,谁知道黑大咽齿鲷的英文名怎样说
王玲,信仰,中共党员,王玲的信阳是什么
嘿咻,拼音,hei xiu,呃……谁知道嘿咻的拼音怎样写
张敏,籍贯,河北武安,张敏老家是哪的
大花组,二名法,silene sect. elisanthe (fenzl) chater et walter,大花组的二名法是什么
斯普林菲尔德,时区,美国东部标准时间（utc-5）,斯普林菲尔德时间是按那个时区算的
山羊,亚纲,真兽亚纲,山羊是属于哪个亚纲的
郑州号导弹驱逐舰,型号,国产052c型,郑州驱逐舰型号是什么有人知道吗
刘瑜,所处时代,金,历史上的刘瑜是哪个年代的人
腬,释义,优质肉。  肥美。 盛。 面色和柔的样子。,腬这个字是什么意思啊
《红楼梦》,导演,胡雪扬,《红楼梦》的导演是哪位
海德公园,楼盘名,海德公园,海德公园附近的楼盘叫什么名字
文庙,位于,湖南省新田县县城龙泉镇立新街,我想问一下文庙在哪个地方啊
安乐村,隶属,云南省保山市隆阳区瓦窑镇,安乐村地理位置是在哪里
新安镇,行政区类型,乡镇,有人知道新安镇属于什么行政区吗
《红楼梦》,上映地区,中国大陆,《红楼梦》在哪里上映
我爱你,所属专辑,ep单曲,我爱你这首歌属于哪张专辑的啊
万达广场,建筑面积,53万平方米,谁知道万达广场的面积有多大
哈姆雷特,出品时间,2000年,电影《哈姆雷特》是哪年出品的
城关镇,地理位置,西邻京广铁路、107国道、京珠高速，北邻汤濮铁路、鹤濮高速，安长公路穿境而过。,城关镇的位置在哪里
月光,谱曲,黄戚尔,月光是谁做的曲
仙魔变,大小,1479610k,游戏仙魔变最新版大小是多少
《笑傲江湖》,语言版本,粤语、普通话,笑傲江湖是什么语种的电视剧
城关镇,上级行政区,忻城县,城关镇的上级行政区是什么
《红楼梦》,主演,钱惠丽；单仰萍；陈颖；方亚芬,谁知道《红楼梦》的主演都有谁啊
《红楼梦》,上映时间,2005年,《红楼梦》是什么时候上映的呀
红楼梦,出品公司,中影集团、荣信达、华录百纳,你们知道红楼梦的出品公司是哪家吗
文庙,著名景点,大成殿,文庙里比较有名的经典是什么
卢卡斯,所属运动队,开拓者,卢卡斯是哪支球队的
丹特丽安的书架,原版名称,ダンタリアンの书架(ダンタリアンのしょか)（dantarian no shoka）,丹特丽安的书架日文原名叫什么
阿灵顿,• 夏令时,edt（utc-4）,阿灵顿是什么时区的
张薇,政治面貌,中共党员,张薇政治面貌是党员还是共青团员
城关镇,行政区划代码,451321100,城关镇的行政区划代码是什么
城关镇,气候条件,亚热带季风气候,有去过城关镇的吗，哪里是什么样的气候
王杰,出生,1963年5月,谁知道王杰是哪年哪月出生的
陈平,去世年月,公元前178年,古代那个陈平是什么时候死的呀
要听爸爸的话！,丛书,jump comics sq. ching win boy comic,《要听爸爸的话！》是什么类型的丛书
《光荣之路》,画面颜色,彩色,《光荣之路》是彩色的还是黑白的呢
黑叶猴,英文名称,françois’s langur,呃我想请教一下黑叶猴的英文是怎样说的
城关镇,村级区划单位数,24,城关镇下属的村有多少个
政府贴息贷款,作用,可以扩大援助规模,你们知道政府贴息贷款有什么作用吗
小米手机4,屏幕尺寸,5英寸ips屏,小米手机4屏幕是多大的
刘军,政党,共产党,刘军是那个党派的
怪物猎人,游戏平台,家用机：ps2、wii、ps3、wii u 掌机：psp、3ds,有没有玩过怪物猎人的，这个游戏都可以在哪些平台上玩
城关镇,- 社区数,3,城关镇有几个社区
城关镇,- 行政村数,21,城关镇包括多少个村
城关镇,地理、人口、经济,24°04′03″n 108°39′49″e / 24.0676°n 108.66365°e坐标：24°04′03″n 108°39′49″e / 24.0676°n 108.66365°e,城关镇的经纬度是多少啊
粉我吧,公司口号,do it by yourself!,粉我吧公司的员工口号是什么
哈姆雷特,色彩,黑白,哈姆雷特是彩色的还是黑白的
我爱你,歌曲语言,国语,有一首歌叫我爱你，这是什么语言的歌曲
魅族,员工数,2000余人（2010年）,谁知道魅族有多少员工啊
林肯县,网站,www.co.lincoln.wy.us,我想问一下林肯县的官方网站是什么
神雕侠侣,集数,40集,新版神雕侠侣一共有多少集
陈谦,字号,字八桂,陈谦的字是什么
海棠,亚科,苹果亚科,植物大神们，海棠是属于哪个亚科的
思诺思,药品名称,酒石酸唑吡坦片,思诺思的学名叫什么啊
万科金域蓝湾,物业类别,住宅,万科金域蓝湾是商业建筑还是民用住宅啊
李娜,主要奖项,2011法网女单冠军 2014澳网女单冠军 wta单打冠军头衔：9,体育粉们，我想问一下李娜主要获得过哪些奖项
纳斯达克,创建时间,1971,纳斯达克是什么时候创建的
孙悟空,登场作品,《轩辕剑叁外传：天之痕》,孙悟空在那部轩辕剑作品中出现过
天龙八部,其它译名,新天龙八部,天龙八部还有什么其他名字吗
奥埃尔巴赫,邮编,5222,谁知道奥埃尔巴赫的邮编是什么啊
孙悟空,其他名称,卡卡罗特、格古洛,呃……我想问一下孙悟空还有什么其他名字吗
修正再购,定义,生产者市场的用户为了更好地完成,修正再购这个词是什么意思啊
杨俊,国 籍,中国,杨俊来自于哪个国家
斯普林菲尔德,州,马萨诸塞州,斯普林菲尔德是哪个州的
鉴真素鸭,辅料,素蚝油、糖、盐、葱花、香油,我想做鉴真素鸭这道菜，都需要什么辅料
毛泽东,又名,毛泽东革命者与建设者,《毛泽东》这本书还叫什么
辣条,适宜人群,儿童,辣条适合什么人吃
钻石画,简介,树脂钻,谁能给我介绍一下钻石画，真的是用钻石做的吗
天宁寺,编号,第三批，编号不详,天宁寺的编号是什么
白雅湖岛,酒店星级,★★★,白雅湖岛是几星级的酒店呀
杨洋,血型,o型,杨洋粉们，杨洋是什么血型的啊
王宪,出生时间,1921年9月,王宪是什么时候出生的啊
over the rainbow,音乐风格,华语流行音乐,over the rainbow是属于什么风格的音乐
鞭打快牛,用法,作宾语、定语；指赏罚不公,有谁知道鞭打快牛这个词语怎样用
轩辕剑,发行商,大宇资讯,我想问一下轩辕剑游戏发行商是哪家
哺乳动物,亚门,脊椎动物亚门vertebrata,哺乳动物是属于什么亚门的
李皇后,去世时间,1004年,李皇后是什么时候死的
山羊,亚门,脊椎动物亚门,山羊是哪个亚门的动物
岳阳市人民政府关于整治市中心城区沿湖砂石散货客运码头的通告,目的,提升城市品位,岳阳市人民政府关于整治市中心城区沿湖砂石散货客运码头的通告是要干什么用的
新房子村,属于,半山区,新房子村属于哪个区有没有知道的
城关镇,邮政区码,558200,城关镇的邮编是什么呀
城关镇,下辖地区,15个村,城关镇下面有几个村
《哈姆雷特》,影片片长,130分钟,电影《哈姆雷特》有多长时间
各持己见,结构,动宾式,各持己见是什么结构的词语
徐坚,职 业,研究员，博士,有认识徐坚的吗，他是做什么的？
梅花落,作 者,鲍照,梅花落作者是谁来着？
邪恶漫画,系列,卡列漫画,我想问一下邪恶漫画是属于哪个系列的漫画？
城关镇,地方特产,瓜类、蔬菜,城关镇有什么特产吗？
矿物油,用途,润滑油，,矿物油都能够用来做什么有人懂这方面吗？
天宁寺,时代,明代,天宁寺是什么朝代修建的？
圆锥花序组,族,石竹族trib. diantheae,圆锥花序组属于什么族的？
大花组,亚科,石竹亚科 subfam. caryophylloideae,大花组属于哪一个亚科啊？
公元432年,含义,是中国历史上的壬申年，在中国,公元432年是什么意思？
河豚肉炒白菜,调料,适量盐，适量干红椒,有人会做河豚肉炒白菜吗，需要什么调料啊？
温泉镇,方言,官话,温泉镇使用什么方言？
ngc,上市时间,日本：2001年9月14日[1],还有人记得ngc是什么时候上市的吗？
河南村,耕地面积,8750亩,河南村耕地面积有多大？
模拟人生,发行日期,2000年2月4日（windows pc） 2000年7月25日（mac os） 2003年3月24日（xbox） 2003年7月9日（playstation 2）,模拟人生是什么时候发行的来着？
深渊蛙,姓名,十字蝌蚪,生物大神们，深渊蛙学名叫什么啊？
室内软装饰,正文语种,英语、简体中文,室内软装饰是什么语种的书
科姆潘,场上位置,:前锋,科姆潘是什么位置的球员？
城关镇,知名产业,铁矿、重晶石、石灰石、粘土矿等金属非金属矿类,城关镇有哪些有名的产业？
罗红霉素分散片,药品类型,工伤医保乙类双跨,我想问一下，有人知道罗红霉素分散片是什么类型的药吗？
车前薏米粥,配料,水,车前薏米粥需要哪些配料
彻思叔叔,餐馆名称,彻思叔叔烘焙工坊,有一家叫彻思叔叔店全名叫什么啊？
博略,省,卡尔瓦多斯省,博略属于哪个省？
伦敦大学学院,校训,cuncti adsint meritaeque expectent praemia palmae (让所有因其价值应得奖赏的人都来吧),有没有人知道伦敦大学学院的校训呀？
征服,评分,9,征服网络评分是多少啊？
夜不成寐,出处,《夷坚志·乙志卷八·虔州城楼》,夜不成寐最初出处是哪里呀？
电视广播有限公司,成立,1967年11月19日 （47岁60天，香港九龙广播道）,电视广播有限公司的生日是哪一天呀？
李洋,星座,双鱼座,谁知道李洋是什么星座的？
月光,编曲,洪信杰,月光这首歌是谁编的曲？
城关镇,车牌代码,贵j,求问城关镇的车牌代码？
博士来拜,年代,1461年,博士来拜是什么年代的作品？
秦时明月,游戏类别,网页游戏,秦时明月是什么类型的游戏，玩过的请回答？
毁灭都市,上线时间,2013年8月,毁灭都市是啥时候上映的？
中山大学,现任校长,罗俊[2],求问中山大学的现任校长是谁？
黄山途欢快捷酒店,酒店地址,黄山风景区汤口镇逍遥水街8号楼,麻烦你告诉我一下黄山途欢快捷酒店具体地址？
believe,唱片公司,universal,believe是哪个唱片公司发行的来着？
圣地亚哥,外文名,saint jakob,你知道圣地亚哥英文名怎么拼吗？
朱江,学历,本科,我想问一下朱江的学历是？
杭州圆正艮秋宾馆,房间数量,76间/套,杭州圆正艮秋宾馆一共有多少个房间？
热血兄弟,游戏语言,英文，日语，韩语,热血兄弟可以选择语言？
周永康,个人资料,1942年12月（72岁） 中华民国汪精卫政权江苏省无锡县 周元根,周永康的个人资料有人知道吗，请告诉我一下？
蝴蝶,产地,韩国,蝴蝶是哪里产的？
万科金域蓝湾,楼盘地址,长沙市芙蓉区营盘东路与浏阳河风光带交界处,有一个楼盘叫万科金域蓝湾，有人知道具体位置在哪里吗？
工厂食堂,对象,巴比,工厂食堂面是面向什么对象呀？
《红楼梦》,编剧,徐进,电视剧《红楼梦》的编剧还有人记得吗？
山羊,亚目,反刍亚目,山羊属于什么亚目的？
小红参,中文别名,三叶鼠尾草、紫丹参、小红丹参（云南丽江）、,小红参还叫做什么啊？
灰姑娘,发行公司,华特·迪士尼,我想请问一下影片灰姑娘是哪个公司发行的？
薪酬管理,版次,4,薪酬管理这本书一共印刷了几版？
李明,职称,管理学博士，教授,谁知道李明啊，他的职称是什么？
银行垫款,实质,被迫以自有资金代为支付的行为,银行垫款的本质是什么？
高田ic,所在地,〒929-2111 石川县七尾市高田町 37°3′23.69″n 136°53′45.99″e / 37.0565806°n 136.8961083°e,高田ic在哪里？
七大杀人武器,内容,要听话”用来杀自由,七大杀人武器都有什么内容？
韩熙载夜宴图,尺寸,宽28.7厘米，长335.5厘米,韩熙载夜宴图的尺寸是多大的？
西北大学,学校类型,综合性全国重点大学,西北大学是什么类型的大学？
城关镇,政府驻地,咀台村,城关镇政府在哪个地区？
移动金融领先银行,功能,银行卡完整地空中植入手机sim卡,移动金融领先银行的作用是啥？
杨洋,经纪公司,天娱传媒,我想知道杨洋签了哪家经纪公司？
傀儡师,来源,话剧表演,傀儡师最初是从哪出来的？
中国棒球联赛,主办单位,国家体育总局手曲棒垒运管中心,中国棒球联赛的主办单位是什么？
书剑恩仇录,制片人,王鹏举、尹廉和、区志仁,我想问一下书剑恩仇录的制片是谁？
李明,出生日期,1946年11月,你们知道李明的出生年月吗？
我们,歌曲时长,04：02,我们这首歌一共持续多长时间？
橡树湾,绿化率,30%,橡树湾的绿化率大概有多少？
大花组,族,蝇子草族 trib. sileneae,有个问题想请教一下，大花组属于哪个族啊？
赤壁,作品出处,《列朝诗集》,赤壁出自于哪里？
朝花夕拾,字数,100千字,鲁迅的朝花夕拾全书共多少字？
藤制家具,优点,藤制家具透气性强、手感清爽,藤制家具有什么优势吗？
财富广场,行政区域,即墨市,请问财富广场属于哪个地区？
泼尼松龙,分子量,360.44,学化学的来，泼尼松龙的分子量是？
迈克尔·杰克逊,逝世,2009年6月25日（50岁） 美国加利福尼亚州洛杉矶市荷尔贝山,迈克尔·杰克逊是什么时候去世的？
丽纳尔斯咖啡馆,营业时间,09:00-00:00,有没有人知道丽纳尔斯咖啡馆啥时候营业？
金恒生eb8300,内存容量,128mb,金恒生eb8300的内存是多大的？
ultraviolet by paul pairet,人均价格,5000,ultraviolet by paul pairet的人均价多少？
极乐吻鰕虎,亚目,鰕虎亚目 gobioidei,学生物的来，极乐吻鰕虎属于哪个亚目？
三圣寺,原名,三义庙,三圣寺原名叫什么呀?
李派,创始人,李少春,李派的创始人叫啥来着？
莡,笔画,7划,莡这个字的笔画有多少？
kindle,重量,190g,请问kindle有多重？
中山路,地位,屏东县枋寮乡的南北向主要道路,请问中山路有什么样的地位？
城关镇,下辖地区,辖9个社区居委会，9个村委会,城关镇下辖多少个社区居委会和村委会
定语,词性,名词,定语一般是什么词？
宕怪星,发现日期,"may 24, 1873",宕怪星是啥时候被人们发现的？
寒神星,发现,1862年11月12,寒神星是什么时候被观测到的？
文庙,又称,岳州学宫,文庙还被称为什么？
双江镇,所属国,中国,双江镇在哪个国家啊？
刘平,民 族,汉族,有人认识刘平吗，他是那个民族的？
极速冲浪,游戏站点,806k,极速冲浪在哪个游戏网站可以找到？
昆腾scalar i80(lsc18-ch4g-132h),存储容量,40000gb,昆腾scalar i80(lsc18-ch4g-132h)的存储容量有多少？
地球,离心率,0.016710219,地球的离心率是多少？
浸酸皮,物理特征,浸酸后的裸皮白净,我想知道浸酸皮是什么样的？
地球,轨道倾角,0（7.25°至太阳赤道）,有没有人知道地球的轨道倾角是多少呢？
蝇,部首,虫部外笔画,苍蝇的蝇是啥偏旁部首？
莲子杏仁银耳粥,主料,银耳,莲子杏仁银耳粥的主要食材有啥？
白驹过隙,例句,《罗贯中·三国演义·第一零七回》：“维曰：‘人生如白驹过隙，似此迁延岁月，何日恢复中原乎？’”,白驹过隙应该怎样用，举个例子说明一下？
海妖星,升交点黄经,125.637°,海妖星的升交点黄经是多少呀？
海妖星,近日点参数,195.436°,大家知道海妖星的近日点在哪吗？
戏调,出自,《宋书·沉怀文传》,戏调一词出自于哪个文学作品里？
羧甲基纤维素钠,分子式,c8h16nao8,羧甲基纤维素钠的分子式是啥呀，有人知道吗？
孙悟空,年龄,12-46岁,孙悟空年龄有多大？
城隍庙,创建时间,公元1064年,城隍庙啥时候建立的呀？
路透社,公司类型,上市公司,路透社是一家什么样的公司？
warkey,软件大小,927kb,有人知道warkey软件有多大吗？
城东社区,成立于,2006年8月,城东社区是啥时候成立的？
李家村,年平均气温,13.5 ℃,有人知道李家村吗，那里年平均气温是多少？
山西大学,学生人数,6000,山西大学一共有多少学生？
白云山,气候类型,中亚热带海洋性季风气候,白云山地区是什么型的气候？
万达广场,开业时间,2014年12月6日,万达广场是什么时候开业的呢？
国家级成都高新技术产业开发区,别 名,成都高新区（南区、西区）,国家级成都高新技术产业开发区又被成为什么？
燕麦片,主要营养成分,beta葡聚糖，低密度脂肪蛋白，丰富的维生素，钙、磷、铁、锌、锰等矿物质,燕麦片含有什么成分？
茶花女,拍摄地点,波兰,茶花女在哪里拍摄的？
上海市亭林中学,教师人数,91人（2014）,上海市亭林中学有多少老师呀？
ipad,操作系统,ios,请问ipad是什么操作系统的？
克里斯蒂安·塔纳塞,惯用脚,右脚,有人知道克里斯蒂安·塔纳塞惯用脚是左脚还是右脚吗？
nachi 7320c/db 轴承,内径,100.0000mm,nachi 7320c/db 轴承内径尺寸是多少？
matahariku,发行时间,2009,我想知道matahariku的发行时间是什么时候？
阿尔贝托·吉拉迪诺,球衣号码,11,阿尔贝托·吉拉迪诺的球衣是几号？
阿尔忒弥斯,所属,奥林匹斯神族,阿尔忒弥斯属于什么族？
宕怪星,小行星分类,main belt,宕怪星在小行星分类中是什么类？
博士来拜,规格,246 x 243 厘米,博士来拜是什么尺寸的？
行政自由裁量论,条形码,9.78781E+12,行政自由裁量论的条码是什么，有人知道吗？
民主党,前身,1792年建立的民主共和党,民主党前身是什么？
南山站,所属公司,朝鲜总督府铁道局,我想知道南山站属于哪个公司？
孙悦,血型,b型,孙悦的血型是a还是b？
大庄严论经,朝代,晋朝,大庄严论经是什么年代的作品？
人民公园,占地,50000平方米,人民公园占地面积有多少？
使命召唤：现代战争3,玩家人数,单人多人都可以,使命召唤：现代战争3多少人可以玩呢？
城关镇,总面积,7 5．1平方公里,请问城关镇的面积有多大？
天枢,赤经,11h 03m 43.70s,天枢的赤经是多少？
奥帝泊,组成,object；,谁能告诉我奥帝泊有什么组成？
会说话泰迪熊,应用版本,1.0.0.0,会说话泰迪熊版本号是什么？
隶变,意义,汉字发展史上的一个里程碑,学汉语言的，我想请问一下隶变有什么重要意义呢？
北京大学艺术学系,宗旨,美育列为国民教育,北京大学艺术学系的办学宗旨什么呢？
360极速浏览器,软件语言,简体中文，英语,有没有人知道360极速浏览器都有什么语言的版本？
facebook,领域,社交网站,facebook是一个什么样的网站？
时尚造型屋,游戏目标,经营时尚造型屋,时尚造型屋这个游戏目标是什么？
巨蟹座,赤纬,20,巨蟹座的赤纬是什么？
城关镇,火车站,独山站,城关镇有火车站吗，是什么站？
广东朝野科技有限公司,荣誉,aaa级中国质量信用企业,广东朝野科技有限公司获得过什么荣誉称号？
华纳我爱经典系列,专辑歌手,杜丽莎,华纳我爱经典系列收录了哪些歌手的歌？
使命召唤：现代战争3,游戏画面,好,使命召唤：现代战争3游戏的画面怎么样？
长乐公主,民族族群,西魏,长乐公主是什么朝代的人？
橡树湾,物业公司,华润置地（福州）物业服务有限公司,橡树湾小区的物业管理是包给了哪家公司？
三星rv411-s0d,cpu型号,intel 酷睿i5 480m,三星rv411-s0d用的cpu是什么型号的？
三合乡,所属市,黑龙江省林甸县,三合乡属于哪个市？
伦贝格,人口（2011）,"3,901",有人知道伦贝格有多少人吗？
长沙站,建成时间,老站1912年；新站1977年,长沙站是哪年建成的？
天宁寺,所在,市内,我想请问一下天宁寺在哪个地区？
南京工业大学浦江学院,邮政编码,211816,南京工业大学浦江学院的邮编是多少呢？
管理学,出 版 社,经济管理出版社,管理学这本书是哪个出版社出版的？
失乐园,出版日期,2006-10,失乐园的出版时间是什么时候？
东湖,开放时间,08:00-17:00,东湖是什么时候开放？
橡树湾,容积率,1.7,橡树湾的容积率大概有多少？
美团网,年营业额,160亿元（2013年）[3],请问一下美团网的年营业额有多少？
