question,entity,attribute,answer,predict_answer
你知道魔兽世界是谁的吗？,魔兽世界,运营,全球：暴雪娱乐 大陆：第九城市（2005年6月6日－2009年6月6日） 台港：智凡迪 大陆：网之易（2009年9月19日－ ）,英语，中文等等
动物园交通枢纽是什么？,动物园交通枢纽,起造日期,2001年12月7日[1],优质低碳钢丝（铁丝）
港铁都城嘉慕电动列车是什么时候造的啊？,港铁都城嘉慕电动列车,制造年份,1976年-1997年,第1、2代：都城嘉慕 第3代：gec alsthom
你知道新疆农业科学院粮食作物研究所啊？,新疆农业科学院粮食作物研究所,单位性质,科研事业,59人
断头崖组的代码是什么啊？,断头崖组,阶代码,z1,34
你知道长江西路高架桥什么时候开始修建吗？,长江西路高架桥,开工,2009年7月14日,2010年10月14日
球座尾孢的拉丁是什么啊？,球座尾孢,拉丁纲名,fungi imperficti,moniliales
你知道陈皮嫩鸡是什么特点吗？,陈皮嫩鸡,特点2,麻辣香嫩,色泽红亮
嚼头的意思是什么啊？,嚼头,解释2,嚼起来有韧性,指经得起咀嚼的厚味
你知道子统一汉字是什么吗？,子,统一汉字,u+5b50,宁
你知道布里斯托尔城2011年至2012年球季的首席射手是谁啊？,布里斯托尔城2011年至2012年球季,首席射手,联赛： 乔纳森·斯特德 （jonathan stead，9球） 所有赛事： 乔纳森·斯特德 （jonathan stead，9球）,英格兰
你知道李忠是谁吗？,李忠,民族族群,汉族,男
我想知道些路迪足球队有什么球场吗？,些路迪足球队,内容二,主场球场,球队历史
北区马科恩-赖肖尔表记法是谁啊？,北区,• 马科恩-赖肖尔表记法,puk-ku,三分精准，抢断意识良好，无球跑动
歼-10首飞时间是什么时候啊？,歼-10,首飞,1998年3月23日,2008年12月
大安区行政区是属于谁管辖啊？,大安区,行政区管辖,台中市,1949 年—1954 年
尼尔斯·玻尔影响了谁啊？,尼尔斯·玻尔,施影响于,维尔纳·海森堡 沃尔夫冈·泡利 保罗·狄拉克 莉泽·迈特纳 马克斯·德尔布吕克 和其他多人,欧内斯特·卢瑟福 en:harald høffding
长城x10的输入接口是多少？,长城x10,输出接口,双usb输出,micro usb
冬天里的革命的丛书名是什么？,冬天里的革命,丛书名,中经欧博管理书系,1993年7月15日
中国（桂林）运通国旅国际会议奖励中心主要干什么工作的啊？,中国（桂林）运通国旅国际会议奖励中心,专注,为境内外跨国公司,会奖服务领域的品牌推广
山东省长我是谁啊？,山东,省长,郭树清,10200人（教职工，含威海校区和3所附属医院）[7]
尼美舒利的药代动力学性质是什么啊？,尼美舒利,药代动力学性质,nan,
南区的管辖区是什么？,南区,• 下辖行政区,14洞,台南市
我想知道古巴国家足球队fifa是什么啊？,古巴国家足球队,fifa代码,cub,92（2011年11月）
我很好奇nexus 7 的像素？,nexus 7,相机,120万像素 (前置),"7英寸（180毫米） ips, 1280x800 像素 (216ppi)"
你知道qt的版本吗？,qt,预览版本,5.4 rc[2]（2014年11月27日，2个月前）,5.4[1]（2014年12月10日，2个月前）
松子坡里自然村的收入靠什么？,松子坡里自然村,收入,种植业,8万余亩
昂丹司琼的chenmspider的数值是多少？,昂丹司琼,chemspider,4434,b1 (澳) b (美)
孙悟空有什么技能啊？,孙悟空,绝技,七十二变、筋斗云、火眼金睛等,七十二变、法天象地、筋斗云、火眼金睛
1889年基督进入布鲁塞尔他的属地在哪？,1889年基督进入布鲁塞尔,属地,伦敦，柯隆内尔·l·弗兰克藏,32（2013年10月14日）
浙江省实施《中华人民共和国红十字会法》办法是什么时候通过的？,浙江省实施《中华人民共和国红十字会法》办法,通过日期,1997年9月1日,1997年9月9
有人知道2012云南公务员考试-历年真题精解+全真模拟预测试卷（上）行测是谁进行主要编辑的吗？,2012云南公务员考试-历年真题精解+全真模拟预测试卷（上）行测,主 编,李永新,2012
你知道有关企业号航空母舰的信息吗？,企业号航空母舰,其它,4座升降台 4座c13蒸气弹射器 模版参考来源：[1],"100,000长吨 101,600公吨 112,000短吨"
你知道在中国古诗文是什么含义吗？,古诗文,含 义,中国古代的诗歌和散文,波兰驻华大使馆
我想知道fa是什么？,fa,性质,足球术语,电解电容的无用功率与有用功率比
你听过《因为有你》的歌曲是谁原唱的啊？,因为有你,歌曲原唱,j.p.m组合,平装
太平镇有什么著名景点？,太平镇,著名景点,成子湖,桫椤沟、老码头溶洞、月耳坝经果林、三佛寺、的蛟龙沟
苏亚雷斯是哪个运动队的？,苏亚雷斯,所属运动队,利物浦,美洲狮队
《对酒》是谁写的？,对酒,作 者,曹操,余华 著
《我们》的编曲者是谁？,我们,编曲,丁炜,宋志鹏
海德公园在哪？,海德公园,楼盘地址,太原长风商务区旁边,太原
《我爱你》这首歌有多长时间？,我爱你,歌曲时长,03:16,平装
珨字有多少笔？,珨,笔画,10,ji zi
厄瑞玻斯是什么神？,厄瑞玻斯,所属,原始神祇,古希腊神话
城隍庙占地面积是多少？,城隍庙,占地,4000平方米,3610平方米
动画片小智的配音是谁？,小智,配音,竹内顺子,我和b哥轮智妈 还有谁？
《粉红豹》的imdb是多少？,粉红豹,imdb编码,tt0383216,彩色
珨字部首的笔画是多少？,珨,部首笔划,4,ji zi
《无事生非》的导演是谁？,无事生非,导 演,martin hellberg,130000 万字
《我爱你》由谁负责作曲？,我爱你,作曲,苏颜ft默梁,平装
梦的偏旁是什么？,梦,部首,木,中国社会科学院文学研究所专家介绍，《红楼梦《石头记》流传，不幸的是八十回后竟“迷失无稿”。程伟元经“竭 力搜罗”补成全书，名为《绣像红楼梦》，于乾隆五十六年（1791年）由萃文书屋活字排印出版。》最初以抄本
天柱山又叫做什么？,天柱山,别称,南岳、皖山,古南岳、皖山、皖公山、潜山
你知道谁是东北大学现任校长吗？,东北大学,现任校长,井上明久,joseph e.aoun
《九日》属于什么体裁？,九日,体裁,七言律诗,彩色
《翅膀》是由谁演唱的？,翅膀,演唱者,胡夏,余华 著
笑傲江湖是在哪个台播放的？,笑傲江湖,播映,中国湖南卫视,2003年02月10日，翡翠台
《帝尊》一共完成多少字数？,帝尊,完成字数,6127139,这是两个时代相遇以后出生的小说，前一个是文革中的故事，那是一个精神狂热、本能压抑和命运惨烈的时代，相当于欧洲的中世纪；后一个是现在的故事，那是一个伦理颠覆、浮躁纵欲和众生万象的时代，更甚于今天的欧洲。
你知道万达广场位于什么地方吗？,万达广场,所在地区,江门市,佛山市南海区桂城桂澜路东侧
《神雕侠侣》是什么时候播出的？,神雕侠侣,播出时间,2014年 每周三至周四晚22：00,由张纪中导演，刘亦菲、黄晓明主演的新版神雕侠侣，于2006年央视首播。
平壤之战最后的结果是什么？,平壤之战,结果,日军损失惨重,日本获胜
《魔神英雄传》的音乐是谁负责的？,魔神英雄传,音乐,兼崎顺一、门仓聡,成都千与千寻网络科技有限公司
《埋伏》这个片子有多长？,埋伏,片 长,90分钟,114分钟
加班费是怎么算的？,加班费,标准,不低于工资的150%的工资报酬,劳动法和国家的有关规定
大魔王现在的状态是怎么样？,大魔王,授权状态,a级签约,现世之章连载中 千年之章已完结
《欲魔》有什么色彩？,欲魔,色 彩,彩色,这是两个时代相遇以后出生的小说，前一个是文革中的故事，那是一个精神狂热、本能压抑和命运惨烈的时代，相当于欧洲的中世纪；后一个是现在的故事，那是一个伦理颠覆、浮躁纵欲和众生万象的时代，更甚于今天的欧洲。
《倔强》的MV是谁导的？,倔强,mv导演,赖伟康,张自强
恹字有多少笔？,恹,总笔画,9,ji zi
姜华公司的口号是什么？,姜华,公司口号,绿色环保节能,"170,910百万美元（2014年）[4]"
《莲灯》是什么时候创作的？,莲灯,创作时间,2013年,2010年5月1日
考考你，氟的沸点是多少啊？,氟,沸点,-188.12℃,国语
(z)-2-（2-氨基噻唑-4-基）-2-（1-羧基-1-甲基）乙氧亚氨基乙酸的化学式怎么写？,(z)-2-（2-氨基噻唑-4-基）-2-（1-羧基-1-甲基）乙氧亚氨基乙酸,化学式,c9h11n3o5s,273.27
2012第四届中美冷链物流会议暨中国国际冷链产业博览交易会在哪里举办？,2012第四届中美冷链物流会议暨中国国际冷链产业博览交易会,举办城市,郑州,物流运输
马铃薯灰霉病的病原是什么？,马铃薯灰霉病,病原中文名,灰葡萄孢,半知菌亚门真菌
碎骨匕首装备等级是？,碎骨匕首,装备品质,5,武器 → 匕首
你知道舒的夏天的原名是什么吗？,舒的夏天,本 名,舒翠翠,国
谁知道新加坡地铁滨海市区线的目前状况是怎样的？,新加坡地铁滨海市区线,目前状况,家居装修、别墅装修、酒店装修,兴建中
你知道海略在什么地方？,海略,郡,默勒-鲁姆斯达尔郡,福斯纳沃格
请问九龙巴士15a线总共有多长？,九龙巴士15a线,全程行驶里程,12.9公里,龙翔道往慈云山（北）：hk$5.1
谏字的unicode是什么，有人知道吗？,谏,unicode,cjk 统一汉字 u+8c0f,ji zi
我很好奇中国好声音是在哪里诞生的？,中国好声音,家乡,江苏徐州,中国大陆 浙江卫视首播
我想知道移山倒海是褒义词还是贬义词？,移山倒海,感情色彩,褒义词,联合式
请问第九届广州（国际）车用空调及冷藏链技术展览会什么时候布展？,第九届广州（国际）车用空调及冷藏链技术展览会,布展时间,2012年2月22-23日,中国进出口商品交易会展览馆
请问北京地铁8号线是从哪到哪的？,北京地铁8号线,起讫站点,南锣鼓巷——朱辛庄,地下、高架
请问粤语在哪里使用？,粤语,使用国家和地区,粤语使用者主要分布在广东、广西及香港、澳门等地；于海外分布于：马来西亚、印尼、越南、泰国、澳大利亚本土及圣诞岛、新西兰、美国、加拿大及英国等国家的华人社区。,广东、广西、海南、香港、澳门以及海外华人社区共约6700万至1.2亿[1]（日期不详）
你知道中宇mcd380的信噪比是多少码,中宇mcd380,信噪比,nan,
珠海市现在的领导叫什么？,珠海,现任领导,市委书记：李嘉、市长：何宁卡,公司成立于2006年
我的前夫原本叫什么？,我的前夫,作品原名,青春之歌,头师父一体
请回答氨字是什么偏旁？,氨,部 首,气,a (澳) b (美)
你可以说出麸字的笔划数吗？,麸,笔划,11,ji zi
我是你的，你是我的是谁唱的？,我是你的，你是我的,歌手姓名,曾轶可,萧贺硕
尼美舒利怎样代谢掉？,尼美舒利,排泄,"renal (50%), fecal (29%)",
谁是2012会计从业资格无纸化考试-会计基础考点精讲及归类题库的主编？,2012会计从业资格无纸化考试-会计基础考点精讲及归类题库,主 编,会计从业资格考试研究中心,2012
请问液晶显示便携式x光机的分辨率是多少？,液晶显示便携式x光机,分 辨 率,nan,
