question,entity,attribute,answer,predict_answer
台中市火车站都有什么啊？,台中市,火车站,台中车站、泰安车站、丰原车站等,台湾高速铁路
阿尔弗雷德·冯·提尔皮茨是为谁工作啊？,阿尔弗雷德·冯·提尔皮茨,效命,普鲁士王国  德意志帝国,普法战争 第一次世界大战
佐罗，一个传奇的开始是谁翻译的啊？,佐罗，一个传奇的开始,译 者,赵德明,剑术、武装色霸气、见闻色霸气
你知道trojan.psw.lineage.lsf代表的是几星级的危险程度吗？,trojan.psw.lineage.lsf,警惕程度,★★★,win9x/nt/2000/xp
你知道溪堂诗思图轴有多高吗？,溪堂诗思图轴,横,104cm,194cm
你知道连农特嫩5号是什么时候审定的吗？,连农特嫩5号,审定年份,2008,辽宁
你知道托米·罗布雷多的历史成绩吗？,托米·罗布雷多,单打成绩,450-285 292胜179负,147-158
现在还有人用傣端语吗？,傣端语,目前状况,使用中,台-卡岱语系
我很好奇丘克国际机场的代码是什么？,丘克国际机场,三字代码,tkk,ptkk
西原特别区在什么地方啊？,西原,特别区,北区,2006年6月
你知道壮族使用什么语言吗？,壮族,文字,拉丁壮文,1990年12月5日
你知道敬礼的意义吗？,敬礼,释义1,行礼表示尊敬,用于书信结尾表示尊敬
你知道动机与效果是什么吗？,动机与效果,关于,道德,gec g313型 第2b代:三菱
我想知道第12届中国光伏大会暨国际光伏大会开到什么时候啊？,第12届中国光伏大会暨国际光伏大会,结束时间,2012年9月7日14：00,2012年9月3日—4日
我想知道胡蜂号航空母舰的排水量是多大？,胡蜂号航空母舰,吃水,8.7米,36380吨
你知道长康巴士总站在什么地方吗？,长康巴士总站,分区,长青／长康／美景花园,长康邨、青华苑
我想知道小行星605是什么是时候发现的？,小行星605,历元 2011年8月27日,历元 2011年8月27日,海德堡
普林斯顿号航空母舰吃水多少？,普林斯顿号航空母舰,满载排水量,15100吨,12架战机，9架鱼雷轰炸机，9架俯冲轰炸机
黑夜童心是属于什么类型的啊？,黑夜童心,系别,神秘系,682
你知道北京大歌星投资有限公司的理念是什么吗？,北京大歌星投资有限公司,价值观,顾客第一,开创健康娱乐的连锁模式
海略ISO31166是什么码？,海略,iso 3166码,no-1515,2小时
玫瑰情歌：爱在情歌浪漫时存在什么东西里了？,玫瑰情歌：爱在情歌浪漫时,介  质,cd,大陆
你知道如果真的不再爱我是谁做的曲子吗？,如果真的不再爱我,编 曲,张楚弦，,秋言，
你知道努比亚遗址是什么国家的遗产吗？,努比亚遗址,所属国,埃及,文化遗产(i)(iii)(vi)
你知道复兴航空222号班机空难是什么吗？,复兴航空222号班机空难,事故类型,着陆失败 视线不良 重飞不当,49
你知道隐密士hsm 104.3(1.9mm)一次可以碎多少纸吗？,隐密士hsm 104.3(1.9mm),碎纸能力,16-18张/次,1.9mm
你知道2053年9月12日日食什么时候开始吗？,2053年9月12日日食,开始时间（utc）,09:34:09,日全食
2013年12月永宁站的日进出人次是多少排名第几？,永宁站,日进出人次,"29,806[1]，第49名（2013年12月）",2009年
你知道狗皮膏药是什么意思吗？,狗皮膏药,比喻,骗人的货色,中医用狗皮膏药消肿止痛
我想知道九龙巴士15a线的分段收费站点是什么啊？,九龙巴士15a线,分段收费站点 （去程）,龙翔道往慈云山（北）：hk$5.1,宏光道往平田：hk$5.1 观塘市中心往平田：hk$4.5
你知道出口带宽 是什么意思吗？,出口带宽,带宽,是宽带负载能力,前出师表/后出师表
你知道中国人民银行的机构是什么吗？,中国人民银行,机构沿革,机构沿革,人民银行总行派出机构
我想知道nexus 7是多少寸的吗？,nexus 7,显示,"7英寸（180毫米） ips, 1280x800 像素 (216ppi)",nvidia tegra 3 四核
你知道留在海边的脚印的颜色是什么吗？,留在海边的脚印,颜 色,彩色,室组 sect. platycentrum
你知道魔兽世界是谁的吗？,魔兽世界,运营,全球：暴雪娱乐 大陆：第九城市（2005年6月6日－2009年6月6日） 台港：智凡迪 大陆：网之易（2009年9月19日－ ）,英语，中文等等
你知道委内瑞拉独立日节日是什么样的吗？,委内瑞拉独立日,节日活动,上万名军人和民众一起举行游行庆典,纪念日
动物园交通枢纽是什么？,动物园交通枢纽,起造日期,2001年12月7日[1],优质低碳钢丝（铁丝）
你知道终极金字塔是什么类型的小说啊？,终极金字塔,小说分类,言情小说,古典言情
港铁都城嘉慕电动列车是什么时候造的啊？,港铁都城嘉慕电动列车,制造年份,1976年-1997年,第1、2代：都城嘉慕 第3代：gec alsthom
你知道神雕侠侣的歌曲是什么吗？,神雕侠侣,插曲,陈翔、张馨予《问世间》,周华健
你知道新疆农业科学院粮食作物研究所啊？,新疆农业科学院粮食作物研究所,单位性质,科研事业,59人
嚼头怎么解释啊？,嚼头,解释1,指经得起咀嚼的厚味,嚼起来有韧性
你知道中国共产党第十六届中央委员会第五次全体会议是什么时候举行吗？,中国共产党第十六届中央委员会第五次全体会议,举行时间,2005年10月8日至11日,北京
林晖闵喜欢的明星是什么啊？,林晖闵,偶像,五月天、罗志祥、super junior,田径、跆拳道
你知道龙呤的第二章吗？,龙呤,第二章,江边牧童,悟性
球座尾孢的拉丁是什么啊？,球座尾孢,拉丁纲名,fungi imperficti,moniliales
你知道子统一汉字是什么吗？,子,统一汉字,u+5b50,中科院
你知道布里斯托尔城2011年至2012年球季的首席射手是谁啊？,布里斯托尔城2011年至2012年球季,首席射手,联赛： 乔纳森·斯特德 （jonathan stead，9球） 所有赛事： 乔纳森·斯特德 （jonathan stead，9球）,英格兰
你知道李忠是谁吗？,李忠,民族族群,汉族,男
我想知道些路迪足球队有什么球场吗？,些路迪足球队,内容二,主场球场,球队历史
北区马科恩-赖肖尔表记法是谁啊？,北区,• 马科恩-赖肖尔表记法,puk-ku,三分精准，抢断意识良好，无球跑动
歼-10首飞时间是什么时候啊？,歼-10,首飞,1998年3月23日,2008年12月
大安区行政区是属于谁管辖啊？,大安区,行政区管辖,台中市,1949 年—1954 年
尼尔斯·玻尔影响了谁啊？,尼尔斯·玻尔,施影响于,维尔纳·海森堡 沃尔夫冈·泡利 保罗·狄拉克 莉泽·迈特纳 马克斯·德尔布吕克 和其他多人,欧内斯特·卢瑟福 en:harald høffding
狮子·女巫·魔衣橱的下一部作品是什么?,狮子·女巫·魔衣橱,下一部作品,奇幻马和传说,魔法师的外甥
长城x10的输入接口是多少？,长城x10,输出接口,双usb输出,micro usb
冬天里的革命的丛书名是什么？,冬天里的革命,丛书名,中经欧博管理书系,明代
中国（桂林）运通国旅国际会议奖励中心主要干什么工作的啊？,中国（桂林）运通国旅国际会议奖励中心,专注,为境内外跨国公司,会奖服务领域的品牌推广
山东省长我是谁啊？,山东,省长,郭树清,10200人（教职工，含威海校区和3所附属医院）[7]
尼美舒利的药代动力学性质是什么啊？,尼美舒利,药代动力学性质,nan,
南区的管辖区是什么？,南区,• 下辖行政区,14洞,台南市
我想知道古巴国家足球队fifa是什么啊？,古巴国家足球队,fifa代码,cub,92（2011年11月）
2012年伦敦奥运会什么时候开始啊？,2012年伦敦奥运会,开幕时间,2012年7月27日,2012年7月28日-8月13日
我很好奇nexus 7 的像素？,nexus 7,相机,120万像素 (前置),nvidia tegra 3 四核
你知道2012会计从业资格无纸化考试-会计基础考点精讲及归类题库是那年的版本啊？,2012会计从业资格无纸化考试-会计基础考点精讲及归类题库,版 本,2012,会计从业资格考试研究中心
我想知道6月6日的前一天是哪天？,6月6日,前一天,6月5日,6月7日
狮子·女巫·魔衣橱的上一部作品是什么?,狮子·女巫·魔衣橱,上一部作品,魔法师的外甥,奇幻马和传说
松子坡里自然村的收入靠什么？,松子坡里自然村,收入,种植业,8万余亩
昂丹司琼的chenmspider的数值是多少？,昂丹司琼,chemspider,4434,b1 (澳) b (美)
李安是谁什么的啊？,李安,生肖,马,中国
1889年基督进入布鲁塞尔他的属地在哪？,1889年基督进入布鲁塞尔,属地,伦敦，柯隆内尔·l·弗兰克藏,32（2013年10月14日）
浙江省实施《中华人民共和国红十字会法》办法是什么时候通过的？,浙江省实施《中华人民共和国红十字会法》办法,通过日期,1997年9月1日,1997年9月9
习水县人民政府关于切实加强煤矿建设项目管理工作的意见需要些什么？,习水县人民政府关于切实加强煤矿建设项目管理工作的意见,需要,手续证照登记内容发生改变的,煤矿建设项目相关手续必须完善
有人知道2012云南公务员考试-历年真题精解+全真模拟预测试卷（上）行测是谁进行主要编辑的吗？,2012云南公务员考试-历年真题精解+全真模拟预测试卷（上）行测,主 编,李永新,2012
你知道有关企业号航空母舰的信息吗？,企业号航空母舰,其它,4座升降台 4座c13蒸气弹射器 模版参考来源：[1],福特级（3号舰）
你知道在中国古诗文是什么含义吗？,古诗文,含 义,中国古代的诗歌和散文,波兰驻华大使馆
我想知道fa是什么？,fa,性质,足球术语,中国科学院
清凉寺是在什么地理位置啊？,清凉寺,位置,河北省行唐县,沭阳县城北23公里处的万匹乡
你听过《因为有你》的歌曲是谁原唱的啊？,因为有你,歌曲原唱,j.p.m组合,平装
太平镇有什么著名景点？,太平镇,著名景点,成子湖,桫椤沟、老码头溶洞、月耳坝经果林、三佛寺、的蛟龙沟
苏亚雷斯是哪个运动队的？,苏亚雷斯,所属运动队,利物浦,美洲狮队
古城镇的经纬度是怎样的？,古城镇,地理、人口、经济,34°13′43″n 113°33′23″e / 34.22861°n 113.55626°e坐标：34°13′43″n 113°33′23″e / 34.22861°n 113.55626°e,118平方公里
《对酒》是谁写的？,对酒,作 者,曹操,余华 著
《我们》的编曲者是谁？,我们,编曲,丁炜,余华 著
《我爱你》这首歌有多长时间？,我爱你,歌曲时长,03:16,平装
珨字有多少笔？,珨,笔画,10,ji zi
厄瑞玻斯是什么神？,厄瑞玻斯,所属,原始神祇,古希腊神话
思念是哪个唱片公司发行的？,思念,所属公司,滚石唱片,2000年12月6日
城隍庙占地面积是多少？,城隍庙,占地,4000平方米,3610平方米
动画片小智的配音是谁？,小智,配音,竹内顺子,我和b哥轮智妈 还有谁？
《粉红豹》的imdb是多少？,粉红豹,imdb编码,tt0383216,彩色
珨字部首的笔画是多少？,珨,部首笔划,4,ji zi
南昌工程学院是所什么样的学校？,南昌工程学院,类 别,普通本科高校,忠信笃行，自强不息
《无事生非》的导演是谁？,无事生非,导 演,martin hellberg,130000 万字
《我爱你》由谁负责作曲？,我爱你,作曲,苏颜ft默梁,平装
梦的偏旁是什么？,梦,部首,木,b78-w54-h78
天柱山又叫做什么？,天柱山,别称,南岳、皖山,古南岳、皖山、皖公山、潜山
你知道谁是东北大学现任校长吗？,东北大学,现任校长,井上明久,joseph e.aoun
《九日》属于什么体裁？,九日,体裁,七言律诗,彩色
《翅膀》是由谁演唱的？,翅膀,演唱者,胡夏,黄海波、杜志国、何赛飞、叶静、唐于鸿、甘婷婷、高斯
和谐号crh2型电力动车组获得什么奖项？,和谐号crh2型电力动车组,备注,中国铁路科学技术奖一等奖,"crh2a：300 kw x 16 = 4,800 kw crh2b/e：300 kw x 32 = 9600 kw crh2c（一阶）：300 kw x 24 = 7,200 kw crh2c（二阶）：365 kw x24 = 8,760 kw"
《帝尊》一共完成多少字数？,帝尊,完成字数,6127139,余华 著
你知道万达广场位于什么地方吗？,万达广场,所在地区,江门市,佛山市南海区桂城桂澜路东侧
《神雕侠侣》是什么时候播出的？,神雕侠侣,播出时间,2014年 每周三至周四晚22：00,由张纪中导演，刘亦菲、黄晓明主演的新版神雕侠侣，于2006年央视首播。
平壤之战最后的结果是什么？,平壤之战,结果,日军损失惨重,日本获胜
《魔神英雄传》的音乐是谁负责的？,魔神英雄传,音乐,兼崎顺一、门仓聡,成都千与千寻网络科技有限公司
《埋伏》这个片子有多长？,埋伏,片 长,90分钟,114分钟
加班费是怎么算的？,加班费,标准,不低于工资的150%的工资报酬,劳动法和国家的有关规定
大魔王现在的状态是怎么样？,大魔王,授权状态,a级签约,现世之章连载中 千年之章已完结
《fantasy》是什么语言版本的？,fantasy,语 言,粤语,日语
《欲魔》有什么色彩？,欲魔,色 彩,彩色,图书
《倔强》的MV是谁导的？,倔强,mv导演,赖伟康,张自强
恹字有多少笔？,恹,总笔画,9,ji zi
姜华公司的口号是什么？,姜华,公司口号,绿色环保节能,史蒂夫·乔布斯 史蒂夫·沃兹尼克 罗纳德·韦恩
《莲灯》是什么时候创作的？,莲灯,创作时间,2013年,余华 著
考考你，氟的沸点是多少啊？,氟,沸点,-188.12℃,苏颜ft默梁
gez300es轴承的内径是多少？,gez300es轴承,轴承内径,76.2,120.65
(z)-2-（2-氨基噻唑-4-基）-2-（1-羧基-1-甲基）乙氧亚氨基乙酸的化学式怎么写？,(z)-2-（2-氨基噻唑-4-基）-2-（1-羧基-1-甲基）乙氧亚氨基乙酸,化学式,c9h11n3o5s,273.27
2012第四届中美冷链物流会议暨中国国际冷链产业博览交易会在哪里举办？,2012第四届中美冷链物流会议暨中国国际冷链产业博览交易会,举办城市,郑州,物流运输
2014德国杜塞尔多夫国际医疗器械展览会是什么时候举行？,2014德国杜塞尔多夫国际医疗器械展览会,会期,2014年11月12日至2014年11月15日,综合展
溶液培养属于什么一级学科？,溶液培养,一级学科,生态学,生理生态学
溶液培养属于什么二级学科？,溶液培养,二级学科,生理生态学,生态学
康达效应的第一条是什么？,康达效应,第一条,发现,应用
康达效应的第二条是什么？,康达效应,第二条,应用,发现
康达效应的第三条是什么？,康达效应,第三条,升力的成因,应用
你知道舒的夏天的原名是什么吗？,舒的夏天,本 名,舒翠翠,国
有谁知道王磊生于何年何月何日？,王磊,生于,1977年12月26日－,1971年
谁知道新加坡地铁滨海市区线的目前状况是怎样的？,新加坡地铁滨海市区线,目前状况,家居装修、别墅装修、酒店装修,兴建中
你知道海略在什么地方？,海略,郡,默勒-鲁姆斯达尔郡,福斯纳沃格
仡隆语现在还有人用吗？,仡隆语,目前状况,使用中,海南省
谏字的unicode是什么，有人知道吗？,谏,unicode,cjk 统一汉字 u+8c0f,ji zi
谁知道洋基体育场是谁的？,洋基体育场,业主,纽约洋基,左外野－318呎（96.9米） 左内野－399呎（121.6米） 中外野－408呎（124.3米） 右内野－385呎（117.3米） 右外野－314呎（95.7米）
请问鞋号是什么意思？,鞋号,表示,鞋的一种简单代号,脚型特点和脚型规律
请问第九届广州（国际）车用空调及冷藏链技术展览会什么时候布展？,第九届广州（国际）车用空调及冷藏链技术展览会,布展时间,2012年2月22-23日,中国进出口商品交易会展览馆
你知道中宇mcd380的信噪比是多少码,中宇mcd380,信噪比,nan,
2041年4月30日日食什么时候开始？,2041年4月30日日食,开始时间（utc）,11:52:21,日全食
九龙巴士249x线回程的分段收费站点叫什么？,九龙巴士249x线,分段收费站点 （回程）,过沙岭隧道后往沙田市中心：hk$5.8,过昂船洲大桥后往青衣铁路站：hk$4.3
微星n520gt暴雪v5 2g d3显示芯片叫什么？,微星n520gt暴雪v5 2g d3,显卡芯片,geforce gt520,nvidia
珠海市现在的领导叫什么？,珠海,现任领导,市委书记：李嘉、市长：何宁卡,第八届人民政府第18次常务会议
九龙巴士249x线去时的分段收费站点叫什么？,九龙巴士249x线,分段收费站点 （去程）,过昂船洲大桥后往青衣铁路站：hk$4.3,过沙岭隧道后往沙田市中心：hk$5.8
静虚的解释是什么？,静虚,解释1,清净无欲,恬淡平和
玉米秸秆粉碎机有哪两个特点？,玉米秸秆粉碎机,特点2,自动喂料、安全可靠,结构合理、移动方便
文峰塔有多高？,文峰塔,塔高,四米,48.5米
些路迪足球队有何内容？,些路迪足球队,内容一,球队历史,主场球场
飞狐外传的下一部作品是什么？,飞狐外传,下一部作品,倚天屠龙记,雪山飞狐
我的前夫原本叫什么？,我的前夫,作品原名,青春之歌,弄假成真
第四届宋庆龄杯两岸暨港澳青少年足球赛一共入了多少个球？,第四届宋庆龄杯两岸暨港澳青少年足球赛,总入球数,25球（每场4.17球）,6场
那么5月27日的前一天是什么？,5月27日,前一天,5月26日,5月27日
你可以说出麸字的笔划数吗？,麸,笔划,11,ji zi
请问双叶sa的下行营业时间是什么？,双叶sa,下行营业时间,9:00-17:00（平日） 8:00-17:00（假日）,9:00-17:00（平日） 9:00-18:00（假日）
有谁知道飞狐外传的上一部作品是什么？,飞狐外传,上一部作品,雪山飞狐,倚天屠龙记
请问十大气势背景音乐排名第二的是什么？,十大气势背景音乐,第二名,the dawn,the mass
请问灾难灰姑娘的男主角是谁？,灾难灰姑娘,男主角,慕容哲风,商迪
我是你的，你是我的是谁唱的？,我是你的，你是我的,歌手姓名,曾轶可,萧贺硕
请问液晶显示便携式x光机的分辨率是多少？,液晶显示便携式x光机,分 辨 率,nan,
