question,predict_answer,accurate_answer
who is washington redskins backup qb?,Rex Grossman,Rex Grossman
what language do people speak in the netherlands?,Frisian languages,Frisian languages
what are the major languages spoken in greece?,Greek Language,Albanian language
what movies has john williams score?,A.I. Artificial Intelligence,A.I. Artificial Intelligence
what to do in richardson dallas?,Wizard's Sports Cafe,Wizard's Sports Cafe
what type of artist is henri matisse?,Sculpture,Sculpture
what was the first book charles dickens wrote?,The Chimes,Oliver Twist
what books did agatha christie wrote?,Crime writer,And Then There Were None
what school did michael jordan attend?,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill
which continental congress approve the declaration of independence?,Second Continental Congress,Second Continental Congress
what year does hitler die?,Gunshot,Hitler and His Generals: Military Conferences 1942-1945
where is mount st helens volcano?,Stratovolcano,Skamania County
what shows are shot in new york?,Flight of the Conchords,Flight of the Conchords
what book did tupac write?,The Rose That Grew from Concrete,The Rose That Grew from Concrete
what language do chinese people write in?,Traditional Chinese characters,Traditional Chinese characters
what was robert burns famous for?,Poet,Poet
when did william mckinley died?,9/14/1901,9/14/1901
how deep is lake merritt oakland?,Oakland,Oakland
who is the next governor of indiana?,Mitch Daniels,Mitch Daniels
what are the important holidays of islam?,Eid al-Fitr,Eid al-Fitr
what type of music did claude debussy play?,Ballet,Ballet
when was the last time the toronto maple leafs were in the stanley cup finals?,1967 Stanley Cup Finals,1967 Stanley Cup Finals
what currency does russia use 2012?,Russian ruble,Russian ruble
what team is hank baskett on 2010?,Philadelphia Eagles,Philadelphia Eagles
what are the two official languages of paraguay?,Paraguayan Guaraní,Paraguayan Guaraní
who is hammurabi and what did he do?,Monarch,Monarch
what state is the steelers from?,Pittsburgh,Pittsburgh
what college did sir isaac newton go to?,"The King's School, Grantham","The King's School, Grantham"
what are the school colors for harvard university?,Crimson,Crimson
where is the university of the rockies located?,United States of America,United States of America
what disease does robin roberts have?,Myelodysplastic syndrome,Breast cancer
what was the capital city of the east roman empire?,Constantinople,Constantinople
who plays edward scissorhands?,Johnny Depp,Johnny Depp
what does joey jordison play in slipknot?,Drums,Drums
what kind of language does turkey speak?,Turkish Language,Turkish Language
what was lebron james first team?,2003–04 NBA season,Cleveland Cavaliers
who fought the battle of gettysburg?,Confederate States of America,Confederate States of America
who is the coach of the sf giants?,Tim Flannery,Tim Flannery
where can you go on eco holidays in the uk?,Urbis,"World Bank, World Development Indicators, Life Expectancy"
who was the first president of the afl?,Bud Adams,Bud Adams
where did giuliana rancic grow up?,Naples,Naples
what are the major cities in ukraine?,Kiev,Kiev
which university did michael bay graduated from?,Crossroads School,Crossroads School
what did queen victoria say about the suffragettes?,"I am every day more convinced that we women, if we are to be good women, feminine and amiable and domestic, are not fitted to reign; at least it is they that drive themselves to the work which it entails.","I am every day more convinced that we women, if we are to be good women, feminine and amiable and domestic, are not fitted to reign; at least it is they that drive themselves to the work which it entails."
what is st anthony patron saint of?,Padua,Padua
who does brian dawkins play for 2011?,Denver Broncos,Denver Broncos
what movies did tupac star in?,Bishop,Nothing but Trouble
what form of currency does china have?,Renminbi,Renminbi
who plays kenneth?,Jack McBrayer,Jack McBrayer
what league are the indianapolis colts in?,AFC South,AFC South
what country did magellan represent?,Portugal,Portugal
where is perpignan located?,France,France
who did kim richards marry?,Greg Davis,Greg Davis
what happened in bosnia in the 90s?,Yugoslav Wars,Yugoslav Wars
when's the last time the steelers won the superbowl?,Super Bowl IX,Super Bowl XLIII
where does archbishop desmond tutu live?,South Africa,South Africa
where english is spoken?,the Federation of Free States,Canada
where is giza pyramids located?,Giza Plateau,Egypt
what is the zip code for midland tx?,79702,79702
what states make up the midwest us?,Wisconsin,Wisconsin
where do the florida marlins play spring training?,Marlins Park,University of Florida
what instruments does justin bieber use?,guitar,guitar
what language does australians speak?,Greek Language,Greek Language
who did annie oakley married?,Frank E. Butler,Frank E. Butler
who has played lex luthor?,Gene Hackman,Anthony LaPaglia
where does the zambezi river start?,Indian Ocean,Mwinilunga
where will tebow go in 2013?,Manila,New York Jets
what is the nigeria time?,West Africa Time,West Africa Time
where did they find jenni rivera's body?,"Iturbide, Nuevo León","Iturbide, Nuevo León"
what university did romney graduated from?,Cranbrook Schools,Stanford University
where is the time zone line in south dakota?,Mountain Time Zone,Mountain Time Zone
where is jason mraz from?,Mechanicsville,Mechanicsville
what killed john bonham?,Inhalation of vomit,Inhalation of vomit
what industry does walmart operate in?,Department Stores,Department Stores
what county is texarkana arkansas in?,Miller County,Miller County
what team was chris paul on?,Los Angeles Clippers,Los Angeles Clippers
what country was slovakia?,Ukraine,Czechoslovakia
what music period did beethoven live in?,Opera,Opera
what did laura ingalls wilder wrote?,South Dakota,On the Banks of Plum Creek
what type of government system does italy have?,Constitutional republic,Constitutional republic
what did john irving wrote?,Trying to Save Piggy Sneed,Trying to Save Piggy Sneed
what is the national flower of hawaii?,Hawaiian hibiscus,Hawaiian hibiscus
what did alice paul accomplish?,Mount Laurel Township,Silent Sentinels
where to go fishing in roanoke va?,Rainbow Bluff Expedition,Rainbow Bluff Expedition
what languages do they speak in costa rica?,Spanish Language,Spanish Language
where did hank marvin come from?,Newcastle upon Tyne,Newcastle upon Tyne
when did chipper jones get drafted?,1990 Major League Baseball Draft,1990 Major League Baseball Draft
what part did winona ryder play in star trek?,Amanda Grayson,Amanda Grayson
what did president carter do in office?,Social development,Social development
what war did hitler lose?,Hitler and His Generals: Military Conferences 1942-1945,World War II
where did jovan belcher kill himself?,Kansas City,Kansas City
where is the chernobyl nuclear power plant?,Prypiat,Prypiat
where did clay matthews go to school?,Agoura High School,Agoura High School
what time is it in texas houston right now?,Central Time Zone,Central Time Zone
who is princess leia in star wars?,Padmé Amidala,Carrie Fisher
what is the political structure of china?,Socialist state,Single-party state
what is new york city airport?,Flushing Airport,Flushing Airport
what language brazil speak?,Brazilian Portuguese,Brazilian Portuguese
who played obi wan in episode 2?,Ewan McGregor,Ewan McGregor
where did venus williams come from?,Lynwood,Lynwood
what currency is used in panama?,United States dollar,United States dollar
where does the zambezi river originate?,Indian Ocean,Tanzania
what countries do the united nations help?,Afghanistan,Afghanistan
what team did ronaldo play for in 2003?,Sport Club Corinthians Paulista,Real Madrid C.F.
where does robin williams live 2011?,San Francisco,San Francisco
who played jacob black in twilight?,Taylor Lautner,Taylor Lautner
when was president john adams elected?,Massachusetts,"John Adams Presidential Campaign, 1796"
who does lee clark manager?,Birmingham City F.C.,Birmingham City F.C.
which airport to fly into in buenos aires?,Aeroparque Jorge Newbery,Aeroparque Jorge Newbery
where to get a marriage license in long island?,United States District Court for the Eastern District of New York,United States District Court for the Eastern District of New York
what team did adrian peterson play for in college?,University of Oklahoma,University of Oklahoma
where does name pennsylvania come from?,William Penn,William Penn
what kind of money do they use in germany?,Euro,Euro
who plays blaine in batman?,Him/Herself,Him/Herself
what did james chadwick invent?,Neutron,Neutron
what language does australia use?,Lojban,English Language
what position did vince lombardi play in college?,Right Guard,Right Guard
