在生物学中钩吻属属于哪个界？	钩吻属	界	动物界	钩吻
你知道brocade 425（双端口）的接口类型是什么啊？	brocade 425（双端口）	接口类型	pci-e	brocade425（双端口）
我想了解一下thinkpad e420 1141a64处理器型号是什么啊？	thinkpad e420 1141a64	处理器型号	intel 酷睿 i3 2330m	thinkpade4201141a64
宏碁one 200-314g50n 这个机子的处理器主频是多少啊？	宏碁one 200-314g50n	处理器主频	1.20ghz	宏碁one200-314g50n
宏基travelmate 600 603ter这个产品的硬盘容量是什么时候啊？	宏基travelmate 600 603ter	硬盘容量	12.000ultraata/33	宏基travelmate600603ter
你知道赵文卓甄子丹事件都有谁吗？	赵文卓甄子丹事件	人物	甄子丹	赵文卓甄子丹
trinity seven 魔道书7使者的原作是谁啊?	trinity seven 魔道书7使者	原作	齐藤健二	trinityseven魔道书7使者
我想知道greatest hits 是那个歌手的？	greatest hits	歌手	shakira 夏奇拉	greatesthits
我想知道over the rainbow有多少曲目？	over the rainbow	曲目数量	12	overtherainbow
索尼xperia z ultra 的上市时间是什么时候？	索尼xperia z ultra	上市日期	2013年第三季度	索尼xperiazultra
德克斯特的实验室的格式是什么/	德克斯特的实验室	格式	avi-tvrip	德克斯特
你知道hp ipaq 910的主屏尺寸是多少吗？	hp ipaq 910	主屏尺寸	2.4英寸 320×240像素	hpipaq910
fag 7603040-tvp轴承 是什么品牌的？	fag 7603040-tvp轴承	品牌	fag	fag7603040-tvp轴承
f5 big-ltm-8800-4gb-rs的设备类型是什么？	f5 big-ltm-8800-4gb-rs	设备类型	负载均衡器 纠错	f5big-ltm-8800-4gb-rs
android studio的软件平台是什么？	android studio	软件平台	linux，mac os x，windows	androidstudio
魔法少女小圆漫画作品是在什么期间连载的？	魔法少女小圆漫画作品	连载期间	2011年2月12日－5月30日	魔法少女小圆
黄蜂号航空母舰的技术数据是什么啊？	大黄蜂号航空母舰	技术数据	19,900吨	黄蜂号航空母舰
wps office的软件类型是什么啊？	wps office	软件类型	桌面、移动办公软件	wpsoffice
ntn 6012zz轴承的型号什么啊？	ntn 6012zz轴承	轴承型号	6012zz轴承	ntn6012zz轴承
first love的录制时间是什么时候啊？	first love	录制	1992年	firstlove
nsk f635/f635zz1/vv/dd轴承是什么系列的？	nsk f635/f635zz1/vv/dd轴承	轴承系列	带法兰深沟球轴承	nskf635/f635zz1/vv/dd轴承
三星galaxy s5 的内存有多大？	三星galaxy s5	内存	ram：2g，rom：16/32gb	三星galaxys5
蓝宝石pure white 785gm-va的集成芯片是什么型号的？	蓝宝石pure white 785gm-va	集成芯片	声卡/网卡	蓝宝石purewhite785gm-va
你知道timken hm88648-hm88610轴承是什么品牌吗？	timken hm88648-hm88610轴承	轴承品牌	timken	timkenhm88648-hm88610轴承
你知道三星 r18-dy0s的主板芯片是什么吗？	三星 r18-dy0s	主板芯片组	ati rs600me+sb600	三星r18-dy0s
你知道联想erazer t410（g540）的散热是什么型号？	联想erazer t410（g540）	cpu 型号	ntel 赛扬 g540	联想erazert410（g540）
八年级下册英语单词的单词有多少啊？	八年级下册英语单词	数量	470单词和短语	八年级下册英语单
koyo nu1012轴承的轴承是多大的啊？	koyo nu1012轴承	d(内径)	60mm	koyonu1012轴承
boom boom是什么专辑的歌曲啊？	boom boom	所属专辑	bonamana	boomboom
航嘉巧管家ssl403 1.8米 是什么产品？	航嘉巧管家 ssl403 1.8米	产品类型	接线板	航嘉巧管家ssl4031.8米
koyo mlf2006轴承的外直径有多大啊？	koyo mlf2006轴承	od(外径)	6mm	koyomlf2006轴承
timken 3479/3420-b轴承是什么系列的轴承啊？	timken 3479/3420-b轴承	系列	带法兰单列	timken3479/3420-b轴承
你知道lg optimus nexus 电池的容量有多大吗？	lg optimus nexus	电池容量	2100毫安时锂电池	lgoptimusnexus
你知道速龙 ii 170u缓存有多大吗？	速龙 ii 170u	二级缓存	1mb	速龙ii170u
保时捷918spyder要多少钱可以买到啊？	保时捷918 spyder	参考价格	1338.8万人民币	保时捷918spyder
你知道amd his 7870的显存位宽是多少吗？	amd his 7870	显存位宽	256bit	amdhis7870
boxlight mp-35t的对比度是什么啊？	boxlight mp-35t	对比度	300:1	boxlightmp-35t
你知道远大前程这个剧一共有多少集吗？	《远大前程》	全部集数	30集	远大前程
我想知道寻秦记是什么时候上映的啊？	《寻秦记》	首播时间	2001年	寻秦记
我想知道战争汉是在什么平台？	生化战争汉	其他平台	s60v1	战争汉
你知道教父3：最后的教父是哪个公司出版的吗？	教父 3：最后的教父	版权	读客图书有限公司	教父3：最后的教父
我想知道狂犬病的潜伏期会传染吗？	狂犬病潜伏期	传染病	是	狂犬病
skf n02轴承的型号是什么啊？	skf n02轴承	型号	n02	skfn02轴承
我想知道boost c++ libraries的协议叫什么名字？	boost c++ libraries	许可协议	boost许可证	boostc++libraries
三星e220(galaxy pop)这个手机是什么制式？	三星 e220(galaxy pop)	手机制式	gsm	三星e220(galaxypop)
诺基亚6234的频率是多啊？	诺基亚 6234	频率	900/1800/1900/2100mhz	诺基亚6234
天仙配这个电影叫什么名字啊？	天仙配	影片名称	天仙配	天仙
你知道adobe acrobat 的稳定版是什么吗？	adobe acrobat	稳定版本	windows 11.0.10（2014年12月9日，41天前）[±][1] os x 11.0.10（2014年12月9日，41天前）[±][1] android 11.7.1（2014年12月10日，40天前）[±][2] ios 11.6.4（2014年12月1日，49天前）[±][3] linux 9.5.5（2013年5月14日，19个月前）[±][4][5] windows 8/rt 3.1（2014年9月29日，3个月前）[±][6][7]windows phone 10.4.4.0（2014年11月18日，2个月前）[±][8][9]	adobeacrobat
你知道什么样子的学生才可以评英华实践奖学金吗？	北大英华实践奖学金	条件	热爱祖国 具有良好的外语水平等	英华实践奖学金
我想知道精影hd4350 hm512m刀锋战士的显示芯片是什么吗？	精影hd4350 hm512m刀锋战士	显示芯片	radeon hd 4350	精影hd4350hm512m刀锋战士
我想知道fn minimi轻机枪多重？	fn minimi轻机枪	基本规格	7.1 公斤	fnminimi轻机枪
5.56×45mm nato的生产人是什么啊？	5.56×45mm nato	生产历史	尤金·m·斯通纳	5.56×45mmnato
你知道vietnam rust的岩性是什么啊？	vietnam rust	岩性	中国产花岗岩 | china's granite	vietnamrust
我知道playstation vita是什么公司出的？	playstation vita	制造商	索尼电脑娱乐（sce）	playstationvita
你知道蜡笔小新 逆袭的机器人爸爸的全称吗？	蜡笔小新 逆袭的机器人爸爸	香港	蜡笔小新：大对决！机器人爸爸的反击	蜡笔小新逆袭
你知道创新x-fi karaoke edition怎么安装吗？	创新x-fi karaoke edition	安装方式	外置	创新x-fikaraokeedition
free cheat的都有什么功能吗？	free cheat	主要功能	对运行于psp的游戏进行修改	freecheat
你知道非线性定价的主体是什么吗？	非线性定价	主体	某一商品或服务支付的总价格	非线性
如何创建学习型社区这个商品的大小你知道吗？	如何创建学习型社区	商品尺寸	22.8x15.4x1.2cm	学习型社区
我想知道it-ceo it900(250gb)是在什么地方储存的啊？	it-ceo it900(250gb)	存储介质	2.5英寸硬盘	it-ceoit900(250gb)
with the beatles是什么事什么时候录的啊？	with the beatles	录制时间	1963年7月18日—10月23日	withthebeatles
你知道记忆匹配是什么语言吗？	记忆匹配	界面语言	英文游戏	记忆
我想知道三星galaxy s5的cpu是什么的啊?	三星galaxy s5	cpu	高通 骁龙snapdragon 801	三星galaxys5
我想知道尼康 l310有什么特征？	尼康 l310	机身特性	消费，长焦，广角	尼康l310
你知道金鹏v0009支持什么频段的吗？	金鹏 v0009	支持频段	gsm 850/900/1800/1900	金鹏v0009
你知道如何创建学习型社区这个商品的重量吗？	如何创建学习型社区	商品重量	200g	学习型社区
我问问你三星e2530手机是什么颜色的啊？	三星 e2530	机身颜色	黑色	三星e2530
你知清“与天地参”匾 在什么地方放着吗？	清“与天地参”匾	收藏	孔庙和国子监博物馆	“与天地参”匾
我想知道壮族自治区烟草专卖局是什么时候组建的啊？	广西壮族自治区烟草专卖局	组建时间	1983年8月	壮族自治区烟草专卖局
你知道tp-link tl-tr761（中国电信）的频率范围是多少吗？	tp-link tl-tr761（中国电信）	频率范围	单频（2.4ghz）	tp-linktl-tr761（中国电信）
你知道华为g302d u8812d的摄像像素是多大吗？	华为g302d u8812d	摄像头像素	500万	华为g302du8812d
你知道大宇lm1702的分辨率吗？	大宇 lm1702	最佳分辨率	1280x1024	大宇lm1702
理工类专业中包括什么啊？	理工类专业	包含	理学和工学	理工类
我想知道微信for Windows的操作环境？	微信 for windows	环境	winxp/win2003/vista/win7/win8	微信forwindows
你知道后海名苑居在什么位置环线吗？	后海名苑居	环线位置	后海大道	后海名苑
你知道贝内利m4 super 90霰弹枪的服役记录是什么吗？	贝内利m4 super 90霰弹枪	服役记录	1999年－现在	贝内利m4super90霰弹枪
你知道祺祥9600gso 512m ddr3网吧之星的显存频率吗？	祺祥9600gso 512m ddr3网吧之星	显存频率	1500mhz	祺祥9600gso512mddr3网吧之星
哈苏h2f光学变焦是多少啊？	哈苏 h2f	光学变焦	0	哈苏h2f
你知道姆米又是来自什么地方吗？	姆米又	源自	法国muemieyoe品牌	姆米
爱其eip-4200的标准分辨率是多大啊？	爱其 eip-4200	标准分辨率	1024×768	爱其eip-4200
intel酷睿2双核e8500的插槽类型是什么啊？	intel 酷睿2双核 e8500（散）	插槽类型	lga 775	intel酷睿2双核e8500
hp compaq nc6230(ef927pa)的主频是多少啊？	hp compaq nc6230(ef927pa)	最高主频	1.86ghz	hpcompaqnc6230(ef927pa)
你知道边韶答弟子是什么意思啊？	边韶答弟子	注释	白天	边韶答
令人上瘾的游戏的软件大小是多少啊？	令人上瘾的游戏	应用大小	15.58m	令人上瘾的
你知道台湾的电视公司的子公司是什么吗？	台湾电视公司	子公司	台视文化事业股份有限公司	台湾
cisco ws-c2950c-24的端口有多少个啊？	cisco ws-c2950c-24	端口数量	26	ciscows-c2950c-24
你知道timken 21075/21212-b轴承的内圈是多大吗？	timken 21075/21212-b轴承	内圈	：21075	timken21075/21212-b轴承
iko sb150a轴承的直径是多长的啊？	iko sb150a轴承	d	150 mm	ikosb150a轴承
2012款埃尔法 3.5l 尊贵版的保修是什么政策啊？	2012款埃尔法 3.5l 尊贵版	保修政策	三年或10万公里	2012款埃尔法3.5l尊贵版
你到底会不会上网是谁翻译的啊？	你到底会不会上网	作/译者	杨裕民 张认	会不会上网
斯贝s-md05的系统是多大的内村啊？	斯贝s-md05(4g)	系统内存	256mb	斯贝s-md05
你知道六一女孩的海底大战是什么啊？	六一女孩之海底大战	过程	准备下深海寻宝	六一女孩
fn five-seven手枪是什么类型的啊？	fn five-seven手枪	枪机种类	延迟或减缓反冲作用、后吹式延迟闭锁枪机	fnfive-seven手枪
你知道缤特力audio995的频率范围是多少啊？	缤特力audio 995	频响范围	20-20000hz	缤特力audio995
你知道细菌群体趋药性的算法是什么吗？	细菌群体趋药性算法	基于	berg、brown和dahlquist	细菌群体趋药性
lg ke770是什么时候上市的啊？	lg ke770	上市时间	2007年	lgke770
你知道富钧praeton ld964的散热器类型是什么吗？	富钧praeton ld964	散热器类型	cpu散热器	富钧praetonld964
你知道 on the wing的流派是什么啊？	on the wing	流派	pop	onthewing
华硕engtx560 se dc top/2di/1gd5至尊版的代号是什么啊？	华硕engtx560 se dc top/2di/1gd5至尊版	核心代号	gf114	华硕engtx560sedctop/2di/1gd5至尊版
摩托罗拉milestone3（里程碑3）的主屏幕分辨率是多少啊？	摩托罗拉 milestone3（里程碑3）	主屏分辨率	540×960像素	摩托罗拉milestone3（里程碑3）
交通参数都有什么啊？	交通参数	例如	如交通量、车速、密度	交
你知道品牌视角是什么吗？	品牌视角	时长	电视版10分钟，网络版30分钟	品
你知道微星n480gtx-m2d15 + nv 3d眼镜的显示芯片的型号是什么吗？	微星n480gtx-m2d15 + nv 3d眼镜	显示芯片型号	geforce gtx 480	微星n480gtx-m2d15+nv3d眼镜
你知道智能蓄电池的内阻测试仪的电压是什么吗？	智能蓄电池内阻测试仪	电压	0.000v--16v	智能蓄电池
你知道迪艾斯xid 590i用什么打印方式吗？	迪艾斯xid 590i	打印方式	热转印打印	迪艾斯xid590i
花王mp3 portable workman标准型的续航时间是多长啊？	花王mp3 portable workman 标准型	续航时间	12小时	花王mp3portableworkman
Chinese burn的专辑歌手是谁啊？	chinese burn	专辑歌手	curve	chineseburn
你知道3com switch 5500(3cr17151-91)的带宽多长吗？	3com switch 5500(3cr17151-91)	背板带宽	12.8gbps	3comswitch5500(3cr17151-91)
你知道建邦agp-3000 2mb显卡的总线接口是什么吗？	建邦agp-3000 2mb显卡	总线接口	agp	建邦agp-30002mb显卡
你知道佳能lide 110的最大幅面是什么吗？	佳能lide 110	最大幅面	a4	佳能lide110
惠普pro 3005mt(a6u04pa)的台式机类型是什么啊？	惠普pro 3005mt(a6u04pa)	台式机类型	商用电脑	惠普pro3005mt(a6u04pa)
Windows mobile 是使用的什么计算机语言啊 ？	windows mobile	编程语言	c++	windowsmobile
飞利浦dcd8000的输出功率是多大啊？	飞利浦 dcd8000	输出功率	2600 瓦pmpo	飞利浦dcd8000
imi tar-21突击步枪是属于什么类型的啊？	imi tar-21突击步枪	衍生型	参见 衍生型	imitar-21突击步枪
联想thinkpad r60(9455fr2)的cpu主频是什么型号的啊？	联想thinkpad r60(9455fr2)	cpu主频	1.83ghz	联想thinkpadr60(9455fr2)
艾迪索ezscan 1000的扫描元件是什么啊？	艾迪索ezscan 1000	扫描元件	cmos	艾迪索ezscan1000
我想知道联想网御power v-418-vpn 的网络吞吐量是多大啊？	联想网御power v-418-vpn	网络吞吐量	800mbps	联想网御powerv-418-vpn
你知道imi galil突击步枪的枪口初速度是多少吗？	imi galil突击步枪	枪口初速	5.56×45毫米nato：  arm、ar：m193：980米／秒（3215.29英尺／秒） sar：920米／秒（3018.44英尺／秒） mar：不明   7.62×51毫米nato：  狙击型：950米／秒（3,116.8英尺／秒） arm、ar：850米／秒（2788.77英尺／秒） sar：m193：800米／秒（2624.728英尺／秒）	imigalil突击步枪
你知道酷睿i5 750是属于系列的吗？	酷睿i5 750	cpu系列	酷睿i5	酷睿i5750
我想知道google tv 是谁发布的啊？	google tv	发布	google公司	googletv
佐罗，一个传奇的开始是谁翻译的啊？	佐罗，一个传奇的开始	译 者	赵德明	佐罗，一个传奇
你知道三星 p1000 刷机包的大小是什么吗？	三星 p1000 刷机包	rom大小	208.72mb	三星p1000
你知道hp hp compaq nx6330的内存多大吗？	hp hp compaq nx6330	内存大小	1024mb	hphpcompaqnx6330
你知道三星 g618e有什么数据业务吗？	三星 g618e	数据业务	gprs	三星g618e
你知道2013款传祺ga5 2.0l自动精英版是什么时候推出的吗？	2013款传祺ga5 2.0l自动精英版	推出年款	2012	2013款传祺ga52.0l自动精英版
你知道海尔xqg60-b10266w gm属于什么系列吗？	海尔xqg60-b10266w gm	产品系列	水晶系列	海尔xqg60-b10266wgm
你知道tp-link tl-sl3428是什么类型的交换机吗？	tp-link tl-sl3428	交换机类型	千兆以太网交换机	tp-linktl-sl3428
你知道j-sa p-m-ld2000e-a的适用电压吗？	j-sa p-m-ld2000e-a	工作电压	dc 14v～24v	j-sap-m-ld2000e-a
你知道锡伯龙企业的创办者是谁吗？	锡伯龙企业	创办者	瓜尔佳·宝仓	锡伯龙企
ngc7822你知道他的半径吗？	ngc 7822	半径	20光年	ngc7822
你知道sett 5t272的质保时间是什么吗？	sett 5t272	质保时间	1年	sett5t272
你知道d-link dir-602的网络标准是多少吗？	d-link dir-602	网络标准	无线标准：ieee 802	d-linkdir-602
你知道microsoft azure的出示版本什么啊？	microsoft azure	初始版本	2010年2月1日，4年前[1]	microsoftazure
你说lg ls-e3517ddw是不是变频的啊？	lg ls-e3517ddw	变频/定频	定频	lgls-e3517ddw
你知道htc 8x电池是什么样式的吗？	htc 8x	电池	1800mah 充电式锂离子电池	htc8x
戴尔latitude cpt-s是什么设计类型啊？	戴尔latitude cpt-s	设计类型	低端型	戴尔latitudecpt-s
你知道skf 2*7230bcbm轴承的内径是什么啊？	skf 2*7230bcbm轴承	内径	150mm	skf2*7230bcbm轴承
你知道家庭教师 hitman reborn！犯罪集团大集合！意大利式节 是谁发行的吗？	家庭教师 hitman reborn！犯罪集团大集合！意大利式节	发行厂商	takara tomy	家庭教师hitmanreborn！犯罪集团大集合！意大利式节
我很好奇fag hcs7014e.t.p4s.ul轴承是出自什么地方啊？	fag hcs7014e.t.p4s.ul轴承	轴承产地	德国	faghcs7014e.t.p4s.ul轴承
我想知道koyo 33112 轴承是什么型号的啊？	koyo 33112 轴承	旧型号	3007712e	koyo33112轴承
你知道佐久间多少岁了吗？	佐久间玲	现年	49岁	佐久间
你知道三星hm3200原装蓝牙耳机的通话时间是多久啊？	三星hm3200原装蓝牙耳机	通话时间	5小时	三星hm3200原装
你知道ntn 23232bk轴承的内径d是多大吗？	ntn 23232bk轴承	内径d	160mm	ntn23232bk轴承
我想知道爱普生 cx8300的最大处理幅面是多少啊？	爱普生 cx8300	最大处理幅面	a4	爱普生cx8300
你知道ati mobility radeon hd 6470是什么显存类型啊？	ati mobility radeon hd 6470	显存类型	gddr5/ddr3内存	atimobilityradeonhd6470
你知道艺卓coloredge cg275w的背光类型是多大吗？	艺卓coloredge cg275w	背光类型	wled	艺卓coloredgecg275w
你知道eonstor es a12s-g2130平均传输率是多大？	eonstor es a12s-g2130	平均传输率	300mb/s	eonstoresa12s-g2130
你知道nsk hm803149轴承的厚度是多少吗？	nsk hm803149轴承	轴承厚度	29.37	nskhm803149轴承
你知道七战功成官方的名称是什么啊？	七战功成	官方名称	2002 fifa world cup korea	七战
你知道伦敦b面吗？	伦敦ab面	b面	市井伦敦	伦敦
你知道tp-link tl-r400vpn的端口结构是什么吗？	tp-link tl-r400vpn	端口结构	非模块化	tp-linktl-r400vpn
你知道tcl 3199 的屏幕是什么规格的吗？	tcl 3199	主屏幕	6万5千色tft显示屏	tcl3199
你知道promise vtrak x30系列 32tb(16x 2tb sata)3u 扩展架的最大容量是多少吗？	promise vtrak x30系列 32tb(16x 2tb sata)3u 扩展架	最大存储容量	32tb	promisevtrakx30系列32tb(16x2tbsata)3u扩展架
我想知道hp pro k5300 的最大打印幅面是多大啊？	hp pro k5300	最大打印幅面	a4	hpprok5300
ntn 562022m轴承的外径有多大？	ntn 562022m轴承	外径d	170mm	ntn562022m轴承
你知道埃立特 zy268适用什么频率吗？	埃立特 zy268	适用频率	gsm：900/1800mhz	埃立特zy268
我想知道青之城的圆舞曲现在播到第几集了？	青之城的圆舞曲	漫画状态	连载 3集	青之城
你知道爱国者u112 熊猫小u(4gb)的重量吗？	爱国者u112 熊猫小u(4gb)	重量(g)	4g	爱国者u112熊猫小u(4gb)
你知道koyo nu2238轴承有多厚吗？	koyo nu2238轴承	b(厚度)	92mm	koyonu2238轴承
你知道breakin combs是什么时候发行的吗？	breakin combs	发行日期	1994.3.22	breakincombs
你知道佳能ixus 117 hs的感光件是什么吗？	佳能ixus 117 hs	感光器件	cmos	佳能ixus117hs
你知道龙泉观文昌殿是归谁管吗？	龙泉观文昌殿轮藏殿碑	责任者	（清）杨桂森撰	龙泉观文昌殿
你知道netcore ne120的总线类型？	netcore ne120	总线类型	pci	netcorene120
你知道华为ascend d1的核心是什么吗？	华为ascend d1	核心数	双核	华为ascendd1
我想知道富士通mobile 10 mhh2032at 缓存是多少啊？	富士通mobile 10 mhh2032at	缓存	512mb	富士通mobile10mhh2032at
你知道隐密士hsm 104.3(1.9mm)的碎纸效果怎么样吗？	隐密士hsm 104.3(1.9mm)	碎纸效果	1.9mm	隐密士hsm104.3(1.9mm)
你知道nec n600的昵称是什么啊？	nec n600	手机昵称	n600	necn600
你知道复兴航空222号班机空难是什么吗？	复兴航空222号班机空难	事故类型	着陆失败 视线不良 重飞不当	复兴航空222号班机
你知道毛泽东协会的刊物是什么吗？	学习毛泽东协会	刊物	《子任》、《学东报》	毛泽东协会
你知道cisco 2612-dc的路由器是什么类型吗？	cisco 2612-dc	路由器类型	固定和模块化路由器	cisco2612-dc
你知道于默岛最高海拔是多少啊？	于默岛	最高点海拔	1,900米	默岛
你知道清华同方超扬 a3240-b005 的显示器尺寸有多大啊？	清华同方超扬 a3240-b005	显示器尺寸	20英寸	清华同方超扬a3240-b005
你知道联想扬天 s510(g530)的cpu主频是什么的啊？	联想扬天 s510(g530)	cpu频率	2400mhz	联想扬天s510(g530)
你知道timken 2785/2729轴承的外圈多大吗？	timken 2785/2729轴承	外圈	2729	timken2785/2729轴承
你知道sexy, free & single的唱片销量是多少吗？	sexy, free & single	唱片销量	495,867+(gaon chart，截止2013年10月末)	sexy,free&single
你知道1991年1月15日日食的值是多少啊？	1991年1月15日日食	y值	-0.2727	1991年1月15日
你知道boom boom的原唱是谁吗？	boom boom	歌曲原唱	super junior，	boomboom
你知道隐密士hsm 104.3(1.9mm)一次可以碎多少纸吗？	隐密士hsm 104.3(1.9mm)	碎纸能力	16-18张/次	隐密士hsm104.3(1.9mm)
你知道ngc 978的编号是什么吗？	ngc 978	其他编号	ngc 978a	ngc978
你知道格兰仕的操控方式是什么吗？	格兰仕g80f23cn2p-bm1(s0)	操控方式	微电脑式	格兰仕
你知道民谣吉他的重量是多少？	民谣吉他入门知识详解与精彩弹唱	重约	0.494kg	民谣吉他
你知道aw f-35豪华版的外形尺寸是多大？	aw f-35豪华版	外型尺寸	519×217×490mm	awf-35豪华版
你知道洞窟物语的画面是什么样的？	洞窟物语3d	画面	裸眼3d	洞窟物语
你知道ntn 7208ac/df 轴承的内径是多少？	ntn 7208ac/df 轴承	内径 d (mm)	40	ntn7208ac/df轴承
你知道infortrend es s16f-g1840高速缓存是什么代码?	infortrend es s16f-g1840	高速缓存	1gb-2gbddr2	infortrendess16f-g1840
苹果ipod shuffle 3特供版(4gB)的储蓄容量有多大？	苹果ipod shuffle 3特供版(4gb)	存储容量	4gb	苹果ipodshuffle3特供版(4gb)
nachi 23130axw33k轴承的od是什么啊？	nachi 23130axw33k轴承	od	250 mm	nachi23130axw33k轴承
你知道博帝1gb ddr3 1333（商用标准型）的容量描述是多少啊？	博帝1gb ddr3 1333（商用标准型）	容量描述	单条（1gb）	博帝1gbddr31333（商用标准型）
我想知道pan cp2kl的功率是多少啊？	pan cp2kl	额定功率	2kva	pancp2kl
七彩虹igame560ti 烈焰战神x-air d5 1024m的芯片厂商是什么啊？	七彩虹igame560ti 烈焰战神x-air d5 1024m	芯片厂商	nvidia	七彩虹igame560ti烈焰战神x-aird51024m
你知道七彩虹igame560ti 烈焰战神x-air d5 1024m的显卡是什么吗？	七彩虹igame560ti 烈焰战神x-air d5 1024m	显卡芯片	geforce gtx 560 ti	七彩虹igame560ti烈焰战神x-aird51024m
我想知道koyo 32024jr轴承的厚度是多少？	koyo 32024jr轴承	t(厚度)	38mm	koyo32024jr轴承
你知道tcl m318的上市地点是什么地方吗？	tcl m318	上市地点	中国	tclm318
你知道charlene keys的名称是什么吗？	charlene keys	专辑名称	it's me again	charlenekeys
我想知道nexus 7是多少寸的吗？	nexus 7	显示	7英寸（180毫米） ips, 1280x800 像素 (216ppi)	nexus7
魔女的使命是什么号啊？	魔女的使命	揭载号	总第9号（2010年3月5日刊行）	魔女
ntn 562022m轴承的宽度是多少？	ntn 562022m轴承	宽度b	mm	ntn562022m轴承
你知道邦克仕htc thunderbolt 4g/incredible hd 手机保护套的介绍吗？	邦克仕htc thunderbolt 4g/incredible hd 手机保护套	产品介绍	：采用进口材料制造 轻薄设计	邦克仕htcthunderbolt4g/incrediblehd手机保护套
动物园交通枢纽是什么？	动物园交通枢纽	起造日期	2001年12月7日[1]	动物园
帝视尼 dsn-f1的电源是什么样子的啊？	帝视尼 dsn-f1	电源规格	dc 12v	帝视尼dsn-f1
rs232-c接口是什么啊？	rs232-c接口	即	串口	rs232-c
koyo 33030jr轴承的型号是什么啊？	koyo 33030jr轴承	型号	33030jr	koyo33030jr轴承
reton kvm-1701d的功率是多大啊？	reton kvm-1701d	功率(w)	≤46	retonkvm-1701d
尼康af-s 尼克尔 28mm f/1.8g的镜头有什么用处啊？	尼康af-s 尼克尔 28mm f/1.8g	镜头用途	广角镜头（定焦）	尼康af-s尼克尔28mmf/1.8g
惠普storageworks x1600的网络协议是什么啊？	惠普storageworks x1600	网络协议	cifs, nfs, ncp	惠普storageworksx1600
尼康af micro nikkor 105mm f/2.8d的聚焦范围是多大啊？	尼康af micro nikkor 105mm f/2.8d	焦距范围	105mm	尼康afmicronikkor105mmf/2.8d
莱克斯netoray smb-80有多少局域网接口？	莱克斯netoray smb-80	局域网接口	5-1个	莱克斯netoraysmb-80
蓝魔w13pro v2.0的分辨率是多少啊？	蓝魔w13pro v2.0	分辨率	1024×768	蓝魔w13prov2.0
神舟精盾k500b-i7 d2的产品定位是什么啊？	神舟精盾k500b-i7 d2	产品定位	家庭娱乐本	神舟精盾k500b-i7d2
you and i的歌手是谁？	you and i	歌手	stevie wonder	youandi
联想thinkpad x121e 3051ab5 的核心是什么啊？	联想thinkpad x121e 3051ab5	核心/线程	双核心/双线程	联想thinkpadx121e3051ab5
在线杀毒是免费的吗？	免费在线杀毒	费用	免费	在线杀毒
格之格nt-c2612x（兼容hp q2612a）的打印页数是多少？	格之格nt-c2612x（兼容hp q2612a）	打印页数	2500页	格之格nt-c2612x（兼容hpq2612a）
三菱scan 50 s5914的点距是什么啊？	三菱scan 50 s5914	点距	0.28mm	三菱scan50s5914
上冢宰许公书文学体裁是什么啊？	上冢宰许公书	文学体裁	散文	上冢宰许
