有一个叫做疯狂坦克的游戏是什么类型的啊？	疯狂坦克	游戏类型	射击小游戏	叫做疯狂坦克
gtf人才思维模型是谁提出的吗？	gft人才思维模型	提出人	张忆博	gtf人才思维模型
你知道2012深圳国际服装贴牌加工博览会什么时候开始吗？	2012深圳国际服装贴牌加工（oem/odm）博览会	时 间	2012年2月21日-23日	2012深圳国际服装贴牌加工博览会
烧杯的曲目多长啊？	烧坏	曲长	1分钟	烧杯
你知道沙特啊拉伯是属于什么政治体制吗？	沙特阿拉伯	政治体制	君主专制政体	沙特啊拉伯
慧臣的最大功率是多大？	惠臣vc2800gb	最大功率	350w	慧臣
齝你知道它使用五笔怎么表示吗？	齝	五笔	hwwk	齝,它
你知道尼古拉·奥弗高bwf id的档案是什么啊？	尼古拉·奥弗高	bwf id	61525（档案）	尼古拉·奥弗高bwfid
你知道创世魔法-嘟嘟魔鬼是什么时候上线的吗？	创世魔法—嘟嘟魔鬼	上线日期	2011-05-24	创世魔法-嘟嘟魔鬼
你知道雷龙江都留经什么国家？	龙江	流经国家	广东省广宁县、四会市	雷龙江
你知道三丙醇的闪亮点是什么啊？	丙三醇	闪点	177℃	三丙醇
你知道是妈妈是棵树这本书是是妈妈给我的？	妈妈是棵树	出版社	北京大学出版社	是妈妈是棵树
你知道人平均一下不是好的?	深圳	人均gdp	24072美元（2014年）	人平均一下
你直达号转需要多久可以转完？	希捷st32510a	转速	5400rpm	你直达号转
资源管理器以及学科是怎么再出来的？	资源分级管理	一级学科	资源科技	资源管理器以及学科
你知道仙剑五是用的什么游戏引擎吗？	仙剑奇侠传五	游戏引擎	renderware	仙剑五
你知道乐亭县法院的电话吗？	乐亭县人民法院	联系电话	0315-4627616	乐亭县法院
你知道关西大学机械工程学院的设备如何嘛？	广西大学机械工程学院	设施	先进的教学、科研仪器设备	关西大学机械工程学院
我想问一下奥林巴斯e-p13的相机类型是什么吗？	奥林巴斯e-pl3	相机类型	单电数码相机	奥林巴斯e-p13
h1仪表是什么参数啊？	hl仪表	补充	仪表参数	h1仪表
你知道在那三个地方在放假前会拥堵吗？	节前拥堵期	3	商圈、学校等区域	放假前
我想知道2008年博拉泽克有多少人啊？	博拉泽克	人口（2008）	203	2008,博拉泽克
买药广播电台通常第一条是什么吗？	卖药广播电台	第一条	正文	买药广播电台
你知道德国热能科技有限公司的企业信念是什么啊？	德国雷特热能科技有限公司	企业理念	创新、诚信、卓越、共赢	德国热能科技有限公司
科龙总部的地址是什么啊？	科龙	总部地址	广东省佛山市顺德区	科龙总部
yf-23战机是什么单位研制的你知道吗？	yf-23战斗机	研制单位	诺斯洛普与麦克唐纳-道格拉斯	yf-23战机
买药广播电台通常第二条是什么吗？	卖药广播电台	第二条	电台查获	买药广播电台
你知道中国画艺术当代名家联合会是属于什么地方管的吗？	中国书画艺术当代名家联合会	主管	中华人民共和国文化部	中国画艺术当代名家联合会
通识别逻辑学的平装是什么啊？	通识逻辑学	平装	297页	通识别逻辑学
你知道波西家用电器有限公司的目标是什么吗？	博西家用电器（中国）有限公司	使命	为消费者和股东创造价值	波西家用电器有限公司
你知道北京远饭店的交通状况是什么吗？	北京成远饭店	交通状况	距离市中心(公里)	北京远饭店
你知道台北联营公车612线的班车时间是什么吗？	台北联营公车612路线	班距	固定班次，例假日：停驶	台北联营公车612线
你知道田纳西战舰列舰的满载排水量是多少吗？	田纳西级战列舰	满载排水量	40345吨	田纳西战舰列舰
你知道舟山渔都风情假日酒店宾馆开业时间是什么时候啊？	舟山渔都风情假日宾馆	开业	2008年	舟山渔都风情假日酒店宾馆
中华人民共和国国庆节会举行什么活动啊？	中华人民共和国国庆节	节日活动	举国同庆、阅兵仪式、国庆长假等	中华人民共和国国庆节会
三夫人逼上门：夫人请娶是属于什么类型的作品啊？	三夫逼上门：夫人请娶	作品大类	：女尊天下	三夫人逼上门：夫人请娶
我想知道卖药广播台的第三条是什么？	卖药广播电台	第三条	清理整顿	卖药广播台
你知道长春市交通局的运输局的办公地址是什么吗？	长春市交通运输局	办公地址	民康路555号	长春市交通局
佛朗西斯科·普纳尔的职业生涯是什么啊?	弗朗西斯科·普纳尔	职业生涯*	上场†	佛朗西斯科·普纳尔
你知道史蒂芬斯-强森综合症的mesh是什么吗？	史蒂芬斯－强森综合症	mesh	d013262	史蒂芬斯-强森综合症
半生浮初登场是多少集的时候你知道吗？	半生浮	初登场	霹雳狂刀 第46集	半生浮初
你知道舞动的水电站的装机容量是多少吗？	乌东德水电站	装机容量	1020万千瓦	舞动
台中市火车站都有什么啊？	台中市	火车站	台中车站、泰安车站、丰原车站等	台中市火车站
共党的意识形态是什么样子的啊？	工党	意识形态	社会民主主义 中间偏左	共党
粤语名的当地使用人数是什么啊？	粤语	当地使用人数	广东、广西、海南、香港、澳门以及海外华人社区共约6700万至1.2亿[1]（日期不详）	粤语名
飞利浦action（4gb）支持什么格式的文件啊？	飞利浦action(4gb)	音频格式	支持mp3，wma，flac，ape等格式	飞利浦action（4gb）
一般心理问题在中医上怎么叫啊？	一般心理问题	中医病名	一般心理问题	一,心理问题
你知道杭州龙城市广场的容积率是多少吗？	杭州宝龙城市广场	容 积 率	2.6	杭州龙城市广场
我想知道九龙巴士26b线全程要用多久的时间啊？	九龙巴士269b线	全程行车时间	86分钟	九龙巴士26b线
你知道谁需要遵守经管二十一天吗？	经管二十条	运用	自愿连锁经营、自愿连锁销售	经管二十一天
你知道高松城市谁建的吗？	高松城	建造者	石川氏	高松城市
西原特别区在什么地方啊？	西原	特别区	北区	西原特别区
吴恒的角色什么啊？	吴桓	角色	黄巾起义军首领	吴恒
大佬山公路的车速限制在什么里面啊？	大老山公路	车速限制	每小时80公里	大佬山公路
你知道云达不来梅体育俱乐部 在2013-14的时候德甲第几位啊？	云达不来梅体育俱乐部	2013–14	德甲，第 12 位	云达不来梅体育,乐部
你知道仙剑三有几个结局吗？	仙剑奇侠传三	结局数	5个	仙剑三
你知道河南工艺美校的教师有多少吗？	河南省工艺美校	专任教师	130人	河南工艺美校
你知道北京顺义区水务局的领导是谁吗？	北京市顺义区水务局	负责人	马路军	北京顺义区水务局
你知道人工物语7是游戏发行是什么吗？	工人物语7	游戏发行	ubisoft	人工物语7
你知道莲花县的概况是什么吗？	花莲县	概况	县	莲花县
你知道荷兰县科技局主要工作是什么吗？	贺兰县科技局	研究	技术创新	荷兰县科技局
你知道枣庄中学是属于什么类型的学校吗？	枣庄学院	学校属性	省属高等院校	枣庄中学
我是鬼的开头说了什么啊？	我是只鬼	第一章	我死了	我,鬼
abc简写是什么啊？	abe	简写	abe	abc
你知道王立明的经历是什么吗？	王立民	经历	1996年赴法国进修	王立明
你之哦啊非外部董事主要是做什么的吗？	非外部董事	主要作用	避免董事与经理人员高度重合	你之哦啊非外部董事
你知道五官正树的什么吗？	武宫正树	师从	初为田中三七一，后为木谷实	五官正树
你之哦啊南家三姐妹的摄影监督是谁吗？	南家三姐妹	摄影监督	佐佐木正典、久保村正树、冲田英一	你之哦啊南家三姐妹
你知道企业航空母舰的舰级是多大吗？	企业号航空母舰	舰级	福特级（3号舰）	企业航空母舰
你知道方正圆明mr200 3220(xeon e5506*2/6gb/3*300gb）这个产品的结构吗？	方正圆明mr200 3220(xeon e5506*2/6gb/3*300gb)	产品结构	2u	方正圆明mr2003220(xeone5506*2/6gb/3*300gb）
我想知道1987–88年欧洲联盟杯的最终成绩是什么啊？	1987–88年欧洲联盟杯	最终成绩	利华古逊（第 1 次夺冠）	1987988年欧洲联盟杯
我想知道南岳卫生局的工作人员有多少啊？	南岳区卫生局	工作人员	192人	南岳卫生局
htcdeseire现在上市了吗？	htc desire z	开发状态	已上市	htcdeseire
jitii的重点是什么你知道吗？	jitⅱ	重点	减少浪费、持续改进并保证物料在公司内部的流动与供应商和客户的协作保持同步	jitii
你知道不良少年轻狂是什么时候发表的吗？	不良之年少轻狂	发表时间	2012年12月17日	不良少年轻狂
海略ISO31166是什么码？	海略	iso 3166码	no-1515	海略iso31166
你知道福田省莆田市秀屿区平海镇上林村的森林面积是多少吗？	福建省莆田市秀屿区平海镇上林村	山林面积	3200亩	福田省莆田市秀屿区平海镇上林村
你知道计入豪门是在什么电视台上的节目吗？	嫁入豪门	上星平台	江西卫视	计入豪门
你知道音乐先锋公司的信念是什么啊？	音乐先锋	公司宗旨	以人为本、以科技为基础	音乐先锋公司
你知道漆木桶是属于什么级别的啊？	漆木筒	级 别	一级	漆木桶
你知道宇宙神55型运载火箭的燃料是什么吗？	宇宙神5型运载火箭	燃料	固态燃料	宇宙神55型运载火箭
你知道模式求生路是在什么网上首发？	末世求生录	首发状态	纵横中文网首发	模式求生路
你知道程启泰是什么时候死的吗？	陈启泰	去世时间	1909年	程启泰
你知道复兴航空222号班机空难的空难有什么目的地吗？	复兴航空222号班机空难	目的地	台湾澎湖县马公市马公机场	复兴航空222号班机空难的空难
你知道西游记发表时间是多久吗？	最游记	发表期间	2009年9月16日－连载中	西游记
你知道数字数字电影技术的修业年限是什么吗？	数字电影技术	修业年限	四年	数字数字电影技术
irod 403的制造者是谁啊？	lord 403	制造商	洛德lord	irod403
我想知道上海上海佰车吉投资管理有限公司的合作伙伴是谁啊？	上海佰车吉投资管理有限公司	合作伙伴	prostaff株式会社、专利人	上海上海佰车吉投资管理有限公司
你知道280号洲际公路是什么时候建成的啊？	280号州际公路	形成时间	1958年	280号洲际公路
我想知道2008-09年香港足总杯一共有多少场比赛啊？	2008–09年香港足总杯	赛事统计	14 场	2008-09年香港足总杯
你知道克莱斯勒铂锐行李舱的容积吗？	克莱斯勒铂锐	行李舱容积	394升	克莱斯勒铂锐行李舱
北京歌星投资有限公司的蓝图是什么啊？	北京大歌星投资有限公司	愿景	开创健康娱乐的连锁模式	北京歌星投资有限公司
你知道季度教民主党国际组织是什么吗？	基督教民主党	国际组织	国际中间派民主联盟	季度教民主党
我想知道香港网络的主要股东是谁？	香港宽带网络	主要股东	cvc capital partners70.74% 新加坡政府投资公司11.31% alpinvest partners8.14% 香港宽带87名高级管理层4.68% 杨主光2.57% 黎汝杰2.57%	香港网络
你知道交通参考反映的是什么？	交通参数	反映	交通流性质上的变化	交通参考
你知道长寿谷在什么时候建设的？	长谷寺	创建年份	奈良时代（8世纪前半）	长寿谷
2013年12月永宁站的日进出人次是多少排名第几？	永宁站	日进出人次	29,806[1]，第49名（2013年12月）	2013,永宁站
你知道什么农历什么时候过年吗？	过年节	农历日期	腊月三十	农,过年
路将军h2地图软件的地图软件呢？	路将军h2	地图软件	yf map 正版地图（远峰标配）	路将军h2地图软
你革勒车乡民族中学的现有职工多少人吗？	革勒车乡民族中学	现有教职工	五十人	你革勒车乡民族中学
我想知道博鹏a8语音导航是什么样式的吗？	博鹏a8	语音导航	智能导航语音	博鹏a8语音导航
你知道哦王景阳是什么学历吗？	王景阳	文化水平	大学	哦王景阳
我想知道上海路是什么地方？	上海11路	派车厂	重庆南路停车场	上海路
你知道我国国防部的主要官员有谁吗？	中华民国国防部	主要官员	严明	我国国防部
你知道梁先妮喜欢做什么吗？	梁仙妮	兴趣爱好	模特、唱歌、舞蹈	梁先妮
你知道刘少锋多高多重吗？	刘少峰	身高/体重	173cm/70kg	刘少锋
你知道委内瑞拉独立日节日是什么样的吗？	委内瑞拉独立日	节日活动	上万名军人和民众一起举行游行庆典	委内瑞拉独立日节日
男孩凤凰道观的邮编是多少啊？	南海凤凰道观	邮 编	610081	男孩凤凰道观
h型高血压就诊的项目是什么啊？	h型高血压	就诊科室	内科，心血管内科等	h型高血压就诊
你知道宣城市省级局是什么部门批准的吗？	宣城市审计局	批准部门	国务院	宣城市省级局
西美真由工作年期是什么时候啊？	希美真由	从事年期	2009年 -	西美真由
益智乐园的企业愿景是什么啊？	益智乐源	企业愿景	让每一个人享受动漫生活	益智乐园
张英飞出身是什么啊？	张英风	出身	塾师	张英飞
你知道美俗的历史资料在什么书上吗？	美俗	历史资料	《汉书·何并传》	美俗的历史资料
还略的区政中心中心是什么地方？	海略	区政中心	福斯纳沃格	还略
四季恒仁国际公寓的占地面积是多少？	四季仁恒国际公寓	占地面积	10040	四季恒仁国际公寓
你知道missk公司什么时候开始的啊？	missk	公司简介	missk自1991年创立伊始	missk公司
你知道龙吟的第二章吗？	龙呤	第二章	江边牧童	龙吟
给排水构建筑物施工及验收规范是谁发布啊？	给水排水构筑物施工及验收规范	发布者	中华人民共和国建设部	给排水构建筑物施工及验收规范
巴萨帝的力量是几级啊？	巴萨帝	力量	5	巴萨帝的,量
你知道落第骑士英雄坛的发行册是多少吗？	落第骑士英雄谭	刊行册数	6	落第骑士英雄坛
你知道剑墟之间的传说是什么吗？	剑墟	传说	上古神魔的铸剑之地	剑墟之间
你知道火中凤凰美术是谁管的啊？	火中凤凰	美术	徐虔qian xu	火中凤凰美术
你知道著名人物是什么啊？	首相	著名人物	安倍晋三、卡梅伦等	著
北区马科恩-赖肖尔表记法是谁啊？	北区	• 马科恩-赖肖尔表记法	puk-ku	北区马科恩-赖肖尔
你知道赤经达变的内涵是什么吗？	持经达变	内涵	圆通的应对事物	赤经达变
二流哈亚铁主要产地是什么地方？	二硫化亚铁铜	主要产地	犹它州宾安、蒙大那州孤山	二流哈亚铁
巴拉拉小魔仙之魔法的考验的总制片人是谁啊？	巴啦啦小魔仙之魔法的考验	总制片人	李晓萍、蔡晓东	巴拉拉小魔仙之魔法的考验
你知道南洞水库大坝多高吗？	南洞水库	坝高	29米	南洞水库大坝
大安区行政区是属于谁管辖啊？	大安区	行政区管辖	台中市	大安区,政区
你知道亚洲太平洋经济合作组织是的领导是什么国家？	亚洲太平洋经济合作组织	领导人	2015年举办国	亚洲太平洋经济合作组织是
你知道东赞属于什么教啊？	东藏	所属宗教	喇嘛教	东赞
2012款奥迪r8 5.2 fsi quattro 限量款的产地属性是什么？	2012款奥迪r8 5.2 fsi quattro 限量版	产地属性	进口	2012款奥迪r85.2fsiquattro限量款
贡巴昂归青海哪个文物保护单位管理？	贡巴昂	青海省文物保护单位	青海省文物保护单位	贡巴昂归青
李建男曾任什么职务？	李建南	曾任	泰国李氏宗亲总会理事长	李建男
隰州的文献记载出自哪本书？	隰州	文献记载	《元和郡县图志》	隰州的文献记载
宁波胶囊的批准文号是多少？	波宁胶囊	批准文号	国食健字g20040786	宁波胶囊
画出多米诺骨牌的游戏简介是什么？	画出多米诺骨牌	游戏简介	多米诺骨牌是一种用木制	画,多米诺骨牌
旅游厕所质量等级的划分与评定的实施是从什么时候开始的？	旅游厕所质量等级的划分与评定	实施	2003-05-01	旅游厕所质量等级的划分与评定的实施
豆宛形玉坠的收藏地是哪里？	豆荚形玉坠	收藏地	现藏于贵州省博物馆	豆宛形玉坠
大生产的诞生是什么时候？	大生产	诞生	随着新中国的成立而诞生	大生产的
koyo 1327249/10轴承的外径是多少？	koyo l327249/10轴承	od(外径)	177.008mm	koyo1327249/10轴承
血鹭的科属分类属于什么？	雪鹭	科属分类	鸟纲、鹳形目、鹭科、白鹭属	血鹭
宇宙中鸟巢星云距离地球有多远？	鸟巢星云	距地距离	两万五千光年	宇宙中鸟巢星云
山东省长我是谁啊？	山东	省长	郭树清	山东省
2008–09年香港足总杯一共进了多少球啊？	2008–09年香港足总杯	总入球数	60 球（每场 4.29 球）	2008009年香港足总杯
你知道欧琳jz2-o186x精英d是什么样子的面板啊？	欧琳jz2-ol86x精英d	面 板	不锈钢面板	欧琳jz2-o186x精英d
你知道仓木的来历吗？	木仓	来历	清官仓名	仓木
15crlmog高压无缝管使用的温度是多大啊？	15cr1mog高压无缝管	使用温度	大于550℃	15crlmog高压无缝管
中华人民气象法什么时候修订的啊？	中华人民共和国气象法	修订时间	1999年10月31日	中华人民气象法
你知道海尔142all-ak的电视类型是什么啊？	海尔l42a11-ak	电视类型	液晶电视	海尔142all-ak
法国左翼阵线联盟是什么啊？	法国左翼阵线	联盟	法国共产党	法国左翼阵线联盟
素养坡长多少米啊？	苏洋陂	首长	40米	素养坡
管管萼山豆根（原变种）有什么药用价值啊？	管萼山豆根（原变种）	药用价值	根药用，利咽喉，治腹痛、腹胀	管管萼山豆根（原变种）
厦门铁路的车辆基地是什么？	厦深铁路	车辆基地	福州动车段；深圳北动车运用所	厦门铁路
我想知道素攀府的iso是什么啊？	素辇府	iso 3166-2	th-32	素攀府
firefo os的许可证是什么啊？	firefox os	许可证	mpl[3]	firefoos
总裁强制爱的签约网站是什么网啊？	总裁强制爱	签约网站	小说阅读网	总裁强制爱的
我想知道明基tx501投影机的特性是什么啊？	明基 tx501	投影机特性	互动	明基tx501投影机
我想知道万利达mc-3302tq的时间设定是什么啊？	万利达mc-3032tq	时间设定	24小时定时预约	万利达mc-3302tq
1984年萨拉冬季奥运会的参赛人员是多少啊？	1984年萨拉热窝冬季奥运会	参赛运动员	1272人(274女，998男)	1984年萨拉冬季奥运会
我想知道古巴国家足球队fifa是什么啊？	古巴国家足球队	fifa代码	cub	古巴国家足球队fifa
