question,entity,attribute,answer,predict_answer
我想问一下奥林巴斯e-p13的相机类型是什么吗？,奥林巴斯e-pl3,相机类型,单电数码相机,1310万像素
你知道缤特力audio995的频率范围是多少啊？,缤特力audio 995,频响范围,20-20000hz,李雅薇
h1仪表是什么参数啊？,hl仪表,补充,仪表参数,qualcomm snapdragon 801 2.5ghz 四核心处理器
你知道细菌群体趋药性的算法是什么吗？,细菌群体趋药性算法,基于,berg、brown和dahlquist,男子组合
你知道在那三个地方在放假前会拥堵吗？,节前拥堵期,3,商圈、学校等区域,唐朝
你找道白藤江之战参加了多少人啊？,白藤江之战,参战方兵力,南汉10000人 交趾不详,南汉，交趾
你知道德国热能科技有限公司的企业信念是什么啊？,德国雷特热能科技有限公司,企业理念,创新、诚信、卓越、共赢,质量第一，信誉至上
科龙总部的地址是什么啊？,科龙,总部地址,广东省佛山市顺德区,中华民国
摩托罗拉milestone3（里程碑3）的主屏幕分辨率是多少啊？,摩托罗拉 milestone3（里程碑3）,主屏分辨率,540×960像素,黑色
你知道蕨麻是什么类型的吗？,蕨麻,亚 目,蔷薇亚目,原始花被亚纲
交通参数都有什么啊？,交通参数,例如,如交通量、车速、密度,交通环境污染承载力
关于加强义务教育阶段农村留守儿童关爱和教育工作的意见是用于什么人群？,关于加强义务教育阶段农村留守儿童关爱和教育工作的意见,适用对象,农村留守儿童,教基一〔2013〕1号
yf-23战机是什么单位研制的你知道吗？,yf-23战斗机,研制单位,诺斯洛普与麦克唐纳-道格拉斯,1990年8月27日
你知道中国画艺术当代名家联合会是属于什么地方管的吗？,中国书画艺术当代名家联合会,主管,中华人民共和国文化部,会员160o人
你知道品牌视角是什么吗？,品牌视角,时长,电视版10分钟，网络版30分钟,苹果
你知道波西家用电器有限公司的目标是什么吗？,博西家用电器（中国）有限公司,使命,为消费者和股东创造价值,成为行业标杆
叶抱伊蚊的中文名字是什么啊？,叶抱伊蚊,中文科名,蚊科,双翅目
你知道智能蓄电池的内阻测试仪的电压是什么吗？,智能蓄电池内阻测试仪,电压,0.000v--16v,600mah、800 mah、1100 mah等
你知道北京远饭店的交通状况是什么吗？,北京成远饭店,交通状况,距离市中心(公里),中餐厅 西餐厅 咖啡厅
花王mp3 portable workman标准型的续航时间是多长啊？,花王mp3 portable workman 标准型,续航时间,12小时,10mw
Chinese burn的专辑歌手是谁啊？,chinese burn,专辑歌手,curve,天龙座by变星
你知道台北联营公车612线的班车时间是什么吗？,台北联营公车612路线,班距,固定班次，例假日：停驶,荣总
重庆市人民政府办公厅关于市政府领导工作分工的通知是什么文字号啊？,重庆市人民政府办公厅关于市政府领导工作分工的通知,发文字号,渝府办发〔2013〕223号[1],重庆市人民政府办公厅[1]
你知道田纳西战舰列舰的满载排水量是多少吗？,田纳西级战列舰,满载排水量,40345吨,6架水上飞机
你知道舟山渔都风情假日酒店宾馆开业时间是什么时候啊？,舟山渔都风情假日宾馆,开业,2008年,普陀山
Windows mobile 是使用的什么计算机语言啊 ？,windows mobile,编程语言,c++,v5.1 (2014年4月，8个月前) [信息]
飞利浦dcd8000的输出功率是多大啊？,飞利浦 dcd8000,输出功率,2600 瓦pmpo,1升
你知道长春市交通局的运输局的办公地址是什么吗？,长春市交通运输局,办公地址,民康路555号,57名
佛朗西斯科·普纳尔的职业生涯是什么啊?,弗朗西斯科·普纳尔,职业生涯*,上场†,足球运动员
你知道史蒂芬斯-强森综合症的mesh是什么吗？,史蒂芬斯－强森综合症,mesh,d013262,851
半生浮初登场是多少集的时候你知道吗？,半生浮,初登场,霹雳狂刀 第46集,霹雳狂刀 第45集
你知道舞动的水电站的装机容量是多少吗？,乌东德水电站,装机容量,1020万千瓦,双翅目
台中市火车站都有什么啊？,台中市,火车站,台中车站、泰安车站、丰原车站等,"49,293人次[2]，第2名（2014年）"
共党的意识形态是什么样子的啊？,工党,意识形态,社会民主主义 中间偏左,1993年8月10日（21年165天） 台北市
飞利浦action（4gb）支持什么格式的文件啊？,飞利浦action(4gb),音频格式,支持mp3，wma，flac，ape等格式,12小时
你知道杭州龙城市广场的容积率是多少吗？,杭州宝龙城市广场,容 积 率,2.6,浦东
你知道三星 p1000 刷机包的大小是什么吗？,三星 p1000 刷机包,rom大小,208.72mb,200万像素 cmos
你知道敬礼有什么意思吗？,敬礼,释义2,用于书信结尾表示尊敬,行礼表示尊敬
ngc7822你知道他的半径吗？,ngc 7822,半径,20光年,j2000.0
西原特别区在什么地方啊？,西原,特别区,北区,2006年6月
吴恒的角色什么啊？,吴桓,角色,黄巾起义军首领,岩子
你知道仙剑三有几个结局吗？,仙剑奇侠传三,结局数,5个,农历三月初三
你知道河南工艺美校的教师有多少吗？,河南省工艺美校,专任教师,130人,8750亩
你知道佐久间多少岁了吗？,佐久间玲,现年,49岁,262.7千米
你知道北京顺义区水务局的领导是谁吗？,北京市顺义区水务局,负责人,马路军,中央军事委员会
你知道莲花县的概况是什么吗？,花莲县,概况,县,江西省莲花县莲花村
你知道伦敦b面吗？,伦敦ab面,b面,市井伦敦,英国伦敦
你知道枣庄中学是属于什么类型的学校吗？,枣庄学院,学校属性,省属高等院校,文化奠基、质量立校
我是鬼的开头说了什么啊？,我是只鬼,第一章,我死了,苏颜ft默梁
abc简写是什么啊？,abe,简写,abe,纽约
我想知道第12届中国光伏大会暨国际光伏大会开到什么时候啊？,第12届中国光伏大会暨国际光伏大会,结束时间,2012年9月7日14：00,2012年9月3日—4日
我想知道胡蜂号航空母舰的排水量是多大？,胡蜂号航空母舰,吃水,8.7米,27500吨
你知道方正圆明mr200 3220(xeon e5506*2/6gb/3*300gb）这个产品的结构吗？,方正圆明mr200 3220(xeon e5506*2/6gb/3*300gb),产品结构,2u,1颗
htcdeseire现在上市了吗？,htc desire z,开发状态,已上市,wcdma hsdpa
jitii的重点是什么你知道吗？,jitⅱ,重点,减少浪费、持续改进并保证物料在公司内部的流动与供应商和客户的协作保持同步,美国：2006年11月19日
你知道不良少年轻狂是什么时候发表的吗？,不良之年少轻狂,发表时间,2012年12月17日,840528
海略ISO31166是什么码？,海略,iso 3166码,no-1515,2小时
你知道福田省莆田市秀屿区平海镇上林村的森林面积是多少吗？,福建省莆田市秀屿区平海镇上林村,山林面积,3200亩,毛竹、烟叶、水稻等
你知道龙泉观文昌殿是归谁管吗？,龙泉观文昌殿轮藏殿碑,责任者,（清）杨桂森撰,中国 四川
你知道模式求生路是在什么网上首发？,末世求生录,首发状态,纵横中文网首发,2000年2月4日（windows pc） 2000年7月25日（mac os） 2003年3月24日（xbox） 2003年7月9日（playstation 2）
你知道毛泽东协会的刊物是什么吗？,学习毛泽东协会,刊物,《子任》、《学东报》,平装(无盘)
你知道西游记发表时间是多久吗？,最游记,发表期间,2009年9月16日－连载中,90分钟
irod 403的制造者是谁啊？,lord 403,制造商,洛德lord,610万像素
你知道280号洲际公路是什么时候建成的啊？,280号州际公路,形成时间,1958年,1973年[2]
我想知道2008-09年香港足总杯一共有多少场比赛啊？,2008–09年香港足总杯,赛事统计,14 场,60 球（每场 4.29 球）
我想知道香港网络的主要股东是谁？,香港宽带网络,主要股东,cvc capital partners70.74% 新加坡政府投资公司11.31% alpinvest partners8.14% 香港宽带87名高级管理层4.68% 杨主光2.57% 黎汝杰2.57%,粤语
你知道格兰仕的操控方式是什么吗？,格兰仕g80f23cn2p-bm1(s0),操控方式,微电脑式,数码式
你知道民谣吉他的重量是多少？,民谣吉他入门知识详解与精彩弹唱,重约,0.494kg,dvd
你知道洞窟物语的画面是什么样的？,洞窟物语3d,画面,裸眼3d,13卷
你知道长寿谷在什么时候建设的？,长谷寺,创建年份,奈良时代（8世纪前半）,1999年6月28日
2013年12月永宁站的日进出人次是多少排名第几？,永宁站,日进出人次,"29,806[1]，第49名（2013年12月）",id：坚强的泪
苹果ipod shuffle 3特供版(4gB)的储蓄容量有多大？,苹果ipod shuffle 3特供版(4gb),存储容量,4gb,有
你知道狗皮膏药是什么意思吗？,狗皮膏药,比喻,骗人的货色,中医用狗皮膏药消肿止痛
你知道什么农历什么时候过年吗？,过年节,农历日期,腊月三十,back in time
我想知道九龙巴士15a线的分段收费站点是什么啊？,九龙巴士15a线,分段收费站点 （去程）,龙翔道往慈云山（北）：hk$5.1,宏光道往平田：hk$5.1 观塘市中心往平田：hk$4.5
你知道中国人民银行的机构是什么吗？,中国人民银行,机构沿革,机构沿革,人民银行总行派出机构
我想知道上海路是什么地方？,上海11路,派车厂,重庆南路停车场,南京市鼓楼区
你知道我国国防部的主要官员有谁吗？,中华民国国防部,主要官员,严明,1964年（作为现在的部门）
你知道神雕侠侣的歌曲是什么吗？,神雕侠侣,插曲,陈翔、张馨予《问世间》,《神话.情话》
海略10年内人口增长率是多大啊？,海略,• 人口增长 （10年内）,-0.08 %,-0.08%
你知道美俗的历史资料在什么书上吗？,美俗,历史资料,《汉书·何并传》,48.00元/期；288.00元/年
还略的区政中心中心是什么地方？,海略,区政中心,福斯纳沃格,vire
你知道龙吟的第二章吗？,龙呤,第二章,江边牧童,罗网*
球座尾孢的拉丁是什么啊？,球座尾孢,拉丁纲名,fungi imperficti,moniliales
Google搜索是商业性质吗？,google搜索,商业性质？,是,google公司
在线杀毒是免费的吗？,免费在线杀毒,费用,免费,公司地址
你知道陈皮嫩鸡是什么特点吗？,陈皮嫩鸡,特点2,麻辣香嫩,色泽红亮
嚼头的意思是什么啊？,嚼头,解释2,嚼起来有韧性,指经得起咀嚼的厚味
你知道著名人物是什么啊？,首相,著名人物,安倍晋三、卡梅伦等,《荀子·大略》
北区马科恩-赖肖尔表记法是谁啊？,北区,• 马科恩-赖肖尔表记法,puk-ku,2003年第二轮第22位被76人队选中
2012款凯美瑞200g经典被是什么？,2012款凯美瑞 200g 经典版,款型,2012,2012年7月13日
二流哈亚铁主要产地是什么地方？,二硫化亚铁铜,主要产地,犹它州宾安、蒙大那州孤山,48%
巴拉拉小魔仙之魔法的考验的总制片人是谁啊？,巴啦啦小魔仙之魔法的考验,总制片人,李晓萍、蔡晓东,柳向阳、梁宇战
超级都市发眼这个文章多长啊？,超级都市法眼,全文长度,777296字,2013年8月
歼-10首飞时间是什么时候啊？,歼-10,首飞,1998年3月23日,2008年12月
你知道英国第一位首相是谁吗？,英国首相,首任,罗伯特·沃波尔 兼任 第一财政大臣及 de facto 第一任首相,教育的活化石
尼尔斯·玻尔影响了谁啊？,尼尔斯·玻尔,施影响于,维尔纳·海森堡 沃尔夫冈·泡利 保罗·狄拉克 莉泽·迈特纳 马克斯·德尔布吕克 和其他多人,欧内斯特·卢瑟福 en:harald høffding
你知道东赞属于什么教啊？,东藏,所属宗教,喇嘛教,17里421邻
2012款奥迪r8 5.2 fsi quattro 限量款的产地属性是什么？,2012款奥迪r8 5.2 fsi quattro 限量版,产地属性,进口,跑车
李建男曾任什么职务？,李建南,曾任,泰国李氏宗亲总会理事长,工学博士
隰州的文献记载出自哪本书？,隰州,文献记载,《元和郡县图志》,和谐 求实 创新
宁波胶囊的批准文号是多少？,波宁胶囊,批准文号,国食健字g20040786,胶囊剂
长城x10的输入接口是多少？,长城x10,输出接口,双usb输出,micro usb
koyo 1327249/10轴承的外径是多少？,koyo l327249/10轴承,od(外径),177.008mm,50.292mm
中国（桂林）运通国旅国际会议奖励中心主要干什么工作的啊？,中国（桂林）运通国旅国际会议奖励中心,专注,为境内外跨国公司,会奖服务领域的品牌推广
山东省长我是谁啊？,山东,省长,郭树清,理念文化、行为文化、环境文化
你知道索尼nwz-a 844支持什么功能吗？,索尼nwz-a844（8gb）,fm功能,支持,240万像素xga
你知道欧琳jz2-o186x精英d是什么样子的面板啊？,欧琳jz2-ol86x精英d,面 板,不锈钢面板,液化石油气/天然气/人工燃气
你知道仓木的来历吗？,木仓,来历,清官仓名,60
尼美舒利的药代动力学性质是什么啊？,尼美舒利,药代动力学性质,nan,
大富翁3-天空之城v1使用什么样的游戏环境啊？,大富翁3-天空之城v1.0.2,游戏环境,android 1.5+,鼠标点击操作
玉米秸秆粉碎机有什么特征吗？,玉米秸秆粉碎机,特点1,结构合理、移动方便,自动喂料、安全可靠
15crlmog高压无缝管使用的温度是多大啊？,15cr1mog高压无缝管,使用温度,大于550℃,caydon properties
你知道海尔142all-ak的电视类型是什么啊？,海尔l42a11-ak,电视类型,液晶电视,明睿q1系列
上海市文化广播影视管理局什么地方管啊？,上海市文化广播影视管理局,组织上级机构,上海市人民政府,中华人民共和国文化部
素养坡长多少米啊？,苏洋陂,首长,40米,149307
你知道委内瑞拉为什么独立的吗？,委内瑞拉独立日,起源事件,1811年7月5日宣布独立,maría soto
南区的管辖区是什么？,南区,• 下辖行政区,14洞,台南市
华为c7188的外形是什么颜色啊？,华为 c7188,外形颜色,银灰,cdma2000/cdma1x
firefo os的许可证是什么啊？,firefox os,许可证,mpl[3],36.0 beta 6（2015年2月3日，3天前）  nightly 38.0 alpha 1（每日更新）
我想知道明基tx501投影机的特性是什么啊？,明基 tx501,投影机特性,互动,13.95 米
我想知道凤仪亭被叫做什么啊？,凤仪亭址,称为,韶山八景之二,乌骨山、屋山、熊山
我想知道万利达mc-3302tq的时间设定是什么啊？,万利达mc-3032tq,时间设定,24小时定时预约,粒状
1984年萨拉冬季奥运会的参赛人员是多少啊？,1984年萨拉热窝冬季奥运会,参赛运动员,1272人(274女，998男),韩国高丽亚娜艺术团洪和子、李爱淑、李成揆、李容揆演唱
我想知道古巴国家足球队fifa是什么啊？,古巴国家足球队,fifa代码,cub,92（2011年11月）
d-link dns-3201 的传输速度是什么啊？,d-link dns-320l,传输速度,10/100/1000mbps,12.8gbps
飚王诱惑 sfd042（2gb）的宽度是多少毫米？,飚王诱惑 sfd042(2gb),宽度(mm),12.1,1.4英寸液晶显示屏
"“迈阿密""号核潜艇的部队是哪？",“迈阿密”号核潜艇,部队,海军,奥斯卡级核潜艇
大安大王庙的古建筑群的相关记载出自哪里？,大安大王庙古建筑群,相关记载,《平南县志》,大安区公所
thinkapad x1的处理器平台是什么？,thinkpad x1,处理器平台,snb(sandybridge),sandy bridge
trojan-downloader.win32.zgent.apv.gif的公开范围是多少?,trojan-downloader.win32.agent.qpv.gif,公开范围,完全公开,下载者
昆明市体育中心游泳馆的开馆时间是什么时候？,昆山市体育中心游泳馆,开馆时间,2012-12-30,是一个大型的体育
轮回之翼一羽翼的支持人数有几个？,轮回之章－羽翼,支持人数,6个,潇梦临
清菜玉佛寺的供奉神是谁？,清莱玉佛寺,供奉神,玉佛,建于清康熙三十二年（公元1693年）
胡安·帕布罗·蒙托亚是哪一年大奖赛的车手？,2002年法国大奖赛,车手,胡安·帕布罗·蒙托亚,上场†
李安是谁什么的啊？,李安,生肖,马,中国
孙悟空有什么技能啊？,孙悟空,绝技,七十二变、筋斗云、火眼金睛等,七十二变、法天象地、筋斗云、火眼金睛
兰新高速公路的投资金额是多少？,兰新高速铁路,投资金额,约1700亿元人民币,上海市
nachi 7005ac轴承的厚度大概是是多少？,nachi 7005ac 轴承,厚度 b (mm),12,310mm
厦门市医药研究区他的办公室的结构是什么啊？,厦门市医药研究所,办公室,下设财务室、总务室,3363平方米
一般是由什么部门管理户口的啊？,户口管理,管理部门,民政部门,985工程 211工程
你知道创亿bx-3的适用机型是什么系列吗？,创亿 bx-3,适用机型,canon系列,3.6英寸 480×272像素
三星r439-ds01核心类型是什么？,三星 r439-ds01,核心类型,arrandale,0mhz
浙江省实施《中华人民共和国红十字会法》办法是什么时候通过的？,浙江省实施《中华人民共和国红十字会法》办法,通过日期,1997年9月1日,1997年9月9
有人知道海源地震的时候震中经纬度是多少吗？,海原地震,震中经纬度,北纬36.7度，东经105.7度,北纬37度21分，东经114度55分；北纬37度32分，东经115度03分
三星sgh-e398配置的标准是什么呢？,三星 sgh-e398,标准配置,锂电池，充电器,gsm/gprs
你知道布力般流浪2012年至2013年赛季的观众平均有多少吗？,布力般流浪2012年至2013年赛季,平均观众,"14,974人",railsimulator
什么时候叶秀蕃去世下葬的？,叶秀蕃墓,葬于,1966年,叶剑英元帅孙女
环保黄铜棒的伸长率大概是多少？,c3604环保黄铜棒,伸长率,≥12,正方晶系
我想知道fa是什么？,fa,性质,足球术语,电解电容的无用功率与有用功率比
按照分类的话烧卖属于哪种？,烧麦,分类,小吃，面食,jump comics sq. ching win boy comic
你听过《因为有你》的歌曲是谁原唱的啊？,因为有你,歌曲原唱,j.p.m组合,平装
