question,entity,attribute,answer,predict_answer
你知道败血性休克是属于什么吗？,败血性休克,分类系统及外部资源,分类系统及外部资源,668
你找道白藤江之战参加了多少人啊？,白藤江之战,参战方兵力,南汉10000人 交趾不详,南汉，交趾
我想了解一下城巴40线的公交的时间？,城巴40线,班次频率,星期一至六：8-20分钟一班 星期日及公众假期：20分钟一班,置富花园、薄扶林道、般咸道、坚道、罗便臣道、金钟
综合递减率与什么相关你清楚吗？,综合递减率,相关领域,矿产开采,石油勘探
你知道蕨麻是什么类型的吗？,蕨麻,亚 目,蔷薇亚目,原始花被亚纲
关于加强义务教育阶段农村留守儿童关爱和教育工作的意见是用于什么人群？,关于加强义务教育阶段农村留守儿童关爱和教育工作的意见,适用对象,农村留守儿童,教育部、妇联组织等5个部门
卖药广播电台通常第二条是什么吗？,卖药广播电台,第二条,电台查获,清理整顿
你知道品牌视角是什么吗？,品牌视角,时长,电视版10分钟，网络版30分钟,苹果
叶抱伊蚊的中文名字是什么啊？,叶抱伊蚊,中文科名,蚊科,双翅目
你知道惠特妮·休斯顿：挚爱是怎么存的吗？,惠特妮·休斯顿：挚爱,介质,cd,cna650335600
重庆市人民政府办公厅关于市政府领导工作分工的通知是什么文字号啊？,重庆市人民政府办公厅关于市政府领导工作分工的通知,发文字号,渝府办发〔2013〕223号[1],重庆市人民政府办公厅[1]
你知道伊瓜苏国家公园的英文全名是什么吗？,伊瓜苏国家公园,正式名称,iguaçu national park,parc national d'iguaçu
台中市火车站都有什么啊？,台中市,火车站,台中车站、泰安车站、丰原车站等,"49,293人次[2]，第2名（2014年）"
阿尔弗雷德·冯·提尔皮茨是为谁工作啊？,阿尔弗雷德·冯·提尔皮茨,效命,普鲁士王国  德意志帝国,普鲁士海军（英语：prussian navy）  德意志帝国海军
佐罗，一个传奇的开始是谁翻译的啊？,佐罗，一个传奇的开始,译 者,赵德明,漫画第3话、动漫第2集
你知道trojan.psw.lineage.lsf代表的是几星级的危险程度吗？,trojan.psw.lineage.lsf,警惕程度,★★★,win9x/nt/2000/xp
你知道溪堂诗思图轴有多高吗？,溪堂诗思图轴,横,104cm,194cm
你知道高松城市谁建的吗？,高松城,建造者,石川氏,不明
你知道敬礼有什么意思吗？,敬礼,释义2,用于书信结尾表示尊敬,行礼表示尊敬
现在还有人用傣端语吗？,傣端语,目前状况,使用中,台-卡岱语系
无限恐怖有什么品牌啊？,无限恐怖,其他相关作品,《魔法世纪》、《死亡开端》…,无限流、郑吒、楚轩
西原特别区在什么地方啊？,西原,特别区,北区,2006年6月
你知道动机与效果是什么吗？,动机与效果,关于,道德,银行卡完整地空中植入手机sim卡
我想知道胡蜂号航空母舰的排水量是多大？,胡蜂号航空母舰,吃水,8.7米,36380吨
我想知道小行星605是什么是时候发现的？,小行星605,历元 2011年8月27日,历元 2011年8月27日,海德堡
你知道北京大歌星投资有限公司的理念是什么吗？,北京大歌星投资有限公司,价值观,顾客第一,开创健康娱乐的连锁模式
海略ISO31166是什么码？,海略,iso 3166码,no-1515,2小时
你知道如果真的不再爱我是谁做的曲子吗？,如果真的不再爱我,编 曲,张楚弦，,秋言，
你知道努比亚遗址是什么国家的遗产吗？,努比亚遗址,所属国,埃及,文化遗产(i)(iii)(vi)
你知道2053年9月12日日食什么时候开始吗？,2053年9月12日日食,开始时间（utc）,09:34:09,日全食
2013年12月永宁站的日进出人次是多少排名第几？,永宁站,日进出人次,"29,806[1]，第49名（2013年12月）",2009年
你知道狗皮膏药是什么意思吗？,狗皮膏药,比喻,骗人的货色,中医用狗皮膏药消肿止痛
我想知道九龙巴士15a线的分段收费站点是什么啊？,九龙巴士15a线,分段收费站点 （去程）,龙翔道往慈云山（北）：hk$5.1,宏光道往平田：hk$5.1 观塘市中心往平田：hk$4.5
你知道出口带宽 是什么意思吗？,出口带宽,带宽,是宽带负载能力,前出师表/后出师表
你知道中国人民银行的机构是什么吗？,中国人民银行,机构沿革,机构沿革,人民银行总行派出机构
我想知道nexus 7是多少寸的吗？,nexus 7,显示,"7英寸（180毫米） ips, 1280x800 像素 (216ppi)",120万像素 (前置)
你知道留在海边的脚印的颜色是什么吗？,留在海边的脚印,颜 色,彩色,室组 sect. platycentrum
你知道魔兽世界是谁的吗？,魔兽世界,运营,全球：暴雪娱乐 大陆：第九城市（2005年6月6日－2009年6月6日） 台港：智凡迪 大陆：网之易（2009年9月19日－ ）,英语，中文等等
动物园交通枢纽是什么？,动物园交通枢纽,起造日期,2001年12月7日[1],优质低碳钢丝（铁丝）
你知道神雕侠侣的歌曲是什么吗？,神雕侠侣,插曲,陈翔、张馨予《问世间》,周华健
林晖闵喜欢的明星是什么啊？,林晖闵,偶像,五月天、罗志祥、super junior,田径、跆拳道
断头崖组的代码是什么啊？,断头崖组,阶代码,z1,34
球座尾孢的拉丁是什么啊？,球座尾孢,拉丁纲名,fungi imperficti,moniliales
你知道陈皮嫩鸡是什么特点吗？,陈皮嫩鸡,特点2,麻辣香嫩,色泽红亮
你知道子统一汉字是什么吗？,子,统一汉字,u+5b50,宁
你知道布里斯托尔城2011年至2012年球季的首席射手是谁啊？,布里斯托尔城2011年至2012年球季,首席射手,联赛： 乔纳森·斯特德 （jonathan stead，9球） 所有赛事： 乔纳森·斯特德 （jonathan stead，9球）,英格兰
你知道李忠是谁吗？,李忠,民族族群,汉族,男
北区马科恩-赖肖尔表记法是谁啊？,北区,• 马科恩-赖肖尔表记法,puk-ku,2003年第二轮第22位被76人队选中
歼-10首飞时间是什么时候啊？,歼-10,首飞,1998年3月23日,2008年12月
大安区行政区是属于谁管辖啊？,大安区,行政区管辖,台中市,1949 年—1954 年
尼尔斯·玻尔影响了谁啊？,尼尔斯·玻尔,施影响于,维尔纳·海森堡 沃尔夫冈·泡利 保罗·狄拉克 莉泽·迈特纳 马克斯·德尔布吕克 和其他多人,欧内斯特·卢瑟福 en:harald høffding
冬天里的革命的丛书名是什么？,冬天里的革命,丛书名,中经欧博管理书系,市内
中国（桂林）运通国旅国际会议奖励中心主要干什么工作的啊？,中国（桂林）运通国旅国际会议奖励中心,专注,为境内外跨国公司,会奖服务领域的品牌推广
山东省长我是谁啊？,山东,省长,郭树清,10200人（教职工，含威海校区和3所附属医院）[7]
尼美舒利的药代动力学性质是什么啊？,尼美舒利,药代动力学性质,nan,
上海市文化广播影视管理局什么地方管啊？,上海市文化广播影视管理局,组织上级机构,上海市人民政府,中华人民共和国文化部
南区的管辖区是什么？,南区,• 下辖行政区,14洞,台南市
我想知道古巴国家足球队fifa是什么啊？,古巴国家足球队,fifa代码,cub,92（2011年11月）
松子坡里自然村的收入靠什么？,松子坡里自然村,收入,种植业,8万余亩
延川网是什么网站啊？,延川网,网站性质,区县地方综合门户网站,开辟延川互联网的新时代
孙悟空有什么技能啊？,孙悟空,绝技,七十二变、筋斗云、火眼金睛等,七十二变、法天象地、筋斗云、火眼金睛
1889年基督进入布鲁塞尔他的属地在哪？,1889年基督进入布鲁塞尔,属地,伦敦，柯隆内尔·l·弗兰克藏,32（2013年10月14日）
浙江省实施《中华人民共和国红十字会法》办法是什么时候通过的？,浙江省实施《中华人民共和国红十字会法》办法,通过日期,1997年9月1日,1997年9月9
有人知道2012云南公务员考试-历年真题精解+全真模拟预测试卷（上）行测是谁进行主要编辑的吗？,2012云南公务员考试-历年真题精解+全真模拟预测试卷（上）行测,主 编,李永新,2012
你知道有关企业号航空母舰的信息吗？,企业号航空母舰,其它,4座升降台 4座c13蒸气弹射器 模版参考来源：[1],福特级（3号舰）
你知道在中国古诗文是什么含义吗？,古诗文,含 义,中国古代的诗歌和散文,佛语。比喻从内部破坏佛法的败类
你听过《因为有你》的歌曲是谁原唱的啊？,因为有你,歌曲原唱,j.p.m组合,平装
太平镇有什么著名景点？,太平镇,著名景点,成子湖,桫椤沟、老码头溶洞、月耳坝经果林、三佛寺、的蛟龙沟
苏亚雷斯是哪个运动队的？,苏亚雷斯,所属运动队,利物浦,美洲狮队
古城镇的经纬度是怎样的？,古城镇,地理、人口、经济,34°13′43″n 113°33′23″e / 34.22861°n 113.55626°e坐标：34°13′43″n 113°33′23″e / 34.22861°n 113.55626°e,"北靠进富利乡,南接莲山镇,西临龟石水库,柳家和富阳乡。"
《对酒》是谁写的？,对酒,作 者,曹操,余华 著
《我们》的编曲者是谁？,我们,编曲,丁炜,宋志鹏
海德公园在哪？,海德公园,楼盘地址,太原长风商务区旁边,太原
《我爱你》这首歌有多长时间？,我爱你,歌曲时长,03:16,平装
珨字有多少笔？,珨,笔画,10,ji zi
厄瑞玻斯是什么神？,厄瑞玻斯,所属,原始神祇,古希腊神话
思念是哪个唱片公司发行的？,思念,所属公司,滚石唱片,2000年12月6日
城隍庙占地面积是多少？,城隍庙,占地,4000平方米,3610平方米
动画片小智的配音是谁？,小智,配音,竹内顺子,我和b哥轮智妈 还有谁？
《粉红豹》的imdb是多少？,粉红豹,imdb编码,tt0383216,彩色
珨字部首的笔画是多少？,珨,部首笔划,4,ji zi
南昌工程学院是所什么样的学校？,南昌工程学院,类 别,普通本科高校,校园公益型组织
《无事生非》的导演是谁？,无事生非,导 演,martin hellberg,130000 万字
《我爱你》由谁负责作曲？,我爱你,作曲,苏颜ft默梁,平装
梦的偏旁是什么？,梦,部首,木,古典名著剧
你知道谁是东北大学现任校长吗？,东北大学,现任校长,井上明久,joseph e.aoun
《九日》属于什么体裁？,九日,体裁,七言律诗,彩色
《翅膀》是由谁演唱的？,翅膀,演唱者,胡夏,黄海波、杜志国、何赛飞、叶静、唐于鸿、甘婷婷、高斯
和谐号crh2型电力动车组获得什么奖项？,和谐号crh2型电力动车组,备注,中国铁路科学技术奖一等奖,crh2a：121列 crh2a统：70列 crh2b：10列 crh2c（一阶）：30列 crh2c（二阶）：30列 crh2e：20列
《帝尊》一共完成多少字数？,帝尊,完成字数,6127139,114分钟
你知道万达广场位于什么地方吗？,万达广场,所在地区,江门市,佛山市南海区桂城桂澜路东侧
《神雕侠侣》是什么时候播出的？,神雕侠侣,播出时间,2014年 每周三至周四晚22：00,张纪中
平壤之战最后的结果是什么？,平壤之战,结果,日军损失惨重,日本获胜
《魔神英雄传》的音乐是谁负责的？,魔神英雄传,音乐,兼崎顺一、门仓聡,苏州子恒网络有限公司
《埋伏》这个片子有多长？,埋伏,片 长,90分钟,114分钟
加班费是怎么算的？,加班费,标准,不低于工资的150%的工资报酬,劳动法和国家的有关规定
大魔王现在的状态是怎么样？,大魔王,授权状态,a级签约,现世之章连载中 千年之章已完结
《欲魔》有什么色彩？,欲魔,色 彩,彩色,9787506343053
《倔强》的MV是谁导的？,倔强,mv导演,赖伟康,张自强
恹字有多少笔？,恹,总笔画,9,ji zi
姜华公司的口号是什么？,姜华,公司口号,绿色环保节能,全球
《莲灯》是什么时候创作的？,莲灯,创作时间,2013年,余华 著
考考你，氟的沸点是多少啊？,氟,沸点,-188.12℃,苏颜ft默梁
请问大家知道上游水库的容量是多少吗？,上游水库,正常库容,1500万立方米,黑龙江省齐齐哈尔市依安县
2012第四届中美冷链物流会议暨中国国际冷链产业博览交易会在哪里举办？,2012第四届中美冷链物流会议暨中国国际冷链产业博览交易会,举办城市,郑州,物流运输
浙江省宁波市中级人民法院在哪？,浙江省宁波市中级人民法院,区位,浙江省宁波市江东区,12368
康达效应的第一条是什么？,康达效应,第一条,发现,应用
你知道舒的夏天的原名是什么吗？,舒的夏天,本 名,舒翠翠,国
有谁知道王磊生于何年何月何日？,王磊,生于,1977年12月26日－,1971年
谁知道新加坡地铁滨海市区线的目前状况是怎样的？,新加坡地铁滨海市区线,目前状况,家居装修、别墅装修、酒店装修,兴建中
你知道海略在什么地方？,海略,郡,默勒-鲁姆斯达尔郡,福斯纳沃格
仡隆语现在还有人用吗？,仡隆语,目前状况,使用中,海南省
我很好奇诺瓦克·德约科维奇打比赛能得多少钱?,诺瓦克·德约科维奇,职业奖金,"us$69,753,908[3]）",冠军（2008、2011、2012、2013）
谏字的unicode是什么，有人知道吗？,谏,unicode,cjk 统一汉字 u+8c0f,ji zi
我很好奇中国好声音是在哪里诞生的？,中国好声音,家乡,江苏徐州,中国大陆 浙江卫视首播
请问第九届广州（国际）车用空调及冷藏链技术展览会什么时候布展？,第九届广州（国际）车用空调及冷藏链技术展览会,布展时间,2012年2月22-23日,中国进出口商品交易会展览馆
请问北京地铁8号线是从哪到哪的？,北京地铁8号线,起讫站点,南锣鼓巷——朱辛庄,地下、高架
我想知道魏岭乡的经度是多少？,魏岭乡,东经,103°48′,35°55′
你知道中宇mcd380的信噪比是多少码,中宇mcd380,信噪比,nan,
2041年4月30日日食什么时候开始？,2041年4月30日日食,开始时间（utc）,11:52:21,日全食
珠海市现在的领导叫什么？,珠海,现任领导,市委书记：李嘉、市长：何宁卡,诚信为基、专业构筑、用心营家
支付机构跨境电子商务外汇支付业务试点指导意见的第二章的题目是什么？,支付机构跨境电子商务外汇支付业务试点指导意见,第二章,试点业务申请,试点业务管理
些路迪足球队有何内容？,些路迪足球队,内容一,球队历史,主场球场
酒香通脊主要使用什么材料？,酒香通脊,主料,猪肉(瘦)400克,洋葱（白皮）50克等
我的前夫原本叫什么？,我的前夫,作品原名,青春之歌,藤岛康介
罗斯属地的经度是多少？,罗斯属地,经度,160°东经至150°经线,60°南纬
双叶sa的上行营业时间是什么？,双叶sa,上行营业时间,9:00-17:00（平日） 9:00-18:00（假日）,9:00-17:00（平日） 8:00-17:00（假日）
你可以说出麸字的笔划数吗？,麸,笔划,11,ji zi
我是你的，你是我的是谁唱的？,我是你的，你是我的,歌手姓名,曾轶可,萧贺硕
尼美舒利怎样代谢掉？,尼美舒利,排泄,"renal (50%), fecal (29%)",
谁是2012会计从业资格无纸化考试-会计基础考点精讲及归类题库的主编？,2012会计从业资格无纸化考试-会计基础考点精讲及归类题库,主 编,会计从业资格考试研究中心,2012
请问液晶显示便携式x光机的分辨率是多少？,液晶显示便携式x光机,分 辨 率,nan,
