告诉我高等院校素质教育“十二五”规划教材的名字是什么？	高等院校素质教育“十二五”规划教材	书名	职场博弈素质培养	高等院校素质教育“十二五”规划,材
郑立志医生叫什么名字？	郑立志	医生姓名	郑立志	郑立志医生
你知道电子科技大学学校的具体位置是在什么地方吗？	电子科技大学	学校地址	四川省成都市高新区（西区）西源大道2006号	电子科技大学学校
遗传性凝血因子ⅶ缺乏应该在什么科室就诊？	遗传性凝血因子ⅶ缺乏	就诊科室	内科	遗传性凝血因子ⅶ,乏
你知道草地上的午餐是什么风格的文章吗？	草地上的午餐	风格	写实主义	草地上,餐
锦绣山河四期在什么区域啊？	锦绣山河四期	所在区域	全国	锦绣山河,期
小学教学参考书的出版地是什么地方？	小学教学参考	出版地	广西 南宁	小学教学参考书
薄姬她的谥号是什么？	薄姬	谥号	文帝太后→高皇后（刘秀追尊）	薄姬她
你知道蜂蜜与四叶草是谁做的音乐吗？	蜂蜜与四叶草	音乐	林有三，菅野洋子	蜂蜜,四叶草
海尔kfrd-35gw/03me-s4空调是什么类型的？	海尔kfrd-35gw/03me-s4	空调类型	壁挂式空调	海尔kfrd-35gw/03me-s4空
钨丝熔点是多少？	钨	熔点	3410±20℃	钨丝
我是歌手的主持人是谁啊？	我是歌手	主持人	李素罗、尹道贤、尹钟信、朴明秀、卢洪哲、郑真英	我,手
你知道埃德政府是什么名字吗？	埃德	政府	sonja edvardsen（工党）	埃德政府
狱中题壁什么时候写的？	狱中题壁	创作时间	1922年	狱,壁
你知道今夜谁来共舞是谁写的词吗？	今夜谁来共舞	作词者	蔣慧琪	今夜,共
你知道lg optimus nexus 电池的容量有多大吗？	lg optimus nexus	电池容量	2100毫安时锂电池	lgoptimusnexus电池
我想知道有关肢端硬化的病是什么啊？	肢端硬化	相关疾病	肺炎 皮肌炎 多发性肌炎 红斑狼疮 类风湿性关节炎 盘状红斑狼疮 硬皮病 重叠综合征 鼻窦炎 急性化脓性鼻窦炎 猩红热 系统性红斑狼疮 幼年型类风湿性关节炎 慢性化脓性鼻窦炎 皮肌炎与多发性肌炎 多发性肌炎-皮肌炎 副鼻窦炎 局限性硬皮病 老年人类风湿性关节炎 妊娠合并硬皮病 小儿硬皮病 亚急性皮肤红斑狼疮 幼年型皮肌炎 职业性硬皮病	有关肢端硬化
我想知道远洋通州市什么公司的啊？	远洋通州	开 发 商	远洋地产有限公司	远洋通州市
你知道第一时间在什么电视台播出吗？	第一时间	播出频道	辽宁广播电视台	第,时
你知道时装模特表演是什么人群看的啊？	时装模特表演	适用人群	时尚	时装模特,演
你知道蜡笔小新 逆袭的机器人爸爸的全称吗？	蜡笔小新 逆袭的机器人爸爸	香港	蜡笔小新：大对决！机器人爸爸的反击	蜡笔小新逆袭,机,人,爸
你知道和城关镇的兄弟城市是什么吗？	城关镇	友好城市	信阳市	和城关镇
你知道如何创建学习型社区这个商品的重量吗？	如何创建学习型社区	商品重量	200g	如,建,学习型社区
你知道胜女的代价的片尾是什么歌曲吗？	胜女的代价	片尾曲	张翰《做最爱你的朋友》	胜女,价
你知道圣伯多禄圣保禄主教座堂是什么风格的啊？	圣伯多禄圣保禄主教座堂	建筑风格	新哥特式	圣伯多禄圣保禄,教
你知道波罗丁的天祈绑腿适合在什么职业吗？	波罗丁的天祈绑腿	适用职业	所有职业	波罗丁,天祈绑腿
你知道吗坦赞铁路的铁轨距离有多长？	坦赞铁路	轨距	1067mm	吗坦赞铁路
你知道小说替身情人是在什么网上发布的？	替身情人	首发	磨铁中文网	小说替身情人
你知道电影圈套一共有多少部吗？	圈套	电影	4部	电影圈套
你知道贵阳市建设发展资金管理暂行办法是什么吗？	贵阳市建设发展资金管理暂行办法	文件类别	暂行办法	贵阳市建设发展资金管理,办
你知道尼古拉·奥弗高bwf id的档案是什么啊？	尼古拉·奥弗高	bwf id	61525（档案）	尼古拉·奥弗高,wf
你知道雷龙江都留经什么国家？	龙江	流经国家	广东省广宁县、四会市	雷龙江
你知道是妈妈是棵树这本书是是妈妈给我的？	妈妈是棵树	出版社	北京大学出版社	是妈妈是棵树
问问吉安路易吉·布冯地址的号码？	吉安路易吉·布冯	号码	尤文图斯俱乐部1号，国家队1号	吉安路易吉·布冯,址
我想知道五脏指的是什么啊？	五脏	特指	肝、心、脾、肺、肾	五脏指
你知道新余市渝水区财政局副局长是谁吗？	新余市渝水区财政局	副局长	欧阳瑛华	新余市渝水区财政局,局
你知道波罗丁的天祈绑腿装备是什么品质吗？	波罗丁的天祈绑腿	装备品质	62	波罗丁,天,绑
你知道网际快车1800有线键盘的接口是多大的吗？	网际快车1800有线键盘	键盘接口	ps/2	网际快车1800,线,盘
绯色的碎片使用什么平台啊？	绯色的碎片	使用平台	ps2、ds、psp、ps3	绯色,片
半生浮初登场是多少集的时候你知道吗？	半生浮	初登场	霹雳狂刀 第45集	半生浮初
台中市火车站都有什么啊？	台中市	火车站	台中车站、泰安车站、丰原车站等	台中市火车站
关于切实规范中小学办学行为的若干规定是在什么时候发布的啊？	关于切实规范中小学办学行为的若干规定	发布年份	2009	关于切实规范中小学办学行为的,干,定
粤语名的当地使用人数是什么啊？	粤语	当地使用人数	广东、广西、海南、香港、澳门以及海外华人社区共约6700万至1.2亿[1]（日期不详）	粤语名
你知道借金姐妹媒体吗？	借金姐妹	媒体	dvd-rom	借金姐妹媒体
你知道楞严经现代读的条形码是什么啊？	楞严经现代读	条 形 码	9.78781E+12	楞严经,代
佐罗，一个传奇的开始是谁翻译的啊？	佐罗，一个传奇的开始	译 者	赵德明	佐罗,奇
你知道三十九级台阶是什么国的吗？	三十九级台阶	国 家	英国	三十九级,阶
你知道瑞典a38/sk38攻击机是什么军种吗？	瑞典a38/sk38攻击机	军种	空军	瑞典a38/sk38,击
你知道高松城市谁建的吗？	高松城	建造者	石川氏	高松城市
你知道桐梓县防汛抗旱指挥部办公室关于切实做好抗旱保供水和保春耕工作的紧急通知是什么文件吗？	桐梓县防汛抗旱指挥部办公室关于切实做好抗旱保供水和保春耕工作的紧急通知	文件	桐汛旱办[2010]03号	桐梓县防汛抗旱指挥部办公室关于切实做好抗旱保供水和保春耕工作的,通知
西原特别区在什么地方啊？	西原	特别区	北区	西原特别区
我想知道悲情女声：撩拨灵魂的魅音的isrc是多少啊？	悲情女声：撩拨灵魂的魅音	isrc	cna090852300	悲情女声：撩拨灵魂,魅
你知道htc 8x电池是什么样式的吗？	htc 8x	电池	1800mah 充电式锂离子电池	htc8x电池
堂吉诃德家族的代号是什么啊？	堂吉诃德家族	代号	黑道称呼joker	堂吉诃德,族
你知道就算是哥哥，有爱就没问题了，对吧属于什么文库吗？	就算是哥哥，有爱就没问题了，对吧	所属文库	mf文库j	就,是,哥哥，有爱,对吧
你知道送刘统辖自黄冈归光州有什么有名的诗句吗？	送刘统辖自黄冈归光州	精彩诗句	偃武身还老，还家计未非	送刘统,自,黄冈归光州
我想知道青之城的圆舞曲现在播到第几集了？	青之城的圆舞曲	漫画状态	连载 3集	青之城,圆,曲
我想知道1987–88年欧洲联盟杯的最终成绩是什么啊？	1987–88年欧洲联盟杯	最终成绩	利华古逊（第 1 次夺冠）	1987988年欧洲联盟杯
广州公交191路线路总长是多少啊？	广州公交191路	总长	17.436公里	广州公交191路,路
你知道哈尔湖湖泊的宽度是多大吗？	哈尔湖	湖泊宽度	5 km（3.1 mi）	哈尔湖,泊
你知道先天性甲状腺机能低下症是什么原因吗？	先天性甲状腺机能低下症	病原学	缺乏碘	先天性甲状腺机能低,症
海略ISO31166是什么码？	海略	iso 3166码	no-1515	海略iso31166
你知道行走的观点：埃及是什么开本的吗？	行走的观点：埃及	开本	32开	行走,观,：埃及
你知道音乐先锋公司的信念是什么啊？	音乐先锋	公司宗旨	以人为本、以科技为基础	音乐先锋公司
你知道克莱斯勒铂锐行李舱的容积吗？	克莱斯勒铂锐	行李舱容积	394升	克莱斯勒铂锐行李舱
你知道中西语境中的文化述微的包装是什么样子的啊？	中西语境中的文化述微	包 装	平装	中西语境,文化述微
你知道我，要成为双马尾的文库是什么吗？	我，要成为双马尾	文库	gagaga文库	我，,为,双马尾
你知道时间停止的校舍的原著是什么吗？	时间停止的校舍	原作	辻村深月	时间停止,舍
你知道房地产纠纷案件审判实务中的若干法律问题的出版单位是哪个出版社?	房地产纠纷案件审判实务中的若干法律问题	出版单位	中国科学文化音像出版社	房地产纠纷案件审判实务,的若干法律问题
2013年12月永宁站的日进出人次是多少排名第几？	永宁站	日进出人次	29,806[1]，第49名（2013年12月）	2013,12,永宁站
路将军h2地图软件的地图软件呢？	路将军h2	地图软件	yf map 正版地图（远峰标配）	路将军h2地图,件
我想知道博鹏a8语音导航是什么样式的吗？	博鹏a8	语音导航	智能导航语音	博鹏a8,音,航
你知道微会授权是免费的吗？	微会	授权方式	免费	微会,权
你知道出口带宽 是什么意思吗？	出口带宽	带宽	是宽带负载能力	出,带
你知道留在海边的脚印的颜色是什么吗？	留在海边的脚印	颜 色	彩色	留,海边
你知道委内瑞拉独立日节日是什么样的吗？	委内瑞拉独立日	节日活动	上万名军人和民众一起举行游行庆典	委内瑞拉独立日,日
动物园交通枢纽是什么？	动物园交通枢纽	起造日期	2001年12月7日[1]	动物园,通
你知道英国七橡树中学女多少人？	英国七橡树中学	女	490人	英国七橡树,学
你知道圣三一座堂的建筑是什么吗？	圣三一座堂	建筑	摩尔复兴	圣三一,堂
你知道 w32.navidad病毒的行为是怎么样的吗？	w32.navidad病毒	行为	向“未读”的邮件接收者发送邮件	w32.navidad,毒
你知道《中国芭蕾--红色娘子军》特种邮票是什么单位发行的吗？	《中国芭蕾--红色娘子军》特种邮票	发行单位	中国邮政	《中国芭蕾--红色娘子军》,种,票
晋江市地名志的指导是谁啊？	晋江市地名志	指导	马列主义、毛泽东思想等	晋江市,志
你知道missk公司什么时候开始的啊？	missk	公司简介	missk自1991年创立伊始	missk公司
你知道用脂怎么组词吗？	脂	相关词语	脂水 脂炬 脂韦	用脂
你知道子统一汉字是什么吗？	子	统一汉字	u+5b50	子统
你知道火中凤凰美术是谁管的啊？	火中凤凰	美术	徐虔qian xu	火中凤凰美术
你知道布里斯托尔城2011年至2012年球季的首席射手是谁啊？	布里斯托尔城2011年至2012年球季	首席射手	联赛： 乔纳森·斯特德 （jonathan stead，9球） 所有赛事： 乔纳森·斯特德 （jonathan stead，9球）	布里斯托尔城,至,年,季
北区马科恩-赖肖尔表记法是谁啊？	北区	• 马科恩-赖肖尔表记法	puk-ku	北区马科恩-赖肖尔
sailfish手机的词条类型是什么？	sailfish手机	词条类型	生活词汇	sailfish,机
攀着芒果树枝的药叉女是什么国家的？	攀着芒果树枝的药叉女	原属	印度	攀,芒果树枝,药叉女
你知道工字打出头是什么国家的吗？	工字打出头	制片国家	香港	工字打,头
大安区行政区是属于谁管辖啊？	大安区	行政区管辖	台中市	大安区行政区
永福汽配城投资公司是谁吗？	永福汽配城	投资公司	广州市启基经济发展有限公司	永福汽配城,资,司
贡巴昂归青海哪个文物保护单位管理？	贡巴昂	青海省文物保护单位	青海省文物保护单位	贡巴昂归青海
饥饿游戏印张一共有几个？	饥饿游戏	印张	10.375	饥饿游戏,张
冬天里的革命的丛书名是什么？	冬天里的革命	丛书名	中经欧博管理书系	冬天,革
河南科技学院院士有几个人？	河南科技学院	院士	3人	河南科技学院院士
宇宙中鸟巢星云距离地球有多远？	鸟巢星云	距地距离	两万五千光年	宇,鸟巢星云
山东省长我是谁啊？	山东	省长	郭树清	山东省长
2008–09年香港足总杯一共进了多少球啊？	2008–09年香港足总杯	总入球数	60 球（每场 4.29 球）	2008009年香港足总杯
你知道波丽安娜假说其他翻译是什么吗？	波丽安娜假说	又译	波里安娜假说，乐观向上假说	波丽安娜,说
我想知道写召唤全面战争的人还有什么别的作品啊？	召唤全面战争	作者其他作品	《暗黑裁决者》…	写召唤全面战争的人
巨型土壤动物有什么啊？	巨型土壤动物	实例	鼹、姬鼠、兔、穴兔、地鼠	巨型土壤,物
我很好奇尖沙咀天星码头公共运输交汇处总站附近的交通啊？	尖沙咀天星码头公共运输交汇处	总站附近	梳士巴利道	尖沙咀天星码头公共运输交汇处总站
你知道谷客6846摄像头是几位的色彩啊？	谷客6846摄像头	色彩位数	24位	谷客6846,头
福建求拓律师事务所工作所涉及的领域是什么？	福建求拓律师事务所	主要领域	刑事辩护、合同纠纷	福建求拓律师事务所工作
我们没有翅膀的画面尺寸是多大？	我们没有翅膀	画面尺寸	800x600	我们,翅膀
松子坡里自然村的收入靠什么？	松子坡里自然村	收入	种植业	松子坡,村
江小东和刘小文的制作单位是哪？	江小东和刘小文	制作单位	山水剧社	江小东,刘小文
2014中国大学排行榜上海交通大学排名是多少？	2014中国大学排行榜	第三名	上海交通大学	2014中国大学排行榜上海交通大学
罗兰fp-740墨盒类型是什么	罗兰fp-740	墨盒类型	四色墨盒	罗兰fp-740墨盒
朱尔兹的召唤的制作厂商是谁？	朱尔兹的召唤	制作厂商	techland	朱尔兹,唤
林肯港州选区的人选是谁？	林肯港	州选区	flinders	林肯港州选区
电气绝缘结构（eis） 热分级的标准状态是什么？	电气绝缘结构（eis） 热分级	标准状态	现行	电气绝缘结构（eis）,级
老人与钉子是什么族的啊？	老人与钉子	族群	满族	老人,钉子
1987–88年欧洲联盟杯的卫冕球队是什么啊？	1987–88年欧洲联盟杯	卫冕球队	哥登堡（第一圈出局）	1987988年欧洲联盟杯
会议去哪的icp备案号是什么啊？	会议去哪	icp备案号	湘icp备14018062号-1[2]	会议,哪
1889年基督进入布鲁塞尔他的属地在哪？	1889年基督进入布鲁塞尔	属地	伦敦，柯隆内尔·l·弗兰克藏	基督,入,布鲁塞尔他
科力博士是在龙珠的哪个剧集里面出现的？	科力博士	出现于	龙珠z剧场版11	科力博士,龙珠
k9461次列车是什么类型的列车啊？	k9461次	列车类型	快车	k9461次列车
胡家街道办事处是什么原因起这个名字的啊？	胡家街道办事处	得名原因	因政府驻地胡家村而得名	胡家街道,处
谁清楚在2002年日本大奖赛中的赛事细节有什么啊？	2002年日本大奖赛	赛事细节	2002年世界一级方程式锦标赛共17站中的第17站	2002,日本大奖赛
你知道但愿婚前我知道 12件预备婚姻的大事使用的是什么语言吗？	但愿婚前我知道 12件预备婚姻的大事	语言	简体中文	但愿婚前,12,预备婚姻
在欧洲组织中保守党的含义是什么？	保守党	欧洲组织	欧洲保守与改革者联盟（英语：alliance of european conservatives and reformists）	欧,保守党
有人知道在拉丁文里面飘窗的名字是什么吗？	飘窗	拉丁文名	windows	拉,飘窗
在物理学中有形磨损是属于哪种学科分类里面呢？	有形磨损	学科分类	物理学；建设工程经济	物,有形磨损
你知道台风鸿雁气压最低时大概有多少吗？	台风鸿雁	最低气压	940hpa	台风鸿雁气压
你知道到柯美bizhub350的预热时间是多少吗？	柯美bizhub350	预热时间	<24秒	到柯美bizhub350
你知道盒子支付的宗旨是什么吗？	盒子支付	公司使命	让每个人都能随时随地的支付。	盒子,付
isu-122/152重型突击炮战斗全重是多少千克？	isu-122/152重型突击炮	战斗全重	46000kg	isu-122/152重型突击炮战
你知道在中国古诗文是什么含义吗？	古诗文	含 义	中国古代的诗歌和散文	中
南宁魁星楼在广西壮族自治区的时候是他们的文物保护单位吗？	南宁魁星楼	广西壮族自治区文物保护单位	广西壮族自治区文物保护单位	南宁魁星楼,广西壮族
smg公司做什么业务啊？	smg	经营范围	设计、开发、销售针织器材	smg公司
按照分类的话烧麦属于哪种？	烧麦	分类	小吃，面食	话烧麦
秦时明月的漫画在哪些地区出品了？	秦时明月	地区	中国台湾、中国大陆	秦时明月,画
麦克白制片方是哪个国家的？	麦克白	制片地区	印度	麦克白,方
煮八宝黑米粥需要什么食材？	八宝黑米粥	主要食材	百合 莲米	煮八宝黑米粥
实习总结报告的名称应该叫什么？	实习总结	名称	实习总结	实习总结报告
电影《第一次》的对白语言是什么啊？	第一次	对白语言	普通话	电影《第一次》
你听过《因为有你》的歌曲是谁原唱的啊？	因为有你	歌曲原唱	j.p.m组合	《因为有你》
釜山南区的人口密度是多少？	南区	密度	4,800/平方公里（12,000/平方英里）	釜山南区
《这样算是僵尸吗？》属于哪个丛书系列的？	这样算是僵尸吗？	丛书	dragon comics age kadokawa comics boy series	《,样,僵尸,？》
bfs牛汇公司的口号是什么？	bfs牛汇	公司口号	诚信 开放 透明	bfs牛汇公司
“十年生聚，十年教训”怎么用？	十年生聚，十年教训	用法	作宾语、分句；用于劝诫人	“十年生聚，十年教训
维拉鲁人物出自哪？	维拉鲁	属于	《天元突破红莲之眼》人物之一	维拉鲁,物
《对酒》是谁写的？	对酒	作 者	曹操	《对酒》
《命运先生》的评分是多少？	命运先生	评分	5.9/10( 1890票 )	《命运先生》
《我们》的编曲者是谁？	我们	编曲	丁炜	《我们》
《我爱你》这首歌有多长时间？	我爱你	歌曲时长	03:16	《我爱你》
《百万英镑》这本书有多少字？	百万英镑	字数	18000	《百万英镑》
泡椒同学餐厅的人均消费是多少？	泡椒同学	人均价格	67	泡椒同学餐厅
珨字有多少笔？	珨	笔画	10	珨字
《世界上最伟大的理财课》是哪个出版社出版？	世界上最伟大的理财课	出 版 社	安徽人民出版社	《世界上最伟大的理财课》
《刺客信条》是什么时候出版的？	刺客信条	出版日期	2014-11	《刺客信条》
动画片小智的配音是谁？	小智	配音	竹内顺子	动画片小智
《痛经与经前期综合征合理用药200问》的平装版是多少页？	痛经与经前期综合征合理用药200问	平装	141页	《痛经与经前期综合征合理用药200问》
《英雄无泪》是一部什么类型的影片？	英雄无泪	类 型	武侠	《英雄无泪》
《gravity》的制作人是谁？	gravity	制作人	connie talbot	《gravity》
《爱你，万缕千丝》首播是在什么时间？	爱你，万缕千丝	首播时间	2015年3月29日	《爱你，万缕千丝》
《粉红豹》的imdb是多少？	粉红豹	imdb编码	tt0383216	《粉红豹》
《倩女幽魂》的监制是谁？	倩女幽魂	监制	杨绍鸿	《倩女幽魂》
《我是谁》专辑里包括什么语言？	我是谁	专辑语言	国语，粤语，英语	《我是谁》,辑
主场优势存在什么特征？	主场优势	特征	对于主场的熟悉感	主,优势
《一千零一夜》出自哪个系列丛书？	一千零一夜	丛书名	译文名著精选	《一千零一夜》
《梦幻魔界王》是什么类型的小说？	梦幻魔界王	小说性质	网络小说	《梦幻魔界王》
珨字部首的笔画是多少？	珨	部首笔划	4	珨字,首
《剑气凝神》这本书的写作进程怎么样？	剑气凝神	写作进程	连载中	《剑气凝神》
《极品皇帝》现在的状态是什么？	极品皇帝	状态	完结	《极品皇帝》
《逆转裁判5》的内容主题是什么？	逆转裁判5	内容主题	推理、辩论	《逆转裁判5》
《无事生非》的导演是谁？	无事生非	导 演	martin hellberg	《无事生非》
欣利阳光城项目的位置在哪？	欣利阳光城	项目位置	雨山区向山镇石山路	欣利阳光城,目
《中国卫生界》什么时候出版一次？	中国卫生界	出版周期	双月刊	《中国卫生界》
《死亡日记》是什么时候上映发行的？	死亡日记	上映及发行	1999年5月19日	《死亡日记》
《第十二夜》由谁主演的？	第十二夜	主 演	frances barber	《第十二夜》
“我爱你”适用于哪些范围？	我爱你	适用范围	情侣表白或至亲表达	“我爱你”
你知道谁拍摄的《呼啸山庄》吗？	呼啸山庄	摄影	claudio chea	《呼啸山庄》
《疯狂的麦克斯》什么时候拍摄的？	疯狂的麦克斯	拍摄日期	1978年	《疯狂的麦克斯》
《我爱你》由谁负责作曲？	我爱你	作曲	苏颜ft默梁	《我爱你》
《倾城女子魅天下》是谁写的小说？	倾城女子魅天下	小说作者	霓裳妖娆	《倾城女子魅天下》
《我的世界》最新版本是多少？	我的世界	最新版本	1.7.10	《我的世界》
你知道谁发布的《中央企业负责人经营业绩考核暂行办法》吗？	中央企业负责人经营业绩考核暂行办法	发布单位	国务院国有资产监督管理委员会	《中央企业负责人经营业绩考核暂行办法》
《翠鴗科》的命名者和年代分别是什么？	翠鴗科	命名者及年代	gr gray，1825	《翠鴗科》
卡哈帕奇历史是从什么时候开始？	卡哈帕奇	历史	西元400年	卡哈帕奇历史
竹园花园小区的位置在哪？	竹园花园	小区地址	惠城区滨江公园旁边	竹园花园小区
《我的另一半》在哪些地方发行？	我的另一半	发行地区	香港，台湾，中国大陆	《我的另一半》
《九日》属于什么体裁？	九日	体裁	七言律诗	《九日》
《棒球英豪》什么时候上映的？	棒球英豪	上映日期	1986年4月12日	《棒球英豪》
《超级偶像》从什么时候开始播出？	超级偶像	播出日期	2015年3月14日－	《超级偶像》
血腥兔闯关操作指南大小是多少？	血腥兔闯关	操作指南	4150k	血腥兔闯关,指
《第一次》有多少曲目？	第一次	曲目数量	10	《第一次》
你知道《名侦探柯南：贝克街的亡灵》的票房是多少吗？	名侦探柯南：贝克街的亡灵	票房	33.8亿日元	《名侦探柯南：贝克街的亡灵》
《娘心计》是谁演唱的？	娘心计	演唱者	刘忻	《娘心计》
《奇迹来了》有哪些运营商？	奇迹来了	运营商	9377、91wan、51游戏、8090游戏	《奇迹来了》
《翅膀》是由谁演唱的？	翅膀	演唱者	胡夏	《翅膀》
《懒人听书》现在的软件版本是多少？	懒人听书	软件版本	5.2.4	《懒人听书》
《step by step》是由谁作词的？	step by step	作词	立花瞳	《stepbystep》
《疯狂的水母》的主角是谁？	疯狂的水母	主要角色	水母	《疯狂的水母》
你还记得《哈利·波特与密室》的书号吗？	哈利·波特与密室	书号	isbn 7-02-003344-x	《哈利·波特与密室》
《花木兰》是由哪个制片商制造的？	花木兰	制片商	华特迪士尼动画工作室	《花木兰》
《帝尊》一共完成多少字数？	帝尊	完成字数	6127139	《帝尊》
《twist and shout》是首什么样风格的歌？	twist and shout	风格	merseybeat	《twistandshout》
告诉我文不加点的近义词有哪些？	文不加点	近义词	一气呵成 倚马七纸 倚马千言	我,文不加点
《日语国际能力测试日语2级听解指导与实践》这本书卖多少钱？	日语国际能力测试日语2级听解指导与实践	定价	￥29.80	《日语国际能力测试日语2级听解指导与实践》
软件正版化服务需要遵守什么？	软件正版化	服务	遵守gpl、gnu、lgpl等的开源协议	软件正版化服务
《神雕侠侣》是什么时候播出的？	神雕侠侣	播出时间	2014年 每周三至周四晚22：00	《神雕侠侣》
《减速顶与调速技术》是谁负责编辑的？	减速顶与调速技术	主编	王继廉	《减速顶与调速技术》
乌卡什·法比安斯基青年队有哪些人？	乌卡什·法比安斯基	青年队	斯武比采 msp szamotuły lubuszanin drezdenko 布罗德尼察斯巴达 格涅兹诺	乌卡什·法比安斯基青年队
《安吉丝的梦境》属于单机分类的哪一种？	安吉丝的梦境	单机分类	单机游戏	《安吉丝的梦境》
刘心武中篇小说出版过几次？	刘心武中篇小说	版 次	1	刘心武,篇小说
《剑桥中国史》在什么地方出版？	剑桥中国史	出版地	中国北京	《剑桥中国史》
《勇者斗恶龙7》是在什么时候发售的？	勇者斗恶龙7	发售日期	2000年（ps）2013年（3ds）[1]	《勇者斗恶龙7》
《勇者传说online》属于其他哪种类别？	勇者传说online	其他类别	2d q版	《勇者传说online》
《像间谍一样思考》定价多少？	像间谍一样思考	定 价	29	《像间谍一样思考》
《魔神英雄传》的音乐是谁负责的？	魔神英雄传	音乐	兼崎顺一、门仓聡	《魔神英雄传》
《firebug》的原作者是谁？	firebug	原作者	joe hewitt	《firebug》
《做巧克力蛋糕》这个游戏如何开始？	做巧克力蛋糕	如何开始	点击[play]开始游戏	《做巧克力蛋糕》
《3d坦克》是在什么时候更新的？	3d坦克	更新日期	2014/03/12	《3d坦克》
《月哭·狐之魅》的统一书号是多少？	月哭·狐之魅	统一书号	10011-518	《月哭·狐之魅》
麻布十番站车站是怎么构造的？	麻布十番站	车站构造	岛式月台1面2线的地下车站	麻布十番站车站
《木兰花·拟古决绝词柬友》作品的别名是什么？	木兰花·拟古决绝词柬友	作品别名	木兰花令·拟古决绝词、玉楼春·拟古决绝词、木兰词·拟古决绝词柬友	《木兰花·拟古决绝词柬友》
《语文报》是哪个单位编辑的？	语文报	编辑单位	《语文报》社有限责任公司	《语文报》
《广东省人民政府办公厅关于向我省光盘生产厂派驻监督员的通知》在文号是多少？	广东省人民政府办公厅关于向我省光盘生产厂派驻监督员的通知	文号	粤府办〔1995〕103号	《广东省人民政府办公厅关于向我省光盘生产厂派驻监督员的通知》
《高炉炼铁工程管理与施工技术》这本书有多少页？	高炉炼铁工程管理与施工技术	页 数	357 ; 24cm	《高炉炼铁工程管理与施工技术》
《圣枪游侠》这款游戏价格怎么样？	圣枪游侠	价格	国服：点卷4500金币6300	《圣枪游侠》
《侠盗猎车手5》属于哪个系列？	侠盗猎车手5	所属系列	侠盗猎车手	《侠盗猎车手5》
《高铁管家》在哪些平台上线了？	高铁管家	软件平台	ios、android	《高铁管家》
《魔法科高中的劣等生》从什么时候开始连载的？	魔法科高中的劣等生	连载期间	2008年10月12日至今	《魔法科高中的劣等生》
钩针编织产品的尺寸是多大？	钩针编织	产品尺寸	25.4x20.4x1cm	钩针编织,品
《雷顿教授与超文明a的遗产》属于什么模式的游戏？	雷顿教授与超文明a的遗产	模式	单人游戏	《雷顿教授与超文明a的遗产》
