entity,attribute,answer,question
望表,词语,望表,？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
荣耀x1,曝光日期,2014年,请问荣耀xl是什么时候曝光的？
什么叫描声舞,类似,我国少数民族的巫术动作,请问什么叫做描声舞？
阳萎,疾病分类,内科—肾系病证,请问阳痿是属于哪种疾病？
利盟 s408,耗材类型,分体式墨盒,请问是用什么做成的？
厄立特里亚,海岸线,2234公里,厄立特利里亚的海岸线有多长？
方正圆明 hr580,标准内存容量,4gb,方正圆明hr580的标准内存容量有多大？
中国大学声誉排行榜50强,第一名,清华大学,中国大学声誉榜榜首是哪个大学？
慈禧,旗籍,满洲镶蓝旗（后抬入镶黄旗）,慈溪最初旗籍是什么？
慈氏塔,重修,北宋治平三年(1066年),你知道慈式塔是在哪一年重修的吗？
2002年6月10日日食,影子直径,13公里,谁知道在2002年6月10日的日食中日食阴影面积有多大？
中华人民共和国第九届大学生运动会,参赛运动员,6000名,请问中国第九届大运会有多少人参赛？
哥伦比亚国家男子足球队,fifa代码,col,哥伦比亚男足的fifa代码是多少有人知道吗？
2012第三届中国锡林郭勒国际煤炭工业博览会,开幕时间,2012年6月14日,请问2012年第三届中国锡林郭勒国际煤炭工业博览会什么时候开幕吗？
司门前镇,书记,刘界夫 [1],我想知道司马前镇的书记是谁？
中国社会科学院新闻与传播研究所,上级机关,社会科学院,请问中国社科院新闻与传播研究所的上级机关是什么？
苍山越桔(原亚种),国内分布,川，滇，藏,我很好奇苍山越桔（原亚种）在国内分布在哪里？
长江三峡水利枢纽工程,耗资,¥1800亿 (美元$260亿),我想知道三峡水利工程花了多少钱？
中国国际航空股份有限公司,icao代码,cca,中国国航的icao代码是多少有人知道吗？
中华人民共和国国家安全部,业务上级机构,中央国家安全工作领导小组,你知道中国国家安全部的业务上级机构是什么吗？
华联商业街,南北宽,160多米，,你知道华联商业家南北向宽多少吗？
清华大学工程物理系,下属,6个研究所，1个教育部重点实验室,清华工程物理学有哪些下属你知道吗？
阿伯丁大学,捐赠基金,29.2 m 英镑 [2],你知道阿伯丁的捐赠基金是多少吗？
闽清县地方税务局,组建于,1994年8月,你知道闽清县地税局是什么时候组建的吗？
11eyes -罪与罚与赎的少女-,讯息略过,有（pc、ios）,我想知道11eyes -罪与罚与赎的少女有没有讯息略过？
济青高速铁路,投资总额,600亿元,谁知道济青高铁投资了多少钱？
胶济客运专线,开工时间,2007年1月8日,你知道胶济客远专线是什么时候开工的吗？
澳大利亚国家足球队,最佳成绩,八分之一决赛，2006年,请问澳大利亚国族的最佳成绩是什么？
超懒减肥法,流行,网络,请问超烂减肥法在哪里比较流行？
广元市美术馆,开馆时间,2013年12月28日,谁知道广元市是什么时候开馆的？
西安交通大学医学院第二附属医院,医院地址,西安市新城区北大街西五路157号,你知道西安交大医学院第二附属医院在哪吗？
地牢猎人2,语言种类,英文 中文,请问地牢猎手2是什么语言的？
山海一家三期,竣工时间,2005年,你知道山海一家三七是时候竣工的吗？
安徽师范大学心理研究会,会员人数,600人,请问安徽师大心理研究会有多少会员？
长江之星号游轮,造型,幽雅别,你知道长江之星号邮轮的造型是怎样的吗？
创亿 bic-21/24c,墨盒类型,彩色,请问创亿bic-21/24c用的是什么类型的墨盒？
金星潢尺蛾东北亚种,目名,鳞翅目,我想知道进行潢尺蛾东北亚种属于什么目？
香港科技大学,总人数,12584人,请问港科大一共有多少人？
9.18公务员联考,程序,报考,谁知道9.18公务员连考的程序？
独立号航空母舰,导弹武器,2门4联装40毫米高射炮,请问独立号航母有什么导弹武器？
神圣不列颠帝国,出 自,《codegeass造反的巴力尔特》,你知道神圣不列颠国出自哪里吗？
中国国家足球队,fifa排名,96（2015年1月）,请问中国国足的fifa排名是多少？
综漫之数据后宫,小说子类,动漫同人,请问综漫只数据后宫属于什么小说子类？
东阿阿胶浆,贮藏方法,置阴凉、干燥处,请问东阿阿胶怎么保存？
软化水设备,耗电量,20w/d,你知道润滑水设备的耗电量是多少吗?
大同市第一中学,学生数,8000余名,请问大同一中有多少学生？
基隆市立安乐高级中学,校地面积,38590平方公尺,我很好奇基隆市立安乐高中的校园占地多少？
中国农业大学峰云社,涉及项目,雪山攀登、人文科考、冬训、日常登山拉练,请问中国农大峰云社设计什么项目？
四川师范大学学生公寓自管委员会,指导老师,刘英,我很好奇四川师大学生公寓自管委员会的指导老师是谁？
独立号航空母舰,续航力,12500千米,请问独立号航母的续航力怎么样？
跳棋演讲,成果,尼克松有共和党副总统候选人资格,我很好奇跳棋演变的成果是什么？
金汞,基本释义,道家所炼丹药名,谁知道金泵是什么意思？
上海华润置地中央公园,物业类型,公寓，别墅,请问上海华润置地中央公寓是什么类型的物业？
萨拉托加号航空母舰,其他武器,24挺.50机枪,请问萨拉托加号航母有其他武器吗？
海城市岔沟镇庞家店小学校,办学思想,面向全体，全面提高,有人知道海城市岔沟镇庞家店小学的办学思想是怎样的吗？
华东师范大学研究生院,设有,18个博士后流动站,请问华东师大研究生院设了几个博士后流动站？
留存收益筹资,优 点,不发生实际的现金支出,谁知道留存收益抽次有什么优点？
翁通爪哇环礁,所属群岛,所罗门群岛,请问翁通瓜哇环礁属于哪个群岛？
独立号航空母舰,舰载机,12架战机、9架鱼雷轰炸机、9架俯冲轰炸机,请问独立号航母有多少舰载机？
intel奔腾双核e5400,核心类型,wolfdale,请问Intel奔腾双核e5400是什么类型的核心？
ipad,输入,多点触摸屏、线控设备、接近和环境光源感应器、三轴加速规、三轴陀螺仪、数字罗盘,请问iPad的输入方式有什么？
浙江省征兵工作实施办法,执行时间,1990年11月16日,请问浙江省征兵实施办法是什么时候开始执行的？
船舶返修率,指标,衡量船舶修理质量,你知道传播返修率的指标是什么吗？
奔驰s级2010款 s600l,生产状态,停产,我很好奇奔驰s级2010款s600l是怎样的生产状态？
奈沃科粉,针对人群,容易疲劳和缺氧的人群,奈沃科分针对哪些人群有人知道吗？
黄山宝莱半岛酒店,酒店设施,洗衣服务、商务中心、会议室,请问黄山宝来半岛酒店有哪些设施？
炊事班的故事1,对白,普通话、方言,炊事班的故事的对白是什么语言？
好想你,是否含防腐剂,否,你知道好像你里面有防腐剂吗？
潘朵拉之心,原版名称,パンドラハーツ(pandora hearts),我想知道潘多拉之心的原版叫什么名字？
太平镇,行政区划代码,440184111,请问天平镇的行政区划代码是多少？
王琼,字号,良玉,你知道玉琼的字号是多少吗？
中心村,邮政区码,426100,请问中心区的邮政区码是多少？
三甲双酮,分子量,143.15,我想请问分子量是多少？
中国福利彩票,宗旨,扶老、助残、救孤、济困,你知道中国福彩的宗旨是什么吗？
《神雕侠侣》,电影公司,香港tvb,你知道神雕侠侣是哪个电影公司的吗？
4399在线游戏,总部所在地,福建省厦门市思明区软件园二期望海路2号楼,我很好奇4399的总部在哪？
金星,近日点,"107,476,259千米",你知道的近日点有多远吗？
富士康a7da-s,主芯片组,amd 790gx,富士康的主芯片组是什么你知道吗？
中国重型汽车集团有限公司,主管单位,山东省国资委,中国重汽集团的主管单位是哪里你知道吗？
windows phone,最新版本,windows phone 8.1 update1（预览版）,你知道Windows phone的最新版本是什么吗？
上海戏剧学院附属高级中学,学校属性,区实验性示范性高中[1],你知道上海戏剧学院附属高中是什么性质的吗？
吴四军,医院,北京大学首钢医院,你知道吴思军在哪个医院吗？
互联网+,背景,互联网企业的成功与辉煌,互联网的背景是什么？
鱼雷战记无名,其他平台,java,《九龙巴士5a线》使用的是什么平台语言开发？
夷陵区国家税务局,干部职工,247人,陵区国家税务局有多少干部职工？
武林外史中,多看评分,9.5,武林外史的评分是多少？
仿南宋官窑瓷,得名,南宋官窑专为皇宫烧制瓷器,你知道南宋官窑瓷的得名由来吗？
搜狗号码通,开发时间,2012年,狗号码通是什么时候开发的？
金海花园知寓,周边配套,:星火小学，七里塘小学,你知道金海花园知的周边有哪些小学吗？
2011年《金融时报》全球500强排名 (101-200),country,us,2011年《金融时报》全球500强排名的发行国家是什么？
台湾经济,收入,$762亿美元(2007年),台湾的经济收入是多少？
胶州市瑞德塑料机械厂,注册资本,无需验资,州市瑞德塑料机械厂需要多少注册资本？
雾霾治理,治理,减少排放  负离子治理,如何治理雾霾？
csa,成立时间,1998.07,你记得CSA的成立时间吗？
林润妸,本名,林允儿,有人知道林润婀的本名吗？
《笑傲江湖》,导演,"胡意涓, 黄俊文",笑傲江湖的导演是谁来着？
南山寺,时代,唐代,你了解山寺处于哪个时代吗?
张老庄村,人物,段庆香 杜聿明,张家庄村有什么人物吗？
skf6211轴承,轴承内径,55,应用层级 的(*@ο@*) 哇～嗯是55
tcl 718,频率,gsm 900/1800mhz,tcl 71的频率是多少？
中国2014年青岛世界园艺博览会,展会名称,2014青岛世界园艺博览会,中国2014年青岛世界园艺博览的名称叫什么？
第三届山东文化产业博览交易会,地 点,济南国际会展中心,三届山东文化产业博览交易会在哪里举办？
阀门ce认证技术要求,相关领域,技术认证,阀门ce在相关领域有认证技术要求吗？
安溪县第六中学,校园,占地8万多平方米,安溪县第六中校园面积多大？
轴向加速度,相关学科,线性代数 物理学,你知道与轴向加速相关的学科吗？
变形计,播出状态,播出中,请问变形记还在播出吗？
科密小秘书t10,碎纸效果,4x35mm,你知道科密小秘书的碎纸效果的多少吗？
江～公主们的战国～,港澳,江·战国三公主（有线娱乐台）,请问 江·战国三公主在港澳什么台播放？
石头生日,农历日期,正月初十,请问石头的农历生日时间是什么？
并联电容器装置设计规范,批准部门,中华人民共和国建设部,你知道并联电容器的设计规范是由哪里部门批准的吗？
青岛博文小学,学校占地面积,32617平方米,你知道青岛的博文小学总共有多大面积？
“和”字书法——行书普通纪念币,发行单位,中国人民银行,很好奇“和”字这种书法纪念币是由谁发行的？
盐城市好梦缘商贸有限公司,专业从事,酒水销售的大型商贸公司,盐城市的好梦缘是个什么样的公司？
天赋,相关词语,天才；天生,请问与天才有关的词语是什么？
世界超级计算机500强,第二名,泰坦（美国）每秒1.76亿亿次,你知道世界计算机500强第二名叫什么吗?
11eyes -罪与罚与赎的少女-,角色名设置,不可,请问罪与罚与赎的少女能更改角色名吗？
传承：哈拉斯之剑,职业限制,：鬼剑士,请问哈拉斯之剑有职业限制吗？
慧炬威闪绝密防盗u盘(8gb),兼容操作系统,windows 98/98se/me/xp/,慧炬威闪绝密防盗u盘兼容什么系统操作？
酷比魔方h600hd（8gb）,扩展卡,支持microsd（tf）卡,酷比魔方h600hd支持多大的扩展卡？
知柏地黄丸（浓缩丸）,药品性状,本品为棕黑色的水蜜丸,知柏地黄丸的性状如何？
惠普designjet z6200(cq111a),打印机类型,大幅面打印机,惠普designjet z6200是什么类型的打印机？
2011第七届中国模具之都（宁波）博览会,展会城市,宁波,2011第七届中国模具之都博览会在哪里展览？
中国电子m5(8gb),电子书功能,支持,中国电子m5支持电子书功能吗？
博帝2gb ddr2 800（笔记本）,内存主频,：800mhz,博帝2gb ddr2 800的内存主频是多少赫兹的？
pcm king 1000al (直流24v),转换时间,2 - 4毫秒,pcm king 1000al在多长时间内转换？
