question,predict_answer,accurate_answer
笑傲江湖这本书是什么语言编的书？,中文,中文
问一下《战略决定成败》是什么装帧的啊？,精装,精装
龙泉镇是在中国的什么地方啊？,中国 四川,中国 四川
在什么地方可以看见环菊珊瑚？,台湾、菲律实、红海海域,台湾、菲律实、红海海域
你知道白芷是什么种的植物吗？,白芷,白芷
请告诉我蒲公英分布在什么地方？,东北、华北、华东、华中、西南等地,东北、华北、华东、华中、西南等地
因为有你这首歌是什么时候发行的呀？,2011年,2011年
安娜·卡列尼娜这部剧的编剧是谁呀？,winston beard,winston beard
能告诉我杨皇后的本名是什么吗？,杨皇后,杨皇后
你知道状元及第粥是什么味道的吗？,咸味,咸味
我想知道文峰塔是在什么地方的？,天马镇南部的文笔峰（塔山）之巅,甘肃省陇西县文峰镇迎春堡村
你知道《幽灵船》这本书的isbn是多少吗？,9787547003985,9787547003985
请告诉我罂粟是什么种的植物？,罂粟 p. somniferum,罂粟 p. somniferum
馒头都是由什么原料做成的？,面粉，水，酵母,面粉，水，酵母
告诉我中心村的电话区号是什么？,746,746
你了解李家村的海拔是多少吗？,1900米,1900米
你知道事功这个词是什么意思吗？,指为国勤奋努力工作的功勋,指为国勤奋努力工作的功勋
你知道《门》多少钱可以买到吗？,￥20.00,￥20.00
陈文这个作家的代表作是什么呀？,国际杂志论文；国际会议论文,国际杂志论文；国际会议论文
告诉我《兄弟》这本书是几开的书？,16开,16开
你知道辞职报告的全称是多少吗？,辞职报告,辞职报告
罪与罚的对白是用什么语言说的？,俄语,俄语
我想知道方便面中有没有添加防腐剂？,否,否
周迅的别名有什么呀？,周公子、周一条,周公子、周一条
伟大怎么用韩语说呀，你知道吗？,ㄓㄨˋ ㄧㄣ,ㄓㄨˋ ㄧㄣ
你知道礼物这首歌的原唱歌手都有谁吗？,许巍，汪峰，周晓鸥，马上又，栾树，丁武，张楚，李延亮，高旗,许巍，汪峰，周晓鸥，马上又，栾树，丁武，张楚，李延亮，高旗
大闹天宫这个游戏是哪个公司开发的啊？,璇玑网络,璇玑网络
中山大学的简称是什么呀？,中大（sysu）,中大（sysu）
奥图码pv3225这款产品是干什么用的啊？,娱乐投影机,娱乐投影机
我想知道西城街道这个地区有多少人口？,62298人,62298人
《不朽》这本书有多少页啊？,193页,193页
能够告诉我石桥镇有多大的面积吗？,87平方公里,87平方公里
你知道丁宁的身高是多少吗？,168厘米,168厘米
第十二夜这部片子要演多久呀？,1988年,155 min
cid是什么意思？,连续相同码/数字,连续相同码/数字
你了解张迪的星座吗？,射手座,射手座
长安raeton是什么品牌的呀？,长安raeton,长安raeton
你知道西区有多大密度吗？,"3,400/平方公里（8,900/平方英里）","3,400/平方公里（8,900/平方英里）"
告诉我贵妇犬的亚纲是什么？,真兽亚纲(eutheria),真兽亚纲(eutheria)
你知道缘鳍海猪鱼的英文名称是什么吗？,two-eyed wrasse,two-eyed wrasse
陈俊的信仰是什么啊？,共产主义,共产主义
濽用拼音怎么拼啊？,zàn、cuán,zàn、cuán
陈杰是哪个地区的人？,江西省永修县,江西省永修县
多花组用二名法分应该怎么说？,sect. decaloba dc.,sect. decaloba dc.
阿灵顿的时区是什么地方的？,美国中部时间,美国中部时间
狗是什么亚纲啊？,真兽亚纲,真兽亚纲
koyo h414235/10轴承的型号是什么啊？,轴承,轴承
我想知道杨皇后是什么朝代的人啊？,北魏,北魏
如何形象的解释絮絮叨叨这个词语的意思？,形容说话啰嗦唠叨,形容说话啰嗦唠叨
我想了解一下因为有你这首歌是谁填的词？,王子,王子
恒大金碧天下这个楼盘的名字是什么？,恒大金碧天下,恒大金碧天下
城隍庙是位于那个地方的建筑？,平遥古城城隍庙街东段,平遥古城城隍庙街东段
你知道联合村是什么地方的村庄吗？,麒麟区珠街乡,麒麟区珠街乡
赛龙镇是属于什么类型的行政区呀？,乡镇,乡镇
你知道《哈姆雷特》都会在什么地方上映吗？,美国|英国|法国,美国|英国|法国
告诉我因为有你这首歌是属于什么专辑的歌曲？,《月球漫步》,《月球漫步》
你知道幸福里的建筑面积有多少吗？,94349.30平米,94349.30平米
李尔王的出品时间是什么时候？,1969年,1969年
凤凰镇的具体地理位置在什么地方？,大山深处的凤凰古镇位于柞水县东南部，地处秦岭南坡,大山深处的凤凰古镇位于柞水县东南部，地处秦岭南坡
总督府是属于什么市镇的呀？,新南威尔士悉尼皇家植物园,新南威尔士悉尼皇家植物园
你知道因为有你是谁作的曲吗？,潘玮柏,潘玮柏
你知道拼搏奥运连连看占多大的内存吗？,258kb,258kb
问一下兴隆镇的上级行政区是什么地方吗？,黑龙江省哈尔滨市巴彦县,黑龙江省哈尔滨市巴彦县
你知道《哈姆雷特》的主演都有谁吗？,梅尔·吉布森|格伦·克洛斯|阿兰·贝茨,梅尔·吉布森|格伦·克洛斯|阿兰·贝茨
《美女与野兽》是什么时间上映呀？,2005年10月27日,2005年10月27日
你知道安娜·卡列尼娜的出品公司是哪个嘛？,米高梅,米高梅
告诉我城关镇有什么有名的景点？,龙岗公园,龙岗公园
克里斯蒂安是属于什么运动的？,重量  摔跤,重量  摔跤
龙珠的原版名字是什么你知道吗？,七龙珠,七龙珠
卡温顿的夏令时是什么样子的？,edt（utc-4）,edt（utc-4）
张胜利的政治面貌是什么呀？,党员,党员
兴隆镇的行政区域代码是多少呀？,230126101,230126101
能告诉我坡脚村常年的气候是什么样子的吗？,"年平均气温22.00℃，年降水量1,560.00毫米","年平均气温22.00℃，年降水量1,560.00毫米"
你知道何家驹是哪一年出生的在什么地方吗？,1951年3月14日 英属香港九龙城,1951年3月14日 英属香港九龙城
王森是什么时候去世的啊？,1985年,1985年
进击的巨人这本书是哪个社区的啊？,讲谈社comics magazine、 premium kc（限定版） tong li comics,讲谈社comics magazine、 premium kc（限定版） tong li comics
《哈姆雷特》这个剧的画面色彩是怎样的？,彩色,彩色
你知道异叶黄钟木的英文名字是什么吗？,"pink manjack,","pink manjack,"
新城街道有多少个村级区域的单位？,14,14
你知道中国联合协会有什么作用吗？,组织中国品牌参加国际扩张活动,组织中国品牌参加国际扩张活动
有谁知道东芝c600-c31n的屏幕尺寸是多大吗？,14.0英寸,14.0英寸
王志坚的政党是什么呀？,1922年年，王志坚在济南加入中国共产党,1922年年，王志坚在济南加入中国共产党
轩辕剑的游戏平台是什么呀?,pc（dos）,pc（dos）
你知道新城街道有几个社区吗？,1900年1月5日,1900年1月5日
你知道古城镇有几个行政村呀？,25,25
我想知道兴隆镇的地理，人口和经济是怎样的？,201.3平方公里,201.3平方公里
国家电网公司的口号是什么啊？,你用电，我用心。,你用电，我用心。
苦恋的色彩是什么样子的？,黑白,黑白
摇篮曲是用什么语言唱的啊？,中文，英文,中文，英文
你知道慧聪网有多少员工吗？,4500人（2014年）,4500人（2014年）
亚当斯县的网站是什么啊？,www.co.adams.wi.us,www.co.adams.wi.us
书剑恩仇录这个剧有多少集呀？,40集,40集
吴鹏的字号是什么啊？,雄飞,雄飞
你知道蚕豆是什么亚科的吗？,蝶形花亚科,蝶形花亚科
希舒美这个药品的名称是什么啊？,希舒美?,希舒美?
恒大金碧天下是什么样子的房子啊？,别墅,别墅
你知道蒂埃里·亨利早年得到过什么奖项吗？,代表摩纳哥队获得法甲联赛冠军 代表法国队夺得98年世界杯冠军,代表摩纳哥队获得法甲联赛冠军 代表法国队夺得98年世界杯冠军
西山大学是在什么时候建立啊？,1955年,1955年
洛基是在哪一步作品中登场的啊？,《圣斗士星矢》,《圣斗士星矢》
呼啸山庄有什么别的译名吗？,新呼啸山庄,新呼啸山庄
彼得斯多夫这个地方的邮编是多少？,8323,8323
哈迪斯有什么其他的名称吗？,冥王、冥神、冥帝、全宇宙一切生命的统治者,冥王、冥神、冥帝、全宇宙一切生命的统治者
关帝庙是在什么地方的庙宇？,山东省汶上县,山西省阳泉市庙宇
你知道燕太子丹是什么时候的人吗？,春秋战国时期北燕国,春秋战国时期北燕国
米尔顿是那个州的呀？,特拉华州,特拉华州
串烤山鸡这个需要什么辅料啊？,生菜,生菜
你知道三个火枪手又叫什么名字吗？,三剑客、三铳士、侠隐记,三剑客、三铳士、侠隐记
枣花蜂蜜这个适宜什么样子的人群？,一般人群均可食用，幼儿不宜,一般人群均可食用，幼儿不宜
你知道潍坊伊博士整形医院是那个国家的机构吗？,纯韩整形美容机构,纯韩整形美容机构
中山纪念堂是什么编号啊？,5-79,5-79
你知道哈库拉岛是什么星际的酒店啊？,四星级,四星级
我想知道李静的血型是什么型的啊？,o型,o型
刘节是什么时候出生的啊？,1476年,1476年
你知道在水一方是什么音乐风格吗？,流行,流行
我想知道侏儒一节是应该怎么用的啊？,作宾语、定语；指局部,作宾语、定语；指局部
你知道大闹天宫这个游戏是什么公司发行的吗?,"璇玑网络,7k7k","璇玑网络,7k7k"
杀人蜂的亚门是什么啊？,六足亚门,六足亚门
你知道杨皇后是什么时候去世吗？,508年,508年
有一种叫做黄金蟒的动物是在生物学中哪个亚门里的？,脊椎动物亚门,脊椎动物亚门
花卉种苗的目的是什么？,花卉种子、种球、苗（木）生产,花卉种子、种球、苗（木）生产
伊比拉是哪部电影里的东西啊？,哥斯拉系列电影中出现的怪兽之一,哥斯拉系列电影中出现的怪兽之一
永安镇这个小镇的邮政编码是多少？,234000,234000
谁知道白沙镇的下辖地区是什么啊？,三口，高屋，黑石山村等地,三口，高屋，黑石山村等地
《告密者》这部电影看完有多久啊？,108分钟,108分钟
贼臣逆子这个词的结构是什么？,联合式,联合式
刘强是做什么工作的？,科学家,科学家
玉阶怨是哪个人写的？,李白,李白
开心宝贝之开心星星球这部动画片是开心宝贝哪个系列的？,开心宝贝第五部,开心宝贝第五部
你知道太平镇有什么特产吗？,冬枣,冬枣
p20hh钢材能干什么？,热塑性塑料吹塑模具,热塑性塑料吹塑模具
城隍庙是什么时代出现的？,1926年,1926年
你知道芦苇是哪一族的植物吗？,芦竹族,芦竹族
棕熊是属于哪种亚科的呢？,熊亚科(ursinae),熊亚科(ursinae)
有人知道弹片的含义是什么吗？,[shell fragment;shrapnel;,[shell fragment;shrapnel;
白鲳雪菜需要放什么调料进去？,辣椒、葱段、姜片、盐、高汤,辣椒、葱段、姜片、盐、高汤
白沙镇的人都说什么方言啊？,重庆方言,重庆方言
nintendo game cube 的上市时间是什么时候？,日本：2001年9月14日,日本：2001年9月14日
南庄村能耕地的面积有多大？,2750亩,2750亩
有人知道女皇之刃的发行日期是几号吗？,2014年[1],2014年[1]
崇州市国家税务局的姓名是什么呀？,陈利强职务,陈利强职务
钩针编织的正文语种是什么？,简体中文,简体中文
你知道罗杰斯这个人的场上位置是哪吗？,四分卫,四分卫
古城镇有什么知名产业啊？,三粉加工、中药材种植、烟叶生产。,三粉加工、中药材种植、烟叶生产。
血府逐瘀口服液是什么类型的药品呢？,处方药、基本药物、医保工伤用药,处方药、基本药物、医保工伤用药
做小葱鸡蛋馅饼需要准备些什么？,鸡蛋、面粉、花生油,鸡蛋、面粉、花生油
乐咖啡这个餐馆的名字叫什么？,乐咖啡,乐咖啡
你知道花山镇属于哪个省市吗？,湖北省,湖北省
帝国理工学院这个学校的校训是什么？,scientia imperii decus et tutamen(知识是帝国永续的支柱）,scientia imperii decus et tutamen(知识是帝国永续的支柱）
有人知道怪物实验室这个电影的评分是多少吗？,1900年1月4日,1900年1月4日
风虎云龙这个词的出处是哪？,周易·乾》：“云从龙，风从虎。,周易·乾》：“云从龙，风从虎。
澳门广播电视股份有限公司是什么时候成立的？,（启播）1984年5月13日 （30岁209天）,（启播）1984年5月13日 （30岁209天）
谁知道杨光这个人的星座是哪个？,巨蟹,巨蟹
爱上你这个曲子是谁写的？,吕绍淳,吕绍淳
白沙镇的车牌代码是多少？,豫a,豫a
谁知道行路难是哪个年代的？,南朝梁,南朝梁
石器时代这个游戏是什么类型的游戏啊？,回合制角色扮演,回合制角色扮演
exo-l什么时候能够上线？,韩国时间2014年8月5日上午12点,韩国时间2014年8月5日上午12点
你知道华盛顿大学现在的校长叫什么名字吗？,michael k. young,michael k. young
上海假日之星酒店（长宁店）在哪啊？,上海长宁区长宁路250号,上海长宁区长宁路250号
flower 是哪个唱片公司发行的？,sony music associated records,sony music associated records
张宇这个人有外文名字吗？,philchang,philchang
你知道李明这个人叫什么吗？,李明,李明
李敏的学历大概是什么啊？,研究生学历,研究生学历
能告诉我北京世纪华天大酒店有多少个房间吗？,365,365
战侠ol这部游戏使用的是什么语言？,中文,中文
乔治·沃克·布什这个人是男生吗？,男,男
黄秋葵是什么地方的产物啊？,原产美国东部。中国江西萍乡等,原产美国东部。中国江西萍乡等
告诉我百花小区的楼盘地址？,济南市历城区华龙路2150号,济南市历城区华龙路2150号
你知道新高港的对象是什么吗？,中部的产业发展,中部的产业发展
你知道《美女与野兽》的编剧是谁吗？,让·谷克多jean cocteau,让·谷克多jean cocteau
八哥这种鸟是什么亚目的啊？,裂脚亚目,裂脚亚目
你知道基围虾有什么中文别名吗？,麻虾、虎虾、花虎虾、泥虾、新对虾、砂虾、红爪虾。,麻虾、虎虾、花虎虾、泥虾、新对虾、砂虾、红爪虾。
我爱你这首歌曲的发行公司是什么？,北京橙天嘉禾影视制作有限公司,北京橙天嘉禾影视制作有限公司
环境规划与管理的版次是多少？,2,2
你知道李红是什么职称吗？,教授,教授
中国新闻出版研究院海峡分院的实质是什么啊？,围绕两岸出版交流合作,围绕两岸出版交流合作
台北孔子庙具体在什么地方啊？,台湾台北市大同区大龙街275号,台湾台北市大同区大龙街275号
你知道资产预计未来现金流量是什么意思吗？,资产持续使用过程产生的现金流入,资产持续使用过程产生的现金流入
城郊乡的政府驻地在什么地？,富康社区,富康社区
问你一下手表摄像机的功能都有什么啊？,支持录像/拍照/录音,支持录像/拍照/录音
你知道纪欣妤的经经纪公司是哪一个啊？,可米制作,可米制作
你知道cp这个词语是从哪里来的吗？,跑跑卡丁车,跑跑卡丁车
style icon awards这个活动的主办单位是谁啊？,cj e&m,cj e&m
步步惊心这部片子的制片人是谁啊/,叶华，程兴,叶华，程兴
我想知道李敏是什么时候出生的呀？,1961年3月,1961年3月
告诉我喜欢你这首歌曲有多长时间？,为已故足球名宿谭江柏之子,03：59
你知道恒大金碧天下的绿化率是多少吗？,45%,45%
我想知道芦苇属于什么族的？,芦竹族,芦竹族
你知道玉阶怨是出自那个作品吗？,《全唐诗》,《全唐诗》
线性代数编写用了多少字？,246千字,246千字
仪器设备管理系统能告诉我这个系统的优点是什么吗？,设计思路先进,设计思路先进
皇冠国际的行政区域是什么地方啊？,高新西区,高新西区
你学过羟基乙叉二膦酸的分子量吗？,206.03,206.03
列夫·达维多维奇·托洛茨基是什么时候去世的啊？,"1940年8月21日（60岁）（遇刺） df, mexico（英语：mexican federal district）科约阿坎区","1940年8月21日（60岁）（遇刺） df, mexico（英语：mexican federal district）科约阿坎区"
我想知道无锡侬侬婚纱摄影这个店是什时候可以接待客人？,am 8：00~pm 21：00,am 8：00~pm 21：00
徽宴楼（濉溪路店）这个店大概一个人要花多少钱？,102,102
能告诉我金毛的亚目是什么吗？,犬形亚目(caniformia),犬形亚目(caniformia)
我想知道万寿寺原来叫什么名字啊？,聚瑟寺,聚瑟寺
你知道暗潮传媒的创始人是谁吗？,王武力,王武力
你知道玝这个字有几笔吗？,8,8
你知道ipad mini 2的重量有多少吗？,331g,331g
定春之个玩具的地位是什么啊？,秦威,动漫《银魂》中的吉祥物
六经的词性是什么你知道吗？,名词,名词
太平洋星是在什么时候发现的啊？,"march 30, 1882","march 30, 1882"
2004 xp14是什么时候发现的？,2004年12月10日,2004年12月10日
江淮官话又称什么话啊？,淮语、下江话,淮语、下江话
你知道沥口村所属国是什么啊？,中国,中国
你知道潘梦莹是哪个民族的吗？,汉,汉
格林维尔用英文怎么说啊？,"madison county, florida","madison county, florida"
兔子和猫谈恋爱4这个游戏是在那个网站可以找到啊？,4399小游戏,4399小游戏
驰为速pad mini v88这个东西的储存容量是多少啊？,2gb,2gb
你知道鹤顶红有什么物理特征吗？,无臭无味，白色霜状粉末,无臭无味，白色霜状粉末
告诉我易迅网有什么应用平台吗？,ios,ios
你知道木星的轨道倾角是有多大吗？,1.30530度,1.30530度
告诉我擎这个字的偏旁部首是什么？,手字底,手字底
做越式粉丝豆腐需要什么材料啊？,板豆腐、粉丝、木耳、胡萝卜,板豆腐、粉丝、木耳、胡萝卜
雨神星这个星星的升交点黄经是多少？,169.296°,169.296°
雨神星的近日点参数是多少啊？,67.637°,67.637°
告诉我李贺诗囊出自哪一首诗啊？,陆游《衡门独立》,陆游《衡门独立》
请写出氯化钡的分子式是什么？,bacl₂,bacl₂
你知道可可的年龄有多大吗？,27岁,27岁
西北大学是什么时候创立的啊？,1851,1851
房利美这个公司的类型是什么啊？,国有企业,国有企业
爱酷的软件是多大的啊？,7.63mb,7.63mb
兰道夫县是什么时候成立的啊？,1821年2月5日,1821年2月5日
你知道小村的年平均气温是多少吗？,13.9℃,13.9℃
告诉我榆阳区巴拉素镇中学有多少学生啊？,600,600
南山寺是什么气候类型啊？,热带海洋雨林季风性气候,热带海洋雨林季风性气候
上海紫藤宾馆是在什么时候开业啊？,1990年2月18日,1990年2月18日
你知道妙音符咒师有什么别的名字吗？,无,无
21cake这种元素里面有什么营养成分呀？,奶油 芝士,奶油 芝士
天眼这部片子是在什么地点拍摄的？,济南市公安局,济南市公安局
石家庄科技工程职业学院的老师有多少人啊？,200多人,200多人
你知道nexus 7 是什么操作系统吗？,android 4.1,android 4.1
本田圭佑习惯用什么脚？,左脚,左脚
nsk nj238+hj238轴承这个工件的轴承内径有多大？,190 mm,190 mm
loving 这首歌的发行时间是什么时候？,2006-09-15,2006-09-15
费尔南多·托雷斯的球衣号码是多少呢？,19号,19号
尼柯尔·桑伯恩 属于什么机关管理你知道吗？,纽约州第七民兵团（1861年）,纽约州第七民兵团（1861年）
我想知道在小行星分类的分类中司音星属于什么类型？,main belt小行星带,main belt小行星带
你知道星辉疗湿痛胶囊这种药规格是什么？,每粒400毫克，每瓶60粒胶囊,每粒400毫克，每瓶60粒胶囊
国民革命军第十八军的前身是什么？,“五省联军”的第九师,“五省联军”的第九师
大明星杨幂工作室是属于什么公司？,嘉行天下,嘉行天下
你知道杨洋的血型吗？,ab型,ab型
你知道李元中是什么朝代的吗？,隋朝,隋朝
观音寺的占地面积有多大？,约700平方米,约700平方米
刀剑神域：无限时刻需要多少玩家啊？,单人,单人
东庄村总面积有多大啊？,4.3平方公里,4.3平方公里
织女一的赤经是多少？,18h 36m 56.3s,18h 36m 56.3s
sga的组成是什么啊？,共享池,共享池
臭氧可以应用于什么领域啊？,用于医学、农业、餐饮业、杀菌、除甲醛等,用于医学、农业、餐饮业、杀菌、除甲醛等
卡通测试应用程序的版本是多少啊？,1,1
染色体都有什么意义啊？,记载遗传信息,记载遗传信息
上海阿斯玛不锈钢阀门有限公司成立后的宗旨是什么？,"科技领先,技术创新,经营诚信","科技领先,技术创新,经营诚信"
qq音乐这个软件的语言是什么啊？,简体中文、英文,简体中文、英文
超导无轴陀螺空天载具是属于什么领域的？,物理科学,物理科学
柱七的赤纬是多少呢？,+32° 11′ 31.278″,+32° 11′ 31.278″
你知道白沙镇火车站叫什么名字吗？,赣州市章贡区五洲大道31号,郑州市新东站
娄山中学的荣誉有什么？,上海市科技教育特色学校,上海市科技教育特色学校
同名专辑的专辑歌手是谁呢？,薛之谦,薛之谦
绝地争霸的游戏画面是多少啊？,2.5d,2.5d
赵敬是什么名族的人？,沙陀人,沙陀人
紫金华府是属于哪个物业公司管辖啊？,无锡太湖世家物业管理有限公司,无锡太湖世家物业管理有限公司
不死冥神系列玄幻小说的应用名称是什么？,不死冥神系列玄幻小说,不死冥神系列玄幻小说
你知道acer 4735z-422g25mn的cpu型号是什么吗？,intel 奔腾双核 t4200,intel 奔腾双核 t4200
旭光村是属于什么市的？,肥东县,肥东县
奥伦多夫在2011年有多少人口？,"9,825","9,825"
乾陵建成时间是什么时候？,唐光宅元年 公元683年,唐光宅元年 公元683年
玄妙观所在地是哪里？,江苏省苏州市,江苏省苏州市
你知道贝加莫省的邮政编码吗？,24100,24100
财政学这本书的出版社是哪一个？,中国人民大学出版社,中国人民大学出版社
诛仙的出版日期是在什么时候？,2006年4月15日,2006年4月15日
白云山的开放时间是几点 ？,08:00--17:30,08:00--17:30
你知道五指山翡翠谷的容积率是多少吗？,1900年1月0日,1900年1月0日
雅芳2013年营业额是多少呢?,113亿美元（2013年）,113亿美元（2013年）
你知道中山大学有哪些院系吗？,管理学院、中山医学院、信息科学与技术学院、社会学与人类学学院等,管理学院、中山医学院、信息科学与技术学院、社会学与人类学学院等
白凤凰的配音是谁呢？,邹亮（动画第1部） 谢添天（动画第2、4、5部；姐妹篇；动画衍生游戏等）[3]  蒋可（动画第3部）,邹亮（动画第1部） 谢添天（动画第2、4、5部；姐妹篇；动画衍生游戏等）[3]  蒋可（动画第3部）
你知道临草2号的审定编号是多少吗？,晋审饲草（认）2010001,晋审饲草（认）2010001
你知道靖沧浪是什么身份的吗？,倾波族凌主、太荒神决六圣护之一,倾波族凌主、太荒神决六圣护之一
白云山是在什么地方,广州市白云区,广州市白云区
神雕侠侣每一集电视剧大概有多长时间？,41分钟,41分钟
中山纪念堂的登录时间是多少呢？,2008年,2008年
