question,entity,attribute,answer,predict_answer
大魔王现在的状态是怎么样？,大魔王,授权状态,a级签约,现世之章连载中 千年之章已完结
《欲魔》有什么色彩？,欲魔,色 彩,彩色,这是两个时代相遇以后出生的小说，前一个是文革中的故事，那是一个精神狂热、本能压抑和命运惨烈的时代，相当于欧洲的中世纪；后一个是现在的故事，那是一个伦理颠覆、浮躁纵欲和众生万象的时代，更甚于今天的欧洲。
《倔强》的MV是谁导的？,倔强,mv导演,赖伟康,张自强
周秀娜有过什么作品？,周秀娜,其他作品,《我爱万人迷》、《老冯日记》,《婚前试爱》、《唐朝浪漫英雄》、《纸月亮》、《西游》、《夜店诡谈》、《非狐外传》
恹字有多少笔？,恹,总笔画,9,ji zi
姜华公司的口号是什么？,姜华,公司口号,绿色环保节能,全球
《莲灯》是什么时候创作的？,莲灯,创作时间,2013年,16开
考考你，氟的沸点是多少啊？,氟,沸点,-188.12℃,平装
(z)-2-（2-氨基噻唑-4-基）-2-（1-羧基-1-甲基）乙氧亚氨基乙酸的化学式怎么写？,(z)-2-（2-氨基噻唑-4-基）-2-（1-羧基-1-甲基）乙氧亚氨基乙酸,化学式,c9h11n3o5s,273.27
请问大家知道上游水库的容量是多少吗？,上游水库,正常库容,1500万立方米,140平方公里
2012第四届中美冷链物流会议暨中国国际冷链产业博览交易会在哪里举办？,2012第四届中美冷链物流会议暨中国国际冷链产业博览交易会,举办城市,郑州,物流运输
马铃薯灰霉病的病原是什么？,马铃薯灰霉病,病原中文名,灰葡萄孢,半知菌亚门真菌
浙江省宁波市中级人民法院在哪？,浙江省宁波市中级人民法院,区位,浙江省宁波市江东区,12368
你知道舒的夏天的原名是什么吗？,舒的夏天,本 名,舒翠翠,国
谁知道新加坡地铁滨海市区线的目前状况是怎样的？,新加坡地铁滨海市区线,目前状况,家居装修、别墅装修、酒店装修,兴建中
你知道海略在什么地方？,海略,郡,默勒-鲁姆斯达尔郡,福斯纳沃格
请问九龙巴士15a线总共有多长？,九龙巴士15a线,全程行驶里程,12.9公里,龙翔道往慈云山（北）：hk$5.1
谏字的unicode是什么，有人知道吗？,谏,unicode,cjk 统一汉字 u+8c0f,ji zi
我想知道移山倒海是褒义词还是贬义词？,移山倒海,感情色彩,褒义词,常用
请问第九届广州（国际）车用空调及冷藏链技术展览会什么时候布展？,第九届广州（国际）车用空调及冷藏链技术展览会,布展时间,2012年2月22-23日,中国进出口商品交易会展览馆
你知道中宇mcd380的信噪比是多少码,中宇mcd380,信噪比,nan,
珠海市现在的领导叫什么？,珠海,现任领导,市委书记：李嘉、市长：何宁卡,公司成立于2006年
静虚第二种解释是什么？,静虚,解释2,恬淡平和,清净无欲
我的前夫原本叫什么？,我的前夫,作品原名,青春之歌,头师父一体
你可以说出麸字的笔划数吗？,麸,笔划,11,ji zi
我是你的，你是我的是谁唱的？,我是你的，你是我的,歌手姓名,曾轶可,萧贺硕
尼美舒利怎样代谢掉？,尼美舒利,排泄,"renal (50%), fecal (29%)",
请问液晶显示便携式x光机的分辨率是多少？,液晶显示便携式x光机,分 辨 率,nan,
